najkasnije	kasno	Rgs
sedam	sedam	Mlc
dana	dan	Ncmpg
prije	prije	Sg
planiranog	planiran	Agpmsgy
početka	početak	Ncmsg
provedbe	provedba	Ncfsg
naređene	narediti	Appfsgy
mjere	mjera	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dijagnostičke	dijagnostički	Agpfpny
i	i	Cc
druge	drugi	Mlofpn
pretrage	pretraga	Ncfpn
propisane	propisati	Appfpny
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
obavljaju	obavljati	Vmr3p
službeni	služben	Agpmpny
laboratoriji	laboratorij	Ncmpn
Hrvatskog	hrvatski	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
instituta	institut	Ncmsg
(	(	Z
Veterinarski	veterinarski	Agpmsny
institut	institut	Ncmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Veterinarski	veterinarski	Agpmpny
zavodi	zavod	Ncmpn
:	:	Z
Split	Split	Npmsn
,	,	Z
Rijeka	Rijeka	Npfsn
,	,	Z
Križevci	Križevca	Npfsl
,	,	Z
Vinkovci	Vinkovc	Npmpn
i	i	Cc
Centar	centar	Ncmsn
za	za	Sa
peradarstvo	peradarstvo	Ncnsa
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Laboratorijsku	laboratorijski	Agpfsay
dijagnostiku	dijagnostika	Ncfsa
pojedinih	pojedini	Agpfpgy
bolesti	bolest	Ncfpg
,	,	Z
sukladno	sukladno	Rgp
ovoj	ovaj	Pd-fsl
Naredbi	naredba	Ncfsl
,	,	Z
mogu	moći	Vmr3p
obavljati	obavljati	Vmn
i	i	Qo
drugi	drugi	Mlomsn
službeni	služben	Agpmsny
i	i	Cc
ovlašteni	ovlašten	Agpmpny
laboratoriji	laboratorij	Ncmpn
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

1.	1.	Mdo
Veterinarski	veterinarski	Agpmsayn
fakultet	fakultet	Ncmsan
Sveučilišta	sveučilište	Ncnsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
(	(	Z
VF	VF	Npmsn
)	)	Z
za	za	Sa
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
bolesti	bolest	Ncfpn
kopitara	kopitar	Ncmpg
–	–	Z
Zavod	zavod	Ncmsn
za	za	Sa
mikrobiologiju	mikrobiologija	Ncfsa
i	i	Cc
zarazne	zarazan	Agpfpay
bolesti	bolest	Ncfpa
s	sa	Si
klinikom	klinika	Ncfsi
,	,	Z
LEPTOlab	lepto	Ncmpi
,	,	Z
IAKlab	IAKlab	Npmsn
,	,	Z
ARTERlab	ARTERlab	Npmsn
.	.	Z

(	(	Z
b	b	X
)	)	Z
bolesti	bolest	Ncfpn
pčela	pčela	Ncfpg
–	–	Z
Zavod	zavod	Ncmsn
za	za	Sa
biologiju	biologija	Ncfsa
i	i	Cc
patologiju	patologija	Ncfsa
riba	riba	Ncfpg
i	i	Cc
pčela	pčela	Ncfpg
,	,	Z

(	(	Z
c	C	Npmsn
)	)	Z
klamidiozu	klamidioz	Ncmsl
ptica	ptica	Ncfsn
–	–	Z
Zavod	zavod	Ncmsn
za	za	Sa
bolesti	bolest	Ncfpa
peradi	perad	Ncfsg
s	sa	Si
klinikom	klinika	Ncfsi
,	,	Z
Laboratorij	laboratorij	Ncmsn
za	za	Sa
klamidije	klamidija	Ncfpa
(	(	Z
CHL	CHL	Npmsn
)	)	Z
,	,	Z

2.	2.	Mdo
