ponovnu	ponovan	Agpfsay
uspostavu	uspostava	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
donošenjem	donošenje	Ncnsi
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
Agencije	agencija	Ncfpn
postaju	postati	Vmr3p
obvezni	obvezan	Agpmpny
za	za	Sa
Navelu	navela	Ncfsa
.	.	Z

Vijeće	vijeće	Ncnsn
svoju	svoj	Px-fsa
odluku	odluka	Ncfsa
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
temelji	temeljiti	Vmr3s
na	na	Sl
tome	taj	Pd-nsl
da	da	Cs
je	biti	Var3s
Navela	navesti	Vmp-sf
surađivala	surađivati	Vmp-sf
s	sa	Si
Agencijom	agencija	Ncfsi
i	i	Cc
nastojala	nastojati	Vmp-sf
uskladiti	uskladiti	Vmn
svoje	svoj	Px-nsa
postupanje	postupanje	Ncnsa
s	sa	Si
propisima	propis	Ncmpi
o	o	Sl
zaštiti	zaštita	Ncfsl
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
.	.	Z

Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
49.	49.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ZZTN-a	zztn-	Ncmsg
,	,	Z
rješenjem	rješenje	Ncnsi
Agencija	agencija	Ncfsn
određuje	određivati	Vmr3s
rokove	rok	Ncmpa
u	u	Sl
kojima	koji	Pi-fpl
poduzetnik	poduzetnik	Ncmsn
treba	trebati	Vmr3s
izvršiti	izvršiti	Vmn
mjere	mjera	Ncfpa
i	i	Cc
uvjete	uvjet	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
obvezuje	obvezivati	Vmr3s
poduzetnika	poduzetnik	Ncmsay
na	na	Sa
dostavu	dostava	Ncfsa
dokaza	dokaz	Ncmpg
kojima	koji	Pi-mpd
potvrđuje	potvrđivati	Vmr3s
izvršenje	izvršenje	Ncnsa
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
te	te	Cc
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
uvjeta	uvjet	Ncmpg
za	za	Sa
daljnje	daljnji	Agpnsay
vođenje	vođenje	Ncnsa
postupka	postupak	Ncmsg
protiv	protiv	Sg
tog	taj	Pd-msg
poduzetnika	poduzetnik	Ncmsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Vijeće	vijeće	Ncnsn
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
kojom	koji	Pi-fsi
se	sebe	Px--sa
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
prihvaćaju	prihvaćati	Vmr3p
mjere	mjera	Ncfpn
i	i	Cc
uvjeti	uvjet	Ncmpn
koje	koji	Pi-mpa
je	biti	Var3s
predložila	predložiti	Vmp-sf
Navela	navesti	Vmp-sf
te	te	Cc
joj	on	Pp3fsd
je	biti	Var3s
naloženo	naložiti	Appnsny
da	da	Cs
u	u	Sl
ostavljenom	ostaviti	Agpmsly
roku	rok	Ncmsl
dostavi	dostaviti	Vmr3s
dokaze	dokaz	Ncmpa
da	da	Cs
je	biti	Var3s
postupala	postupati	Vmp-sf
sukladno	sukladno	Rgp
točki	točka	Ncfpg
I.	I.	Y
izreke	izreka	Ncfsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

Nakon	nakon	Sg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
točke	točka	Ncfsg
I.	ii	Agpfsgy
izreke	izreka	Ncfsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
nema	nemati	Vmr3s
uvjeta	uvjet	Ncmsg
za	za	Sa
daljnje	daljnji	Agpnsay
vođenje	vođenje	Ncnsa
postupka	postupak	Ncmsg
protiv	protiv	Sg
Navele	Navela	Npfsg
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
.	.	Z

U	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
