II	ii	Mrc
znači	značiti	Vmr3s
oprema	oprema	Ncfsn
namijenjena	namijeniti	Appfsny
za	za	Sa
uporabu	uporaba	Ncfsa
na	na	Sl
ostalim	ostali	Agpnply
mjestima	mjesto	Ncnpl
koja	koji	Pi-fsn
bi	biti	Vaa3s
mogla	moći	Vmp-sf
biti	biti	Van
ugrožena	ugroziti	Appfsny
eksplozivnim	eksplozivan	Agpfpiy
atmosferama	atmosfera	Ncfpi
,	,	Z
uključujući	uključivati	Rr
kategorije	kategorija	Ncfpa
opreme	oprema	Ncfsg
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
3	3	Mdc
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
u	u	Sl
Prilogu	prilog	Ncmsl
I	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

8	8	Mdc
)	)	Z
kategorija	kategorija	Ncfsn
opreme	oprema	Ncfsg
znači	značiti	Vmr3s
klasifikacija	klasifikacija	Ncfsn
svake	svaki	Pi-fsg
opreme	oprema	Ncfsg
unutar	unutar	Sg
skupine	skupina	Ncfsg
opreme	oprema	Ncfsg
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
I	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
tražena	tražiti	Appfsny
razina	razina	Ncfsn
zaštite	zaštita	Ncfsg
koju	koji	Pi-fsa
treba	trebati	Vmr3s
osigurati	osigurati	Vmn
;	;	Z

9	9	Mdc
)	)	Z
namijenjena	namijeniti	Appfsny
uporaba	uporaba	Ncfsn
znači	značiti	Vmr3s
uporaba	uporaba	Ncfsn
proizvoda	proizvod	Ncmpg
kako	kako	Cs
je	biti	Var3s
propisao	propisati	Vmp-sm
proizvođač	proizvođač	Ncmsn
raspoređujući	raspoređivati	Rr
opremu	oprema	Ncfsa
u	u	Sa
određenu	određen	Agpfsay
skupinu	skupina	Ncfsa
i	i	Cc
kategoriju	kategorija	Ncfsa
opreme	oprema	Ncfsg
ili	ili	Cc
pružajući	pružati	Rr
potrebne	potreban	Agpfpay
informacije	informacija	Ncfpa
za	za	Sa
