Zagrebu	zagrepsti	Vmr3p
,	,	Z
Građevinski	građevinski	Agpmsayn
fakultet	fakultet	Ncmsan
,	,	Z
Zagreb	Zagreb	Npmsn

47.	47.	Mdo

Ivan	Ivan	Npmsn
Žeruk	Žeruk	Npmsn
,	,	Z
mag.	mag.	Y
ing.	ing.	Y
aedif	aedif	Ncmsan
.	.	Z
,	,	Z
Mi	mi	Pp1-pn
projekt	projekt	Ncmsn
j.	j.	Y
d.o.o.	d.o.o.	Y
,	,	Z
Nova	nov	Agpfsny
Gradiška	Gradiška	Npfsn
.	.	Z

II	ii	Mrc
.	.	Z

Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
170	170	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
01/4	01/4	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
500	500	Mdc
-	-	Z
02	02	Mdc
-	-	Z
15	15	Mdc
-6	-6	Y
Zagreb	Zagreb	Npmsn
,	,	Z
8.	8.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Hrvatske	hrvatski	Agpfsgy
komore	komora	Ncfsg
inženjera	inženjer	Ncmpg
građevinarstva	građevinarstvo	Ncnsg
Zvonimir	Zvonimir	Npmsn
Sever	Sever	Npmsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
građ	građ	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

