relevantne	relevantan	Agpmpay
propise	propis	Ncmpa
,	,	Z
Kodeks	kodeks	Ncmsn
dobre	dobar	Agpfsgy
veterinarske	veterinarski	Agpfsgy
prakse	praksa	Ncfsg
i	i	Cc
Kodeks	kodeks	Ncmsn
veterinarske	veterinarski	Agpfsgy
etike	etika	Ncfsg
.	.	Z

Uzorkovanje	uzorkovanje	Ncnsn

Epruvete	epruveta	Ncfpn
za	za	Sa
uzorkovanje	uzorkovanje	Ncnsa
krvi	krv	Ncfsg
ovlaštene	ovlašten	Agpfsgy
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
nabavljaju	nabavljati	Vmr3p
od	od	Sg
dijagnostičkih	dijagnostički	Agpmpgy
laboratorija	laboratorij	Ncmpg
HVI-a	HVI	Npmsg
Zagreb	Zagreb	Npmsn
i	i	Cc
veterinarskih	veterinarski	Agpmpgy
Zavoda	zavod	Ncmpg
.	.	Z

Primjerak	primjerak	Ncmsn
Obrasca	obrazac	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
na	na	Sa
laboratorijsko	laboratorijski	Agpnsay
pretraživanje	pretraživanje	Ncnsa
(	(	Z
Obrazac	obrazac	Ncmsn
)	)	Z
,	,	Z
namijenjen	namijeniti	Appmsnn
Upravi	upraviti	Vmm2s
,	,	Z
ovlaštena	ovlašten	Agpfsny
veterinarska	veterinarski	Agpfsny
organizacija	organizacija	Ncfsn
mora	morati	Vmr3s
dostavljati	dostavljati	Vmn
Upravi	uprava	Ncfsd
najkasnije	kasno	Rgs
tjedan	tjedan	Ncmsan
dana	dan	Ncmpg
nakon	nakon	Sg
provedenog	provesti	Agpnsgy
uzorkovanja	uzorkovanje	Ncnsg
.	.	Z

Uzimanje	uzimanje	Ncnsn
uzoraka	uzorak	Ncmpg
nakon	nakon	Sg
pobačaja	pobačaj	Ncmsg

Po	po	Sl
prijavi	prijava	Ncfsl
pobačaja	pobačaj	Ncmsg
,	,	Z
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
mora	morati	Vmr3s
uzeti	uzeti	Vmn
odgovarajući	odgovarajući	Agpmsayn
uzorak	uzorak	Ncmsan
:	:	Z

Krave	krava	Ncfpn
,	,	Z
ovce	ovca	Ncfpn
,	,	Z
koze	koza	Ncfsg
:	:	Z

–	–	Sa
krv	krv	Ncfsa
životinje	životinja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
i	i	Qo
vaginalni	vaginalan	Agpmsayn
bris	bris	Ncmsan
,	,	Z
tj.	tj.	Y
vaginalna	vaginalan	Agpfsny
sluz	sluz	Ncfsn
,	,	Z

–		Agpfpgy
posteljica	posteljica	Ncfpg
,	,	Z
lohije	loha	Mlcf-n
,	,	Z
i	i	Cc

–	–	Agpmsny
pobačeni	pobaciti	Agpmsny
fetus	fetus	Ncmsn
ili	ili	Cc
organi	organ	Ncmpn
pobačenog	pobaciti	Agpmsgy
fetusa	fetus	Ncmsg
:	:	Z
podvezani	podvezati	Agpmsny
želudac	želudac	Ncmsn
,	,	Z
slezena	slezena	Ncfsn
i	i	Cc
jetra	jetra	Ncfsn
,	,	Z
te	te	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
sumnje	sumnja	Ncfsg
na	na	Sa
infekciju	infekcija	Ncfsa
Schmallenberg	Schmallenberg	Si
virusom	virus	Ncmsi
i	i	Cc
mozak	mozg	Ncmsan
,	,	Z
amnionska	amnionski	Agpfsny
tekućina	tekućina	Ncfsn
,	,	Z
mekonij	mekonij	Ncmsn
.	.	Z

Kobile	kobila	Ncfpn
,	,	Z
krmače	krmača	Ncfsg
:	:	Z

–	–	Sa
krv	krv	Ncfsa
životinje	životinja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
,	,	Z
i	i	Cc

–	–	Agpmsny
pobačeni	pobaciti	Agpmsny
fetus	fetus	Ncmsn
ili	ili	Cc
organi	organ	Ncmpn
pobačenog	pobaciti	Agpmsgy
fetusa	fetus	Ncmsg
:	:	Z
podvezani	podvezati	Agpmsny
želudac	želudac	Ncmsn
,	,	Z
slezena	slezena	Ncfsn
i	i	Cc
jetra	jetra	Ncfsn
.	.	Z

Izvješćivanje	izvješćivanje	Ncnsn

Sva	sav	Agpnpay
izvješća	izvješće	Ncnpa
(	(	Z
pozitivna	pozitivan	Agpfsny
/	/	Z
negativna	negativan	Agpfsny
)	)	Z
laboratoriji	laboratorij	Ncmpn
dostavljaju	dostavljati	Vmr3p
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
(	(	Z
PDF-u	pdf	Npmsl
)	)	Z
Upravi	upraviti	Vmr3s
na	na	Sa
sljedeću	sljedeći	Agpmsayn
e-mail	e-mail	Ncmsan
adresu	adresa	Ncfsa
:	:	Z
veterinarstvo.nalazi@mps.hr	veterinarstvo.nalazi@mps.hr	X
.	.	Z

Izvješća	izvješće	Ncnpn
o	o	Sl
sumnjivom	sumnjiv	Agpmsly
ili	ili	Cc
pozitivnom	pozitivan	Agpmsly
nalazu	nalaz	Ncmsl
pretraživanja	pretraživanje	Ncnsg
laboratoriji	laboratorij	Ncmpn
dostavljaju	dostavljati	Vmr3p
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
(	(	Z
PDF-u	pdf	Npmsl
)	)	Z
Upravi	upraviti	Vmr3s
na	na	Sa
sljedeću	sljedeći	Agpmsayn
e-mail	e-mail	Ncmsan
adresu	adresa	Ncfsa
:	:	Z
vetinspekcije.nalazi@mps.hr	vetinspekcije.nalazi@mps.hr	X
.	.	Z

Izvješća	izvješće	Ncnpn
o	o	Sl
pozitivnim	pozitivan	Agpmply
rezultatima	rezultat	Ncmpl
pretraživanja	pretraživanje	Ncnsg
na	na	Sa
bilo	bilo	Qo
koju	koji	Pi-fsa
bolest	bolest	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
pretražuje	pretraživati	Vmr3s
prema	prema	Sl
Naredbi	naredba	Ncfsl
,	,	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
slati	slati	Vmn
s	sa	Si
naznakom	naznaka	Ncfsi
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
poruci	poruka	Ncfsl
visoke	visok	Agpfsgy
važnosti	važnost	Ncfsg
(	(	Z
Microsoft	Microsoft	Npmsn
Outlook	Outlook	Npmsn
–	–	Z
oznaka	oznaka	Ncfsn
važnosti	važnost	Ncfsg
poruke	poruka	Ncfsg
:	:	Z
visoka	visok	Agpfsny
(	(	Z
znak	znak	Ncmsn
uskličnika	uskličnik	Ncmsg
))	))	Qr
.	.	Z

Izvješće	izvješće	Ncnsn
o	o	Sl
pozitivnom	pozitivan	Agpmsly
nalazu	nalaz	Ncmsl
pretraživanja	pretraživanje	Ncnsg
