financijski	financijski	Agpmsny
učinak	učinak	Ncmsn
za	za	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
raskinuti	raskinuti	Vmn
IPARD	ipard	Agpmsann
Ugovor	ugovor	Ncmsan
,	,	Z
ukoliko	ukoliko	Cs
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
i	i	Cc
od	od	Sg
korisnika	korisnik	Ncmpg
se	sebe	Px--sa
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
traži	tražiti	Vmr3s
povrat	povrat	Ncmsan
cjelokupnog	cjelokupan	Agpmsgy
iznosa	iznos	Ncmsg
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
,	,	Z
ukoliko	ukoliko	Cs
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
predstavlja	predstavljati	Vmr3s
i	i	Qo
sumnju	sumnja	Ncfsa
na	na	Sa
prijevaru	prijevara	Ncfsa
te	te	Cc
ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
odluči	odlučiti	Vmr3s
otkazati	otkazati	Vmn
IPARD	ipard	Agpmsayn
Ugovor	ugovor	Ncmsan
i	i	Cc
izvršiti	izvršiti	Vmn
povrat	povrat	Ncmsan
sredstava	sredstvo	Ncnpg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Članak	članak	Ncmsn
41.	41.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Rgp
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
prije	prije	Sg
isplate	isplata	Ncfsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odbiti	odbiti	Vmn
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
iznosa	iznos	Ncmsg
od	od	Sg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
iznosa	iznos	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
nepravilnost	nepravilnost	Ncfsn
utvrđena	utvrditi	Appfsny
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
i	i	Cc
to	taj	Pd-nsn
:	:	Z

a	a	Cc
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđenih	utvrditi	Agpmpgy
pojedinih	pojedini	Agpmpgy
nepravilno	nepravilno	Rgp
isplaćenih	isplatiti	Agpmpgy
izdataka	izdatak	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
kada	kada	Rgp
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
,	,	Z
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsan
djelomično	djelomično	Rgp
utvrđenog	utvrditi	Agpmsgy
nepravilnog	nepravilan	Agpmsgy
iznosa	iznos	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
ukupno	ukupno	Rgp
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
