prijevozne	prijevozni	Agpfpny
zone	zona	Ncfpn
)	)	Z
,	,	Z
radnik	radnik	Ncmsn
ne	ne	Qz
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
mjesni	mjesni	Agpmsayn
javni	javan	Agpmsayn
prijevoz	prijevoz	Ncmsan
.	.	Z

Za	za	Sa
svaku	svaki	Pi-fsa
promjenu	promjena	Ncfsa
cijene	cijena	Ncfsg
prijevoza	prijevoz	Ncmsg
iz	iz	Sg
prethodnih	prethodan	Agpmpgy
stavaka	stavak	Ncmpg
,	,	Z
radnik	radnik	Ncmsn
mora	morati	Vmr3s
poslodavcu	poslodavac	Ncmsd
predočiti	predočiti	Vmn
potvrdu	potvrda	Ncfsa
.	.	Z

Poslodavac	poslodavac	Ncmsn
ne	ne	Qz
odgovara	odgovarati	Vmr3s
za	za	Sa
posljedice	posljedica	Ncfpa
nedostavljanja	nedostavljanje	Ncnsg
promjena	promjena	Ncfpg
cijena	cijena	Ncfpg
mjesečnih	mjesečan	Agpfpgy
karata	karta	Ncfpg
na	na	Sa
vrijeme	vrijeme	Ncnsa
.	.	Z

Radnik	radnik	Ncmsn
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
korištenja	korištenje	Ncnsg
rodiljnog	rodiljni	Agpnsgy
/	/	Z
roditeljskog	roditeljski	Agpmsgy
dopusta	dopust	Ncmsg
ili	ili	Cc
bolovanja	bolovanje	Ncnsg
dužeg	dug	Agcnsgy
od	od	Sg
42	42	Mdc
dana	dan	Ncmpg
.	.	Z

Radnik	radnik	Ncmsn
,	,	Z
kojemu	koji	Pi-msd
je	biti	Var3s
mjesto	mjesto	Ncnsn
prebivanja	prebivanje	Ncnsg
/	/	Z
uobičajenog	uobičajen	Agpnsgy
boravišta	boravište	Ncnsg
različito	različito	Rgp
od	od	Sg
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
potpisati	potpisati	Vmn
izjavu	izjava	Ncfsa
pod	pod	Si
materijalnom	materijalan	Agpfsiy
,	,	Z
disciplinskom	disciplinski	Agpmsly
i	i	Cc
kaznenom	kazneni	Agpfsiy
odgovornošću	odgovornost	Ncfsi
da	da	Cs
su	biti	Var3p
prijavljeni	prijaviti	Appmpny
podaci	podatak	Ncmpn
o	o	Sl
prebivalištu	prebivalište	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
