DEMOKRATI	demokrat	Ncmpn
–	–	Z
HNS	HNS	Npmsn
HRVATSKA	hrvatski	Agpfsny
SELJAČKA	seljački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HSS	HSS	Npmsn
HRVATSKA	hrvatski	Agpfsny
STRANKA	stranka	Ncfsn
UMIROVLJENIKA	umirovljenik	Ncmpg
–	–	Z
HSU	HS	Npmsl
dobila	dobiti	Vmp-sf
je	biti	Var3s
4	4	Mdc
mjesta	mjesto	Ncnpg
,	,	Z
te	te	Cc
su	biti	Var3p
s	sa	Sg
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabrani	izabran	Agpmpny
kandidati	kandidat	Ncmpn
:	:	Z
1.	1.	Mdo
ZDRAVKO	ZDRAVKO	Npmsn
RONKO	RONKO	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
2.	2.	Mdo
PREDRAG	PREDRAG	Npmsn
MATIĆ	Matić	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
4.	4.	Mdo
)	)	Z
3.	3.	Mdo
DAVOR	DAVOR	Npmsn
VLAOVIĆ	VLAOVIĆ	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
2.	2.	Mdo
)	)	Z
4.	4.	Mdo
MARTA	mart	Ncmsg
LUC-POLANC	LUC-POLANC	Npfsn
(	(	Z
kandidatkinja	kandidatkinja	Ncfsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
3.	3.	Mdo
)	)	Z
3.	3.	Mdo
MOST	most	Ncmsn
NEZAVISNIH	nezavisan	Agpfpgy
LISTA	lista	Ncfpg
–	–	Z
MOST	most	Ncmsan
dobila	dobiti	Vmp-sf
je	biti	Var3s
1	1	Mdc
mjesto	mjesto	Ncnsn
,	,	Z
te	te	Cc
je	biti	Var3s
s	sa	Si
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabran	izabrati	Appmsnn
kandidat	kandidat	Ncmsn
:	:	Z
1.	1.	Mdo
TOMISLAV	TOMISLAV	Npmsn
PANENIĆ	PANENIĆ	Npmsn
,	,	Z
univ	univ	Ncmsn
.	.	Z
spec.	spec.	Y
oec.	oec.	Y
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
4.	4.	Mdo
ŽIVI	živjeti	Vmr3s
ZID	zid	Ncmsan
PROMIJENIMO	promijeniti	Vmr1p
HRVATSKU	Hrvatska	Npfsa
AKCIJA	akcija	Ncfsn
MLADIH	mlad	Agpmpgy
dobila	dobiti	Vmp-sf
je	biti	Var3s
1	1	Mdc
mjesto	mjesto	Ncnsn
,	,	Z
te	te	Cc
je	biti	Var3s
s	sa	Si
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabran	izabrati	Appmsnn
kandidat	kandidat	Ncmsn
:	:	Z
1.	1.	Mdo
IVICA	Ivica	Npmsn
MIŠIĆ	Mišić	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z

Klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
01/125	01/125	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
507/11	507/11	Mdc
-	-	Z
16	16	Mdc
-	-	Z
05	05	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
26.	26.	Mdo
rujna	rujan	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Branko	Branko	Npmsn
Hrvatin	Hrvatin	Npmsn
,	,	Z
dipl.	dipl.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

