Hrvatske	Hrvatska	Npfsg
i	i	Cc
trgovačkom	trgovački	Agpmsly
sudu	sud	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
službenik	službenik	Ncmsn
radi	raditi	Vmr3s
te	te	Cc
predstavljaju	predstavljati	Vmr3p
poslove	posao	Ncmpa
sudske	sudski	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

V.	V.	Y
ZAVRŠNA	završan	Agpfsny
ODREDBA	odredba	Ncfsn

Članak	članak	Ncmsn
32.	32.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/65	01/65	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
514	514	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
15	15	Mdc
-	-	Z
12	12	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
18.	18.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Orsat	Orsat	Npmsn
Miljenić	Miljenić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

