to	taj	Pd-nsn
:	:	Z

.	.	Z
1	1	Mdc
jedan	jedan	Mlcmsn
sustav	sustav	Ncmsn
za	za	Sa
drenažu	drenaža	Ncfsa
za	za	Sa
otvorene	otvoren	Agpmpay
dvostrane	dvostran	Agpmpay
samonapuhavajuće	samonapuhavajuć	Ncmpa
splavi	splav	Ncfsg
kapaciteta	kapacitet	Ncmsg
do	do	Sg
30	30	Mdc
osoba	osoba	Ncfpg
.	.	Z

.	.	Z
2	2	Mdc
dva	dva	Mlc
sustava	sustav	Ncmsg
za	za	Sa
drenažu	drenaža	Ncfsa
za	za	Sa
otvorene	otvoren	Agpfpay
dvostrane	dvostran	Agpfpay
samonapuhavajuće	samonapuhavajuća	Ncfpa
splavi	splav	Agpmpny
za	za	Sa
spašavanje	spašavanje	Ncnsa
kapaciteta	kapacitet	Ncmsg
više	mnogo	Rgc
od	od	Sg
30	30	Mdc
osoba	osoba	Ncfpg
.	.	Z

6.11.3.8	6.11.3.8	Ncfsn
Svaka	svaki	Pi-fsn
otvorena	otvoriti	Appfsny
dvostrana	dvostran	Agpfsny
samonapuhavajuća	samonapuhavajuća	Ncfsn
splav	splav	Ncmsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
sljedeću	sljedeći	Agpfsay
opremu	oprema	Ncfsa
:	:	Z

.	.	Z
1	1	Mdc
jedan	jedan	Mlcmsn
plutajući	plutajući	Agpmsny
kolut	kolut	Ncmsn
za	za	Sa
izbavljanje	izbavljanje	Ncnsa
,	,	Z
pričvršćen	pričvrstiti	Appmsnn
za	za	Sa
plutajuće	plutajući	Agpnsay
uže	uže	Ncnsa
za	za	Sa
spašavanje	spašavanje	Ncnsa
duljine	duljina	Ncfsg
najmanje	malo	Rgs
30	30	Mdc
m	m	Y
i	i	Cc
prekidne	prekidni	Agpfpay
sile	sila	Ncfpa
najmanje	malo	Rgs
1	1	Mdc
kN	KN	Y
;	;	Z

.	.	Z
2	2	Mdc
dva	dva	Mlc
nesklopiva	nesklopiv	Agpmsgn
noža	nož	Ncmsg
s	sa	Si
ručicom	ručica	Ncfsi
od	od	Sg
plutajućeg	plutajući	Agpmsgy
materijala	materijal	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
pričvršćena	pričvrstiti	Appfsny
za	za	Sa
splav	splav	Ncmsan
konopcem	konopac	Ncmsi
.	.	Z

Noževi	nož	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
smješteni	smjestiti	Appmpny
u	u	Sa
korice	korica	Ncfpa
tako	tako	Cs
da	da	Cs
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
stranu	strana	Ncfsa
splav	splav	Ncmsn
napuše	napuhati	Vmr3s
,	,	Z
jedan	jedan	Mlcmsn
