hormonski	hormonski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z
antitijela	antitijelo	Ncnpn
za	za	Sa
tkivne	tkivni	Agpmpay
antigene	antigen	Ncmpa
;	;	Z
biljezi	biljeg	Ncmpn
mijelo	mijela	Ncfsg
i	i	Cc
limfoproliferativnih	limfoproliferativan	Agpfpgy
bolesti	bolest	Ncfpg
10,49	10,49	Mdc
2.307,80	2.307,80	Mdc
LP013	LP013	Mdc
Imunohistokemijski	imunohistokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
na	na	Sl
HER-2	her-a	Ncfsl
9,28	9,28	Mdc
2.041,60	2.041,60	Mdc
LP014	lp014	Agpmsny
Imunohistokemijski	imunohistokemijski	Agpmsny
pregled	pregled	Ncmsn
bioptata	bioptat	Ncmpg
na	na	Sa
HER2	her2	Ncnsa
-	-	Z
DUAL	dual	Ncmsan
ISH	ii	Agpnsgy
DNA	dno	Ncnsg
17,45	17,45	Mdc
3.839,00	3.839,00	Mdc
LP015	LP015	Mdc
Histokemijski	histokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
s	sa	Si
do	do	Sg
3	3	Mdc
preparata	preparat	Ncmpg
Metode	metoda	Ncfsg
za	za	Sa
vezivno	vezivni	Agpnsay
tkivo	tkivo	Ncnsa
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
mišićno	mišićni	Agpnsay
tkivo	tkivo	Ncnsa
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
intercitoplazmatsku	intercitoplazmatski	Agpfsay
granulu	granula	Ncfsa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
jezgrine	jezgrin	Agpmpay
elemente	element	Ncmpa
i	i	Cc
hematopoetske	hematopoetska	Ncfpa
stanice	stanica	Ncfsg
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
masti	mast	Ncfpa
i	i	Cc
lipide	lipid	Ncmpa
;	;	Z
metode	metoda	Ncfpa
za	za	Sa
ugljikohidrate	ugljikohidrat	Ncmpa
i	i	Cc
mukoproteine	mukoproteina	Ncfpa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
pigmente	pigment	Ncmpa
i	i	Cc
minerale	mineral	Ncmpa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
živčane	živčan	Agpfpay
stanice	stanica	Ncfpa
i	i	Cc
neurofilamente	neurofilamenta	Ncfpa
;	;	Z
metode	metoda	Ncfpn
gljivice	gljivica	Ncfsg
,	,	Z
bakterije	bakterija	Ncfsg
i	i	Cc
inkluziona	inkluzion	Ncmpg
tjelešca	tjelešce	Ncnsg
2,11	2,11	Mdc
464,20	464,20	Mdc
LP016	lp016	Agpmsny
Histokemijski	histokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
s	sa	Sg
4	4	Mdc
i	i	Cc
više	mnogo	Rgc
preparata	preparat	Ncmpg
Metode	metoda	Ncfsg
za	za	Sa
vezivno	vezivni	Agpnsay
tkivo	tkivo	Ncnsa
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
mišićno	mišićni	Agpnsay
tkivo	tkivo	Ncnsa
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
intercitoplazmatsku	intercitoplazmatski	Agpfsay
granulu	granula	Ncfsa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
jezgrine	jezgrin	Agpmpay
elemente	element	Ncmpa
i	i	Cc
hematopoetske	hematopoetska	Ncfpa
stanice	stanica	Ncfsg
;	;	Z
metode	metoda	Ncfsg
za	za	Sa
masti	mast	Ncfpa
i	i	Cc
lipide	lipid	Ncmpa
;	;	Z
metode	metoda	Ncfpa
za	za	Sa
ugljikohidrate	ugljikohidrat	Ncmpa
i	i	Cc
mukoproteine	mukoproteina	Ncfpa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
pigmente	pigment	Ncmpa
i	i	Cc
minerale	mineral	Ncmpa
;	;	Z
metode	metoda	Ncfpn
za	za	Sa
živčane	živčan	Agpfpay
stanice	stanica	Ncfpa
i	i	Cc
neurofilamente	neurofilamenta	Ncfpa
;	;	Z
metode	metoda	Ncfpn
gljivice	gljivica	Ncfsg
,	,	Z
bakterije	bakterija	Ncfsg
i	i	Cc
inkluziona	inkluzion	Ncmpg
tjelešca	tjelešce	Ncnsg
3,68	3,68	Mdc
809,60	809,60	Mdc
LP017	lp017	Agpmsny
Pregled	pregled	Ncmsn
uzorka	uzorak	Ncmsg
biopsije	biopsija	Ncfsg
elektronskom	elektronski	Agpfsiy
mikroskopijom	mikroskopija	Ncfsi
Uključuje	uključivati	Vmr3s
:	:	Z
Preuzimanje	preuzimanje	Ncnsn
i	i	Cc
provođenje	provođenje	Ncnsa
materijala	materijal	Ncmpg
,	,	Z
polimerizaciju	polimerizacija	Ncfsa
,	,	Z
trimovanje	trimovanje	Ncnsa
,	,	Z
rezanje	rezanje	Ncnsa
i	i	Cc
bojanje	bojanje	Ncnsa
te	te	Cc
mikroskopiranje	mikroskopiranje	Ncnsn
polutankih	polutanki	Agpmpgy
rezova	rez	Ncmpg
,	,	Z
rezanje	rezanje	Ncnsa
ultratankih	ultratanak	Agpmpgy
rezova	rez	Ncmpg
,	,	Z
kontrastiranje	kontrastiranjati	Vmr3s
mrežica	mrežica	Ncfsn
,	,	Z
mikroskopiranje	mikroskopiranje	Ncnsn
pomoću	pomoć	Sg
elektronskog	elektronski	Agpmsgy
mikroskopa	mikroskop	Ncmsg
,	,	Z
fotografiranje	fotografiranje	Ncnsa
i	i	Cc
izrada	izrada	Ncfpg
fotografija	fotografija	Ncfpg
,	,	Z
analiza	analiza	Ncfpg
snimka	snimka	Ncfsn
i	i	Cc
pisanje	pisanje	Ncnsa
završnog	završan	Agpmsgy
subspecijalističkog	subspecijalistički	Agpmsgy
nalaza	nalaz	Ncmsg
35,71	35,71	Mdc
7.856,20	7.856,20	Mdc
LP018	LP018	Mdo
Obdukcija	obdukcija	Ncfsn
Pregled	pregled	Ncmsn
mrtvog	mrtav	Agpnsgy
tijela	tijelo	Ncnsg
;	;	Z
obdukcija	obdukcija	Ncfsn
;	;	Z
uzimanje	uzimanje	Ncnsn
uzorka	uzorak	Ncmsg
;	;	Z
izrada	izrada	Ncfsn
zapisnika	zapisnik	Ncmpg
s	sa	Si
ispisanim	ispisan	Agpfpiy
dijagnozama	dijagnoza	Ncfpi
34,10	34,10	Mdc
7.502,00	7.502,00	Mdc
LP019	lp019	Agpmsny
Pregled	pregled	Ncmsn
bioptata	bioptat	Ncmsg
jednog	jedan	Mlcmsg
sjemenika	sjemenik	Ncmsg
radi	radi	Sg
IVF	IV	Npmsg
postupka	postupak	Ncmsg
Uključuje	uključivati	Vmr3s
:	:	Z
izradu	izrada	Ncfsa
preparata	preparat	Ncmpg
,	,	Z
imunohistokemiju	imunohistokemij	Ncmsl
,	,	Z
polutanke	polutanki	Agpmpay
rezove	rez	Ncmpa
,	,	Z
»	»	Z
scoring	scoring	Xf
«	«	Z
,	,	Z
mišljenje	mišljenje	Ncnsa
i	i	Cc
pohranu	pohrana	Ncfsa
18,13	18,13	Mdc
3.988,60	3.988,60	Mdc
LP020	lp020	Agpmsny
Pregled	pregled	Ncmsn
bioptata	bioptat	Agpmsgn
oba	oba	Ncmsg
sjemenika	sjemenik	Ncmsg
radi	radi	Sg
IVF	IV	Npmsg
postupka	postupak	Ncmsg
Uključuje	uključivati	Vmr3s
:	:	Z
izradu	izrada	Ncfsa
preparata	preparat	Ncmpg
,	,	Z
imunohistokemiju	imunohistokemij	Ncmsl
,	,	Z
polutanke	polutanki	Agpmpay
rezove	rez	Ncmpa
,	,	Z
»	»	Z
scoring	scoring	Xf
«	«	Z
,	,	Z
mišljenje	mišljenje	Ncnsa
i	i	Cc
pohranu	pohrana	Ncfsa
26,31	26,31	Mdc
5.788,20	5.788,20	Mdc
LP021	LP021	Mdc
Imunohistokemijsko	imunohistokemijski	Agpnsny
ALK	ali	Agpnsny
testiranje	testiranje	Ncnsn
25,98	25,98	Mdc
5.715,60	5.715,60	Mdc
LP022	LP022	Mdc
In	In	Y
situ	sit	Agpfsay
hibridizacijsko	hibridizacijski	Agpnsny
testiranje	testiranje	Ncnsn
,	,	Z
Kappa	Kappa	Npfsn
,	,	Z
Lambda	lambda	Ncfsn
25,02	25,02	Mdc
5.504,40	5.504,40	Mdc
LP023	LP023	Mdc
In	In	Y
situ	sit	Agpfsay
hibridizacijsko	hibridizacijski	Agpnsny
testiranje	testiranje	Ncnsn
Eber	Eber	Npmsn
25,02	25,02	Mdc
5.504,40	5.504,40	Mdc
LT001	LT001	Mdc
Krvna	krvni	Agpfsny
grupa	grupa	Ncfsn
Uključuje	uključivati	Vmr3s
pregledne	pregledan	Agpmpay
testove	test	Ncmpa
imunizacije	imunizacija	Ncfsg
i	i	Cc
određivanje	određivanje	Ncnsa
nejasnih	nejasan	Agpfpgy
krvnih	krvni	Agpfpgy
grupa	grupa	Ncfpg
4,02	4,02	Mdc
884,40	884,40	Mdc
LT002	LT002	Mdc
Krvna	krvni	Agpfsny
grupa	grupa	Ncfsn
hitnim	hitan	Agpmsiy
postupkom	postupak	Ncmsi
5,10	5,10	Mdc
1.122,00	1.122,00	Mdc
LT003	LT003	Mdc
Novorođenčad	novorođenče	Ncnpn
(	(	Z
krvna	krvni	Agpfsny
grupa	grupa	Ncfsn
)	)	Z
3,10	3,10	Mdc
682,00	682,00	Mdc
LT004	LT004	Mdc
Trudnice-druga	trudnice-drug	Agpfsny
kontrola	kontrola	Ncfsn
(	(	Z
krvna	krvni	Agpfsny
grupa	grupa	Ncfsn
)	)	Z
1,67	1,67	Mdc
367,40	367,40	Mdc
LT005	lt00i	Agpfpay
Trudnice	trudnica	Ncfpa
sa	sa	Sg
antieritrocitnim	antieritrocitnia	Ncfsg
protutijelima-kontrola	protutijelima-kontrola	Npfsn
12,13	12,13	Mdc
2.668,60	2.668,60	Mdc
LT006	LT006	Mdc
Trudnice	trudnica	Ncfsg
sa	sa	Si
antieritrocitnim	antieritrocitan	Agpmpiy
protutijelima	protutijelo	Ncmpi
–	–	Z
kontrola	kontrola	Ncfsn
(	(	Z
titar	titar	Ncmsn
antieritrocitnih	antieritrocitan	Agpnpgy
protutijela	protutijelo	Ncnpg
)	)	Z
15,60	15,60	Mdc
3.432,00	3.432,00	Mdc
LT007	LT007	Pi-fsn
Obrada	obrada	Ncfsn
autoimune	autoimun	Agpfsgy
hemolitičke	hemolitički	Agpfsgy
anemije	anemija	Ncfsg
(	(	Z
tople	topao	Agpfpny
)	)	Z
35,26	35,26	Mdc
7.757,20	7.757,20	Mdc
LT008	lt008	Agpmsny
Titar	titar	Ncmsn
izohemaglutinina	izohemaglutinin	Ncmsg
15,37	15,37	Mdc
3.381,40	3.381,40	Mdc
LT009	lt00i	Agpnsny
Pretraživanje	pretraživanje	Ncnsn
antieritrocitnih	antieritrocitan	Agpnpgy
protutijela	protutijelo	Ncnpg
2,07	2,07	Mdc
455,40	455,40	Mdc
LT010	lt01i	Agpnsny
Tipiranje	tipiranje	Ncnsn
eritrocitnih	eritrocitan	Agpmpgy
antigena	antigen	Ncmpg
–	–	Z
otac	otac	Ncmsn
djeteta	dijete	Ncnsg
6,95	6,95	Mdc
1.529,00	1.529,00	Mdc
LT011	lt01i	Agpnsny
Tipiranje	tipiranje	Ncnsn
eritrocitnih	eritrocitan	Agpmpgy
antigena	antigen	Ncmpg
–	–	Z
ostali	ostali	Agpmpny
6,15	6,15	Mdc
