dijeljenjem	dijeljenje	Ncnsi
s	sa	Si
brojem	broj	Ncmsi
30	30	Mdc
kao	kao	Cs
prosječnim	prosječan	Agpmsiy
brojem	broj	Ncmsi
dana	dan	Ncmpg
u	u	Sl
mjesecu	mjesec	Ncmsl
te	te	Cc
se	sebe	Px--sa
dobiveni	dobiven	Agpmsny
iznos	iznos	Ncmsn
množi	množiti	Vmr3s
s	sa	Si
brojem	broj	Ncmsi
dana	dan	Ncmsg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
radnik	radnik	Ncmsn
to	taj	Pd-nsa
pravo	pravo	Ncnsa
stekao	steći	Vmp-sm
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbe	odredba	Ncfsg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
poslodavac	poslodavac	Ncmsn
djelomično	djelomično	Rgp
isplatio	isplatiti	Vmp-sm
plaću	plaća	Ncfsa
radniku	radnik	Ncmsd
u	u	Sl
iznosu	iznos	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
manji	mali	Agcmsny
od	od	Sg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
,	,	Z
radnik	radnik	Ncmsn
za	za	Sa
taj	taj	Pd-msan
mjesec	mjesec	Ncmsan
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
isplatu	isplata	Ncfsa
iznosa	iznos	Ncmsg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
umanjenog	umanjiti	Appnsgy
za	za	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
mu	on	Pp3msd
je	biti	Var3s
po	po	Sl
osnovi	osnova	Ncfsl
te	te	Cc
plaće	plaća	Ncfpn
odnosno	odnosno	Rgp
naknade	naknada	Ncfpa
plaće	plaća	Ncfsg
isplaćen	isplatiti	Appmsnn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Primanja	primanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
cijelosti	cijelost	Ncfsl
su	biti	Var3p
izuzeta	izuzeti	Appfsny
od	od	Sg
ovrhe	ovrha	Ncfsg
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo
d	d	X

Kod	kod	Sg
isplate	isplata	Ncfsg
plaće	plaća	Ncfsg
i	i	Cc
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
obračunati	obračunati	Vmn
i	i	Cc
uplatiti	uplatiti	Vmn
doprinose	doprinos	Ncmpa
za	za	Sa
obvezna	obvezan	Agpnpay
osiguranja	osiguranje	Ncnpa
koji	koji	Pi-mpn
se	sebe	Px--sa
obračunavaju	obračunavati	Vmr3p
na	na	Sa
osnovicu	osnovica	Ncfsa
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo
e	e	X

Iznimno	iznimno	Rgp
,	,	Z
prava	prav	Agpfsny
osigurana	osigurati	Ncfsn
u	u	Sl
slučaju	slučaj	Ncmsl
blokade	blokada	Ncfsg
računa	račun	Ncmsg
poslodavca	poslodavac	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
c	C	X
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
ostvaruje	ostvarivati	Vmr3s
radnik	radnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
ujedno	ujedno	Rgp
i	i	Qo
jedini	jedini	Agpmsny
član	član	Ncmsn
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
poslodavca	poslodavac	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
6.	6.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pravima	pravo	Ncnpi
radnika	radnik	Ncmpg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
«	«	Z
.	.	Z

Iza	iza	Sg
točke	točka	Ncfsg
1.	1.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
nova	nov	Agpfsny
točka	točka	Ncfsn
2.	2.	Mdo
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
2	2	Mdc
)	)	Z
rješavanje	rješavanje	Ncnsn
o	o	Sl
pravima	pravo	Ncnpl
radnika	radnik	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
blokade	blokada	Ncfsg
računa	račun	Ncmsg
poslodavca	poslodavac	Ncmsg
zbog	zbog	Sg
nemogućnosti	nemogućnost	Ncfsg
prisilne	prisilan	Agpfsgy
naplate	naplata	Ncfsg
neisplaćene	neisplaćen	Agpfsgy
plaće	plaća	Ncfsg
odnosno	odnosno	Rgp
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
utvrđenim	utvrditi	Vmr3p
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
i	i	Cc
obavljanje	obavljanje	Ncnsa
uplate	uplata	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
donesenih	donesen	Agpnpgy
rješenja	rješenje	Ncnpg
na	na	Sa
račun	račun	Ncmsan
radnika	radnik	Ncmpg
,	,	Z
«	«	Z
.	.	Z

Dosadašnje	dosadašnji	Agpfpny
točke	točka	Ncfpn
2.	2.	Mdo
−	−	Z
7.	7.	Mdo
postaju	postaja	Ncfsa
točke	točka	Ncfsg
3.	3.	Mdo
−	−	Z
8.	8.	Mdo

Iza	iza	Sg
dosadašnje	dosadašnji	Agpfsgy
točke	točka	Ncfsg
7.	7.	Mdo
,	,	Z
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
8.	8.	Mdo
,	,	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
točka	točka	Ncfsn
9.	9.	Mdo
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
9	9	Mdc
)	)	Z
ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnsg
ovrhovoditelja	ovrhovoditelj	Ncmpg
u	u	Sl
ovršnom	ovršni	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
u	u	Sl
visini	visina	Ncfsl
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
«	«	Z
.	.	Z

Dosadašnja	dosadašnji	Agpfsny
točka	točka	Ncfsn
8.	8.	Mdo
postaje	postajati	Vmr3s
točka	točka	Ncfsn
10.	10.	Mdo

Članak	članak	Ncmsn
10.	10.	Mdo

U	u	Sl
nazivu	naziv	Ncmsl
glave	glava	Ncfsg
IV	IV	Mrc
.	.	Z
iza	iza	Sg
riječi	riječ	Ncfpg
:	:	Z
»	»	Z
PRAVA	pravo	Ncnpg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
U	u	Sl
SLUČAJU	slučaj	Ncmsl
STEČAJA	stečaj	Ncmsg
POSLODAVCA	poslodavac	Ncmsg
