Pretraživanje	pretraživanje	Ncnsn
na	na	Sa
autoimune	autoimun	Agpfpay
bolesti	bolest	Ncfpa
jetre	jetra	Ncfsg
i	i	Cc
želuca	želudac	Ncmsg
(	(	Z
AMA	AMA	Npfsn
,	,	Z
AGLM	AGLM	Npmsn
,	,	Z
LKM	LKM	Npmsn
,	,	Z
APC	APC	Npmsn
)	)	Z
3,85	3,85	Mdc
847,00	847,00	Mdc
LB761	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
antigena	antigen	Ncmsg
p50	p50	Mdc
–	–	Z
kvantitativno	kvantitativno	Rgp
1,92	1,92	Mdc
422,40	422,40	Mdc
LB762	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
asijaloglikoproteinskog	asijaloglikoproteinski	Agpmsgy
receptora	receptor	Ncmsg
1,75	1,75	Mdc
385,00	385,00	Mdc
LB763	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
citoplazmatskih	citoplazmatski	Agpmpgy
jezgrinih	jezgrin	Agpmpgy
antigena	antigen	Ncmpg
neutrofilnih	neutrofilan	Agpmpgy
granulocita	granulocit	Ncmpg
13,87	13,87	Mdc
3.051,40	3.051,40	Mdc
LB764	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
endomizija	endomizij	Ncmsg
3,81	3,81	Mdc
838,20	838,20	Mdc
LB765	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tkivne	tkivni	Agpfsgy
transglutaminaze	transglutaminaza	Ncfsg
1,92	1,92	Mdc
422,40	422,40	Mdc
LB766	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
gliadina	gliadin	Ncmsg
2,50	2,50	Mdc
550,00	550,00	Mdc
LB767	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
parijetalnih	parijetalni	Agpfpgy
stanica	stanica	Ncfpg
2,93	2,93	Mdc
644,60	644,60	Mdc
LB768	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
H	h	Y
/	/	Z
K	k	Y
adenozin-trifosfataze	adenozin-trifosfataza	Ncfpa
1,75	1,75	Mdc
385,00	385,00	Mdc
LB769	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
unutarnjeg	unutarnji	Agpmsgy
faktora	faktor	Ncmsg
1,75	1,75	Mdc
385,00	385,00	Mdc
LB770	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
Saccharomyces	saccharomycei	Agpfsgy
cerevisiae	cerevisiaa	Ncfsg
–	–	Z
kvalitativno	kvalitativno	Rgp
2,97	2,97	Mdc
653,40	653,40	Mdc
LB771	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
Saccharomyces	saccharomycei	Agpfsgy
cerevisiae	cerevisiaa	Ncfsg
–	–	Z
semikvantitativno	semikvantitativno	Rgp
4,10	4,10	Mdc
902,00	902,00	Mdc
LB772	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
fosfopeptidomanana	fosfopeptidomanan	Ncmpg
1,75	1,75	Mdc
385,00	385,00	Mdc
LB773	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tireoglobulina	tireoglobulin	Ncmsg
