javnu	javan	Agpfsay
ispravu	isprava	Ncfsa
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
podatak	podatak	Ncmsan
o	o	Sl
osobnom	osoban	Agpmsly
identifikacijskom	identifikacijski	Agpmsly
broju	broj	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dokaze	dokaz	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
a	a	Cc
)	)	Z
i	i	Cc
b	b	Npmsn
)	)	Z
,	,	Z
podstavka	podstavak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncmsg
c	C	Npmsn
)	)	Z
,	,	Z
d	d	Qr
)	)	Z
i	i	Cc
e	e	Npmsn
)	)	Z
te	te	Cc
podstavka	podstavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
podtočaka	podtočak	Ncmsg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
i	i	Cc
točke	točka	Ncfpa
b	b	X
)	)	Z
podtočaka	podtočaki	Agpfsny
1.	1.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
radniku	radnik	Ncmsd
je	biti	Var3s
na	na	Sa
njegov	njegov	Ps3msan
zahtjev	zahtjev	Ncmsan
dužan	dužan	Agpmsann
izdati	izdati	Vmn
odnosno	odnosno	Rgp
osigurati	osigurati	Vmn
poslodavac	poslodavac	Ncmsan
.	.	Z

IV	IV	Mrc
.	.	Z

ZAVRŠNE	završan	Agpfpny
ODREDBE	odredba	Ncfpn

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Danom	dan	Agpnsly
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
sadržaju	sadržaj	Ncmsl
obrasca	obrazac	Ncmsg
zahtjeva	zahtjev	Ncmpg
radnika	radnik	Ncmpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
128/08	128/08	Mdc
,	,	Z
34/10	34/10	Mdc
i	i	Cc
104/12	104/12	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Postupci	postupak	Ncmpn
pokrenuti	pokrenuti	Vmn
temeljem	temelj	Ncmsi
Pravilnika	pravilnik	Ncmsg
o	o	Sl
sadržaju	sadržaj	Ncmsl
obrasca	obrazac	Ncmsg
zahtjeva	zahtjev	Ncmpg
radnika	radnik	Ncmpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
128/08	128/08	Mdc
,	,	Z
34/10	34/10	Mdc
i	i	Cc
104/12	104/12	Mdc
)	)	Z
,	,	Z
dovršit	dovršiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
tog	taj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
