primala	primati	Vmp-sf
sve	sve	Qo
do	do	Sg
kraja	kraj	Ncmsg
svibnja	svibanj	Ncmsg
2012.	2012.	Mdo

44.	44.	Mdo

Ovaj	ovaj	Pd-msn
je	biti	Var3s
predmet	predmet	Ncmsn
u	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
ogledni	ogledni	Agpmsayn
primjer	primjer	Ncmsan
Ustavom	ustav	Ncmsi
nedopuštenog	nedopušten	Agpmsgy
ekscesivnog	ekscesivan	Agpmsgy
formalizma	formalizam	Ncmsg
koji	koji	Pi-msn
,	,	Z
općenito	preopćenito	Rgp
govoreći	govoriti	Rr
,	,	Z
još	još	Rgp
uvijek	uvijek	Rgp
opterećuje	opterećivati	Vmr3s
rad	rad	Ncmsan
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
državne	državni	Agpfsgy
i	i	Cc
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
ali	ali	Cc
i	i	Cc
nadležnih	nadležan	Agpmpgy
domaćih	domaći	Agpmpgy
sudova	sud	Ncmpg
,	,	Z
kad	kad	Cs
odlučuju	odlučivati	Vmr3p
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
stranaka	stranka	Ncfpg
u	u	Sl
pravnim	pravni	Agpmply
postupcima	postupak	Ncmpl
.	.	Z

45.	45.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
već	već	Rgp
godinama	godina	Ncfpi
uporno	uporno	Rgp
ponavlja	ponavljati	Vmr3s
da	da	Cs
su	biti	Var3p
nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
,	,	Z
uključujući	uključivati	Rr
sudove	sud	Ncmpa
,	,	Z
dužni	dužan	Agpmpny
tumačiti	tumačiti	Vmn
i	i	Cc
primjenjivati	primjenjivati	Vmn
mjerodavno	mjerodavan	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
uvijek	uvijek	Rgp
i	i	Cc
bez	bez	Sg
izuzetka	izuzetak	Ncmsg
,	,	Z
u	u	Sl
svjetlu	svjetlo	Ncnsl
osobitih	osobit	Agpfpgy
okolnosti	okolnost	Ncfpg
svakog	svaki	Pi-msg
konkretnog	konkretan	Agpmsgy
slučaja	slučaj	Ncmsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
u	u	Sl
nekom	neki	Pi-msl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
mjerodavan	mjerodavan	Agpmsnn
jedan	jedan	Mlcmsan
zakon	zakon	Ncmsan
,	,	Z
ali	ali	Cc
združeni	združiti	Appmpny
učinci	učinak	Ncmpn
tog	taj	Pd-msg
i	i	Cc
nekog	neki	Pi-msay
drugog	drugi	Ncmsay
ili	ili	Cc
više	mnogo	Rgc
drugih	drugi	Mlompg
zakona	zakon	Ncmpg
izravno	izravno	Rgp
utječu	utjecati	Vmr3p
na	na	Sa
zakonska	zakonski	Agpnpay
prava	pravo	Ncnpa
ili	ili	Cc
obveze	obveza	Ncfsg
stranaka	stranka	Ncfpg
,	,	Z
onda	onda	Rgp
su	biti	Var3p
nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
,	,	Z
uključujući	uključivati	Rr
sudove	sud	Ncmpa
,	,	Z
bez	bez	Sg
iznimke	iznimka	Ncfsg
dužni	dužan	Agpmpny
tumačiti	tumačiti	Vmn
sve	sav	Agpfpay
