druge	drugi	Mlompa
poslove	posao	Ncmpa
ili	ili	Cc
prestanka	prestanak	Ncmsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
za	za	Sa
rad	rad	Ncmsan
pismohrane	pismohrana	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
službenik	službenik	Ncmsn
u	u	Sl
pismohrani	pismohrana	Ncfsl
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
izvršiti	izvršiti	Vmn
primopredaju	primopredaja	Ncfsa
arhivskog	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
s	sa	Si
osobom	osoba	Ncfsi
koja	koji	Pi-fsn
preuzima	preuzimati	Vmr3s
pismohranu	pismohrana	Ncfsa
.	.	Z

VIII	viii	Mrc
.	.	Z

PROSTOR	prostor	Ncmsn
PISMOHRANE	pismohrana	Ncfsg

Članak	članak	Ncmsn
35.	35.	Mdo

Prostor	prostor	Ncmsn
i	i	Cc
oprema	opremati	Vmr3s
za	za	Sa
smještaj	smještaj	Ncmsan
i	i	Cc
zaštitu	zaštita	Ncfsa
arhivskoga	arhivski	Agpmsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
primjereni	primjeriti	Appmpny
potrebi	potreba	Ncfsl
sigurnog	siguran	Agpnsgy
čuvanja	čuvanje	Ncnsg
,	,	Z
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
.	.	Z

Materijalna	materijalan	Agpfsny
(	(	Z
fizičko-tehnička	fizičko-tehnički	Agpfsny
)	)	Z
zaštita	zaštita	Ncfsn
arhivskoga	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
obuhvaća	obuhvaćati	Vmr3s
fizičko-tehničku	fizičko-tehnički	Agpfsay
zaštitu	zaštita	Ncfsa
od	od	Sg
oštećenja	oštećenje	Ncnsg
,	,	Z
uništenja	uništenje	Ncnsg
ili	ili	Cc
nestanka	nestanak	Ncmsg
.	.	Z

Materijalna	materijalan	Agpfsny
zaštita	zaštita	Ncfsn
osigurava	osiguravati	Vmr3s
se	sebe	Px--sa
:	:	Z

–		Mlc--l
obaveznim	obavezan	Agpnsiy
zaključavanjem	zaključavanje	Ncnsi
prostorija	prostorija	Ncfpg
pismohrane	pismohrana	Ncfsg
,	,	Z
