financije	financije	Ncfpa
o	o	Sl
uspješnoj	uspješan	Agpfsly
provjeri	provjera	Ncfsl
,	,	Z

4	4	Mdc
)	)	Z
podatke	podatak	Ncmpa
o	o	Sl
isplaćenoj	isplatiti	Agpfsly
plaći	plaća	Ncfsl
odnosno	odnosno	Rgp
naknadi	naknaditi	Vmr3s
plaće	plaća	Ncfpa
za	za	Sa
mjesec	mjesec	Ncmsan
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
traži	tražiti	Vmr3s
isplata	isplata	Ncfsn
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
plaća	plaća	Ncfsn
odnosno	odnosno	Rgp
naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
djelomično	djelomično	Rgp
isplaćena	isplatiti	Appfsny
i	i	Cc

5	5	Mdc
)	)	Z
potvrdu	potvrda	Ncfsa
Financijske	financijski	Agpfsgy
agencije	agencija	Ncfsg
da	da	Cs
ima	imati	Vmr3s
evidentiranu	evidentirati	Ncfsa
i	i	Cc
neizvršenu	neizvršen	Agpfsay
osnovu	osnova	Ncfsa
za	za	Sa
plaćanje	plaćanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
da	da	Cs
su	biti	Var3p
mu	on	Agpmpny
računi	račun	Ncmpn
blokirani	blokirati	Appmpny
,	,	Z
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
svim	sav	Agpfply
neizvršenim	neizvršen	Agpfply
osnovama	osnova	Ncfpl
za	za	Sa
plaćanje	plaćanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
iz	iz	Sg
očevidnika	očevidnik	Ncmsg
redoslijeda	redoslijed	Ncmsg
osnova	osnova	Ncfpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
koji	koji	Pi-msn
vodi	voditi	Vmr3s
Financijska	financijski	Agpfsny
agencija	agencija	Ncfsn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Na	na	Sa
zahtjev	zahtjev	Ncmsan
poslodavca	poslodavac	Ncmsg
,	,	Z
Financijska	financijski	Agpfsny
agencija	agencija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
izdati	izdati	Vmn
potvrdu	potvrda	Ncfsa
da	da	Cs
poslodavac	poslodavac	Ncmsn
ima	imati	Vmr3s
neizvršenu	neizvršen	Agpfsay
osnovu	osnova	Ncfsa
za	za	Sa
plaćanje	plaćanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
te	te	Cc
da	da	Cs
su	biti	Var3p
mu	on	Agpmpny
računi	račun	Ncmpn
blokirani	blokirati	Appmpny
,	,	Z
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
svim	sav	Agpfply
neizvršenim	neizvršen	Agpfply
osnovama	osnova	Ncfpl
za	za	Sa
plaćanje	plaćanje	Ncnsa
iz	iz	Sg
očevidnika	očevidnik	Ncmpg
redoslijeda	redoslijed	Ncmsg
osnova	osnova	Ncfpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Zahtjevi	zahtjev	Ncmpn
iz	iz	Sg
