podnosi	podnositi	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg
u	u	Sl
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
akvakulturi	akvakultura	Ncfsl
ili	ili	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
ili	ili	Cc
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfsn
proizvođača	proizvođač	Ncmsg

b	b	Npmsn
)	)	Z
popis	popis	Ncmsan
članova	član	Ncmpg
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmpg
u	u	Sl
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
akvakulturi	akvakultura	Ncfsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
organizacije	organizacija	Ncfpn
proizvođača	proizvođač	Ncmpg
)	)	Z
ili	ili	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
ili	ili	Cc
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfsn
proizvođača	proizvođač	Ncmsg

c	C	Npmsn
)	)	Z
statut	statut	Ncmsan
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
ili	ili	Cc
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfsn
proizvođača	proizvođač	Ncmsg

d	d	Npfsn
)	)	Z
pravila	pravilo	Ncnpg
unutarnjeg	unutarnji	Agpnsgy
funkcioniranja	funkcioniranje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
načelima	načelo	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
17.	17.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1379/2013	1379/2013	Mdc

e	e	I
)	)	Z
imena	ime	Ncnsg
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
ovlaštene	ovlašten	Agpfpny
za	za	Sa
zastupanje	zastupanje	Ncnsa
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
ili	ili	Cc
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfsn
proizvođača	proizvođač	Ncmsg

f	i	Agpmpay
)	)	Z
dokaze	dokaz	Ncmpa
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
za	za	Sa
organizacije	organizacija	Ncfpa
proizvođača	proizvođač	Ncmsg
odnosno	odnosno	Rgp
članka	članak	Ncmsg
16.	16.	Mdo
za	za	Sa
međustrukovne	međustrukovan	Agpfpay
organizacije	organizacija	Ncfpa
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1379/2013	1379/2013	Mdc

g	g	Qr
)	)	Z
detaljne	detaljan	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
aktivnostima	aktivnost	Ncfpl
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
