liste	lista	Ncfpa
sudionika	sudionik	Ncmpg
,	,	Z
izvještaje	izvještaj	Ncmpa
o	o	Sl
provedenim	provesti	Agpfply
edukacijama	edukacija	Ncfpl
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ovlaštene	ovlašten	Agpfpny
osobe	osoba	Ncfpn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužne	dužan	Agpfpny
su	biti	Var3p
prilikom	prilikom	Sg
kontrole	kontrola	Ncfsg
predočiti	predočiti	Vmn
identifikacijski	identifikacijski	Agpmsayn
dokument	dokument	Ncmsan
.	.	Z

X.	X.	Y
RASKID	raskid	Ncmsan
UGOVORA	ugovor	Ncmsg
I	i	Cc
POVRAT	povrat	Ncmsn
SREDSTAVA	sredstvo	Ncnpg

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
raskinuti	raskinuti	Vmn
Ugovor	ugovor	Ncmsan
s	sa	Si
lokalnom	lokalan	Agpfsiy
inicijativom	inicijativa	Ncfsi
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

a	a	Cc
)	)	Z
ukoliko	ukoliko	Cs
lokalna	lokalan	Agpfsny
inicijativa	inicijativa	Ncfsn
podnese	podnijeti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
nakon	nakon	Sg
sklapanja	sklapanje	Ncnsg
Ugovora	ugovor	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
kada	kada	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
koja	koji	Pi-fsn
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
,	,	Z
kad	kad	Cs
lokalna	lokalan	Agpfsny
inicijativa	inicijativa	Ncfsn
prekrši	prekršiti	Vmr3s
odredbe	odredba	Ncfpa
