dobi	doba	Ncfsl
djeteta	dijete	Ncnsg

2.	2.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
otvaranja	otvaranje	Ncnsg
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
metodom	metoda	Sg
potiskivanja	potiskivanje	Ncnsg
donje	donji	Agpfsgy
čeljusti	čeljust	Ncfsg
prema	prema	Sl
naprijed	naprijed	Rgp
kod	kod	Sg
djece	dijete	Ncnpg

3.	3.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
postavljanja	postavljanje	Ncnsg
orofaringealnog	orofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

4.	4.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
postavljanja	postavljanje	Ncnsg
nazofaringealnog	nazofaringealan	Agpmsgy
tubusa	tubus	Ncmsg
kod	kod	Sg
djece	dijete	Ncnpg

5.	5.	Mdo
pokazati	pokazati	Vmn
ventilaciju	ventilacija	Ncfsa
maskom	maska	Ncfsi
sa	sa	Si
samoširećim	samošireći	Agpmsiy
balonom	balon	Ncmsi
i	i	Cc
spremnikom	spremnik	Ncmsi
kod	kod	Sg
djece	dijete	Ncnpg
.	.	Z

4.	4.	Mdo
POROD	porod	Ncmsn

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
opisati	opisati	Vmn
fiziološki	fiziološki	Agpmsayn
tijek	tijek	Ncmsan
poroda	porod	Ncmsg
,	,	Z
asistirati	asistirati	Vmn
pri	pri	Sl
normalnom	normalan	Agpmsly
porodu	porod	Ncmsl
,	,	Z
zbrinuti	zbrinuti	Vmn
majku	majka	Ncfsa
nakon	nakon	Sg
poroda	porod	Ncmsg
,	,	Z
procijeniti	procijeniti	Vmn
i	i	Cc
zbrinuti	zbrinuti	Vmn
novorođenče	novorođenče	Ncnsa
.	.	Z

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
navesti	navesti	Vmn
postupke	postupak	Ncmpa
procjene	procjena	Ncfsg
rodilje	rodilja	Ncfsg

2.	2.	Mdo
opisati	opisati	Vmn
fiziološki	fiziološki	Agpmsayn
tijek	tijek	Ncmsan
i	i	Cc
postupak	postupak	Ncmsan
asistiranja	asistiranje	Ncnsg
pri	pri	Sl
normalnom	normalan	Agpmsly
porodu	porod	Ncmsl

3.	3.	Mdo
navesti	navesti	Vmn
postupak	postupak	Ncmsan
procjene	procjena	Ncfsg
majke	majka	Ncfsg
nakon	nakon	Sg
poroda	porod	Ncmsg

4.	4.	Mdo
opisati	opisati	Vmn
postupak	postupak	Ncmsan
procjene	procjena	Ncfsg
novorođenčeta	novorođenče	Ncnsg

5.	5.	Mdo
objasniti	objasniti	Vmn
postupak	postupak	Ncmsan
zbrinjavanja	zbrinjavanje	Ncnsg
novorođenče	novorođenče	Ncnsn
.	.	Z

Vještine	vještina	Ncfpn
:	:	Z

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
demonstrirati	demonstrirati	Vmn
postupak	postupak	Ncmsan
asistencije	asistencija	Ncfsg
pri	pri	Sl
normalnom	normalan	Agpmsly
porodu	porod	Ncmsl
na	na	Sl
modelu	model	Ncmsl
za	za	Sa
porod	porod	Ncmsan

2.	2.	Mdo
demonstrirati	demonstrirati	Vmn
postupak	postupak	Ncmsan
procjene	procjena	Ncfsg
i	i	Cc
zbrinjavanja	zbrinjavanje	Ncnsg
novorođenčeta	novorođenče	Ncnsg
.	.	Z

IV	IV	Mrc
.	.	Z

Edukacijski	edukacijski	Agpmsny
program	program	Ncmsn
za	za	Sa
vozače	vozač	Ncmpa
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg

Članak	članak	Ncmsn
13.	13.	Mdo

Edukacijski	edukacijski	Agpmsny
program	program	Ncmsn
za	za	Sa
vozače	vozač	Ncmpa
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
obuhvaća	obuhvaćati	Vmr3s
edukacijske	edukacijski	Agpfpay
vježbe	vježba	Ncfpa
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
i	i	Cc
edukacijske	edukacijski	Agpfpny
vježbe	vježba	Ncfpn
