nagnutim	nagnuti	Agpmpiy
terenima	teren	Ncmpi
(	(	Z
nagib	nagib	Ncmsn
16	16	Mdc
%	%	Z
-26	-26	Mdc
%	%	Z
)	)	Z
i	i	Cc
strminama	strmina	Ncfpi
(	(	Z
nagib	nagib	Ncmsn
>	>	Z
26	26	Mdc
%	%	Z
)	)	Z
odobrava	odobravati	Vmr3s
se	sebe	Px--sa
veći	velik	Agcmsny
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Broj	broj	Ncmsn
projekata	projekat	Ncmpg
odobrenih	odobriti	Appmpgy
pojedinom	pojedini	Agpmsdy
Korisniku	korisnik	Ncmsd
u	u	Sl
istoj	isti	Agpfsly
godini	godina	Ncfsl
nije	biti	Var3s
ograničen	ograničiti	Appmsnn
,	,	Z
međutim	međutim	Rgp
u	u	Sl
okviru	okvir	Ncmsl
jedne	jedan	Mlcfsg
financijske	financijski	Agpfsgy
godine	godina	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
istom	isti	Agpmsdy
Korisniku	korisnik	Ncmsd
odobriti	odobriti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
većem	velik	Agcmsly
od	od	Sg
EUR	EUR	Npmsn
750.000	750.000	Mdc
u	u	Sl
okviru	okvir	Ncmsl
mjere	mjera	Ncfsg
Restrukturiranje	restrukturiranje	Ncnsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
preračunavanje	preračunavanje	Ncnsa
iznosa	iznos	Ncmpg
u	u	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
iznosa	iznos	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
kunama	kuna	Ncfpl
koristi	koristiti	Vmr3s
se	sebe	Px--sa
tečaj	tečaj	Ncmsn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
30.	30.	Mdo

Delegirane	delegiran	Agpfpny
Uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
907/2014.	907/2014.	Mds

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
preračunavanje	preračunavanje	Ncnsa
iznosa	iznos	Ncmpg
u	u	Sl
stavku	stavak	Ncmsl
4.	4.	Mdo
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
kunama	kuna	Ncfpl
koristi	koristiti	Vmr3s
se	sebe	Px--sa
mjesečni	mjesečan	Agpmsny
tečaj	tečaj	Ncmsn
Europske	europski	Agpfsgy
središnje	središnji	Agpfsgy
banke	banka	Ncfsg
za	za	Sa
mjesec	mjesec	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
natječajna	natječajni	Agpfsny
prijava	prijava	Ncfsn
,	,	Z
link	link	Ncmsn
:	:	Z

http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.M.HRK.EUR.SP00.A	http://sdw.ecb.europa.eu/quickview.do?series_key=120.exr.m.hrk.eur.sp00.a	Ncfsn

V.	vi	Agpfpny
DOZVOLJENE	dozvoljen	Agpfpny
AKTIVNOSTI	aktivnost	Ncfpn
I	i	Cc
TROŠKOVI	trošak	Ncmpn

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dozvoljene	dozvoljen	Agpfpay
aktivnosti	aktivnost	Ncfpa
za	za	Sa
mjeru	mjera	Ncfsa
Restrukturiranje	restrukturiranje	Ncnsa
su	biti	Var3p
:	:	Z

A.	A.	Sg
ulaganja	ulaganje	Ncnsg
vezana	vezan	Agpnpny
uz	uz	Sa
zamjenu	zamjena	Ncfsa
sorte	sorta	Ncfsg
/	/	Z
sorata	sorta	Ncfpg
i	i	Cc
premještanje	premještanje	Ncnsa
vinograda	vinograd	Ncmsg
:	:	Z

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpny
za	za	Sa
restrukturiranje	restrukturiranje	Ncnsa
vinograda	vinograd	Ncmsg
–	–	Z
krčenje	krčenje	Ncnsa
zemljišta	zemljište	Ncnsg
,	,	Z
uklanjanje	uklanjanje	Ncnsa
stupova	stup	Ncmpg
,	,	Z
žica	žica	Ncfpg
,	,	Z
kolaca	kolac	Ncmpg
,	,	Z
sakupljanje	sakupljanje	Ncnsa
i	i	Cc
prijevoz	prijevoz	Ncmsan
dijelova	dio	Ncmpg
