ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
najmanje	malo	Rgs
30	30	Mdc
godina	godina	Ncfpg
,	,	Z
na	na	Sl
prikladnome	prikladan	Agpmsly
i	i	Cc
čitljivome	čitljiv	Agpmsly
mediju	medij	Ncmsl
za	za	Sa
pohranu	pohrana	Ncfsa
podataka	podatak	Ncmpg
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
sljedivost	sljedivost	Ncfsn
.	.	Z

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
transfuzijsko	transfuzijski	Agpnsay
liječenje	liječenje	Ncnsa
moraju	morati	Vmr3p
uspostaviti	uspostaviti	Vmn
postupke	postupak	Ncmpa
vođenja	vođenje	Ncnsg
i	i	Cc
čuvanja	čuvanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
o	o	Sl
transfuziji	transfuzija	Ncfsl
svakog	svaki	Pi-msg
krvnog	krvni	Agpmsgy
pripravka	pripravak	Ncmsg
te	te	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
ozbiljne	ozbiljan	Agpfsgy
štetne	štetan	Agpfsgy
reakcije	reakcija	Ncfsg
povezane	povezan	Agpfsgy
s	sa	Si
kvalitetom	kvaliteta	Ncfsi
i	i	Cc
sigurnosti	sigurnost	Ncfsg
krvi	krv	Ncfsg
i	i	Cc
krvnih	krvni	Agpmpgy
pripravaka	pripravak	Ncmpg
bez	bez	Sg
odlaganja	odlaganje	Ncnsg
obavijestiti	obavijestiti	Vmn
ovlaštenu	ovlašten	Agpfsay
zdravstvenu	zdravstven	Agpfsay
ustanovu	ustanova	Ncfsa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
krvnih	krvni	Agpmpgy
pripravaka	pripravak	Ncmpg
koja	koji	Pi-fsn
je	biti	Var3s
raspodijelila	raspodijeliti	Vmp-sf
pripravak	pripravak	Ncmsan
i	i	Cc
nadležnu	nadležan	Agpfsay
ustrojstvenu	ustrojstven	Agpfsay
jedinicu	jedinica	Ncfsa
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
.	.	Z

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
transfuzijsko	transfuzijski	Agpnsay
liječenje	liječenje	Ncnsa
moraju	morati	Vmr3p
uspostaviti	uspostaviti	Vmn
postupke	postupak	Ncmpa
vođenja	vođenje	Ncnsg
i	i	Cc
čuvanja	čuvanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
za	za	Sa
svaki	svaki	Pi-msan
ozbiljni	ozbiljan	Agpmsayn
štetni	štetan	Agpmsayn
događaj	događaj	Ncmsan
.	.	Z

Ustanove	ustanova	Ncfpn
moraju	morati	Vmr3p
bez	bez	Sg
odlaganja	odlaganje	Ncnsg
obavijestiti	obavijestiti	Vmn
nadležnu	nadležan	Agpfsay
ustrojstvenu	ustrojstven	Agpfsay
jedinicu	jedinica	Ncfsa
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
o	o	Sl
svakom	svaki	Pi-msl
ozbiljnom	ozbiljan	Agpmsly
štetnom	štetan	Agpmsly
događaju	događaj	Ncmsl
koji	koji	Pi-msn
može	moći	Vmr3s
utjecati	utjecati	Vmn
na	na	Sa
kvalitetu	kvaliteta	Ncfsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
krvi	krv	Ncfsg
i	i	Cc
krvnih	krvni	Agpmpgy
pripravaka	pripravak	Ncmpg
,	,	Z
uključivo	uključivo	Rgp
opskrbu	opskrba	Ncfsa
pripravcima	pripravak	Ncmpi
.	.	Z

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
transfuzijsko	transfuzijski	Agpnsay
liječenje	liječenje	Ncnsa
dostavljaju	dostavljati	Vmr3p
ministarstvu	ministarstvo	Ncnsd
nadležnom	nadležan	Agpfsiy
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
svim	sav	Agpfply
ozbiljnim	ozbiljan	Agpfply
štetnim	štetan	Agpfply
reakcijama	reakcija	Ncfpl
i	i	Cc
svim	sav	Agpmpdy
ozbiljnim	ozbiljan	Agpmply
štetnim	štetan	Agpmply
događajima	događaj	Ncmpl
.	.	Z

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
transfuzijsko	transfuzijski	Agpnsay
liječenje	liječenje	Ncnsa
dostavljaju	dostavljati	Vmr3p
Hrvatskom	hrvatski	Agpmsly
zavodu	zavod	Ncmsl
za	za	Sa
transfuzijsku	transfuzijski	Agpfsay
medicinu	medicina	Ncfsa
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
ozbiljnim	ozbiljan	Agpfply
štetnim	štetan	Agpfply
reakcijama	reakcija	Ncfpl
i	i	Cc
ozbiljnim	ozbiljan	Agpmpiy
štetnim	štetan	Agpmpiy
događajima	događaj	Ncmpi
vezanim	vezan	Agpmpiy
za	za	Sa
kvalitetu	kvaliteta	Ncfsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
pripravaka	pripravak	Ncmpg
.	.	Z

Izvješća	izvješće	Ncnpn
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Obavijesti	obavijest	Ncfpn
i	i	Cc
godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
13.	13.	Mdo
,	,	Z
14.	14.	Mdo
i	i	Cc
15.	15.	Mdo
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
na	na	Sl
obrascima	obrazac	Ncmpl
Pravilnika	pravilnik	Ncmpg
o	o	Sl
sustavu	sustav	Ncmsl
sljedivosti	sljedivost	Ncfsg
krvnih	krvni	Agpmpgy
pripravaka	pripravak	Ncmpg
i	i	Cc
praćenju	praćenje	Ncnsl
ozbiljnih	ozbiljan	Agpmpgy
štetnih	štetan	Agpmpgy
događaja	događaj	Ncmpg
i	i	Cc
ozbiljnih	ozbiljan	Agpfpgy
štetnih	štetan	Agpfpgy
reakcija	reakcija	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
63/07.	63/07.	Mds
,	,	Z
18/09.	18/09.	Mds
)	)	Z
.	.	Z

Bolničke	bolnički	Agpfpny
transfuzijske	transfuzijski	Agpfpny
jedinice	jedinica	Ncfpn
moraju	morati	Vmr3p
poduzeti	poduzeti	Vmn
sve	sav	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
osigurale	osigurati	Vmp-pf
da	da	Cs
podaci	podatak	Ncmpn
,	,	Z
uključujući	uključivati	Rr
prikupljene	prikupiti	Agpfpay
genetske	genetski	Agpfpay
informacije	informacija	Ncfpa
,	,	Z
kojima	koji	Pi-fpi
treće	treći	Mlofsg
strane	strana	Ncfsg
imaju	imati	Vmr3p
pristup	pristup	Ncmsan
,	,	Z
budu	biti	Var3p
anonimni	anoniman	Agpmpny
,	,	Z
kako	kako	Cs
ne	ne	Qz
bi	biti	Vaa3s
bila	biti	Vap-sf
moguća	moguć	Agpfsny
identifikacija	identifikacija	Ncfsn
darivatelja	darivatelj	Ncmpg
.	.	Z

U	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
osigurati	osigurati	Vmn
:	:	Z

–	i	Agpnsny
uspostavljanje	uspostavljanje	Ncnsn
mjera	mjera	Ncfpg
zaštite	zaštita	Ncfsg
podataka	podatak	Ncmpg
kao	kao	Cs
i	i	Qo
zaštita	zaštita	Ncfsn
protiv	protiv	Sg
neovlaštenog	neovlašten	Agpnsgy
dodavanja	dodavanje	Ncnsg
,	,	Z
brisanja	brisanje	Ncnsg
ili	ili	Cc
modifikacije	modifikacija	Ncfsg
darivateljevih	darivateljev	Aspmpgy
podataka	podatak	Ncmpg
,	,	Z
mjera	mjera	Ncfsn
zaštite	zaštita	Ncfsg
podataka	podatak	Ncmpg
o	o	Sl
odbijanju	odbijanje	Ncnsl
darivanja	darivanje	Ncnsg
i	i	Cc
mjera	mjera	Ncfsn
zaštite	zaštita	Ncfsg
pri	pri	Sl
prijenosu	prijenos	Ncmsl
informacija	informacija	Ncfpg

–	i	Agpnsny
uspostavljanje	uspostavljanje	Ncnsn
procedura	procedura	Ncfpg
za	za	Sa
usklađivanje	usklađivanje	Ncnsa
podataka	podatak	Ncmpg
u	u	Sl
slučajevima	slučaj	Ncmpl
neusklađenosti	neusklađenost	Ncfsg

–	–	Sa
zaštitu	zaštita	Ncfsa
od	od	Sg
neautoriziranog	neautoriziran	Agpnsgy
objavljivanja	objavljivanje	Ncnsg
podataka	podatak	Ncmpg
tijekom	tijekom	Sg
osiguranja	osiguranje	Ncnsg
sljedivosti	sljedivost	Ncfsg
darivanja	darivanje	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
29.	29.	Mdo

U	u	Sl
članku	članak	Ncmsl
51.	51.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
patologije	patologija	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
/	/	Z
patologije	patologija	Ncfsg
s	sa	Si
akreditacijom	akreditacija	Ncfsi
iz	iz	Sg
područja	područje	Ncnsg
histopatologije	histopatologija	Ncfsg
«	«	Z
.	.	Z

Prijelazne	prijelazan	Agpfpny
i	i	Cc
završne	završan	Agpfpay
odredbe	odredba	Ncfpa

Članak	članak	Ncmsn
30.	30.	Mdo

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
,	,	Z
zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
u	u	Sl
privatnoj	privatan	Agpfsly
praksi	praksa	Ncfsl
te	te	Cc
