troškove	trošak	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
traži	tražiti	Vmr3s
sufinanciranje	sufinanciranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
ove	ovaj	Pd-fsg
prijave	prijava	Ncfsg
nisu	biti	Var3p
do	do	Sg
sad	sad	Rgp
korištena	koristiti	Appnpny
sredstva	sredstvo	Ncnpn
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
financiranja	financiranje	Ncnsg
i	i	Cc
da	da	Cs
se	sebe	Px--sa
neće	htjeti	Var3s
koristiti	koristiti	Vmn
druga	drugi	Mlofsn
sredstva	sredstvo	Ncnpa
potpore	potpora	Ncfsg
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
financiranja	financiranje	Ncnsg
,	,	Z
osim	osim	Sg
onih	onaj	Pd-mpg
ostvarenih	ostvariti	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
Pravilnika	pravilnik	Ncmsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
udruženjima	udruženje	Ncnpd
u	u	Sl
ribarstvu	ribarstvo	Ncnsl
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
i	i	Cc
Natječaja	natječaj	Ncmsg
za	za	Sa
dodjelu	dodjela	Ncfsa
potpore	potpora	Ncfsg
udruženjima	udruženje	Ncnpd
u	u	Sl
ribarstvu	ribarstvo	Ncnsl
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
.	.	Z

U	u	Sl
_________________	________________a	Ncfsl
,	,	Z
_________	_______	Agpfply
2015.	2015.	Mdo
godine	godina	Ncfsg

_______________________	______________________i	Agpnsny
(	(	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
–	–	Z
tiskano	tiskati	Appnsny
)	)	Z

_______________________	_______________________	Agpmsny
pečat	pečat	Ncmsn
(	(	Z
potpis	potpis	Ncmsn
)	)	Z

