lucerna	lucerna	Ncfsn
(	(	Z
Medicago	Medicago	Npmsn
sativa	sativati	Vmr3s
)	)	Z
,	,	Z
Banksia	Banksia	Npfsn
menziesii	menziesio	Ncnsg
,	,	Z
slatkovina	slatkovina	Ncfsn
(	(	Z
Hedysarum	Hedysarum	Npmsn
spp	spa	Ncfsg
.	.	Z
)	)	Z
,	,	Z
eukaliptus	eukaliptus	Ncmsn
(	(	Z
Eucalyptus	Eucalyptus	Xf
camadulensis	camadulensis	Xf
)	)	Z
,	,	Z
Eucryphia	Eucryphia	Npfsn
lucida	lucid	Ncmpg
,	,	Z
Eucryphia	Eucryphia	Npfsn
milliganii	milliganii	Agpmpny
,	,	Z
agrumi	agrum	Ncmpn
(	(	Z
Citrus	citrus	Ncmsn
spp	spa	Ncfsg
.	.	Z
)	)	Z
najviše	mnogo	Rgs
10	10	Mdc
g	g	Y
/	/	Z
100	100	Mdc
g	g	Y
–	–	Z
lavanda	lavanda	Ncfsn
(	(	Z
Lavandula	Lavandula	Npfsn
spp	spp	Ncmsn
.	.	Z
)	)	Z
,	,	Z
boražina	boražina	Ncfsn
(	(	Z
Borago	Borago	Npmsn
officinalis	officinalis	Ncmsn
)	)	Z
najviše	mnogo	Rgs
15	15	Mdc
g	g	Y
/	/	Z
100	100	Mdc
g	g	Y
2.	2.	Mdo
količina	količina	Ncfsn
vode	voda	Ncfsg
–	–	Z
općenito	preopćenito	Rgp
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
–	–	Z
vrijesak	vrijesak	Ncmsan
(	(	Z
Calluna	Calluna	Npfsn
vulgaris	vulgaris	Xf
)	)	Z
i	i	Cc
pekarski	pekarski	Agpmsny
med	med	Ncmsn
općenito	preopćenito	Rgp
najviše	mnogo	Rgs
23	23	Mdc
%	%	Z
–	–	Z
pekarski	pekarski	Agpmsayn
med	med	Ncmsan
od	od	Sg
vrijeska	vrijesak	Ncmsg
(	(	Z
Calluna	Calluna	Npfsn
vulgaris	vulgaris	Npfsn
)	)	Z
najviše	mnogo	Rgs
25	25	Mdc
%	%	Z
3.	3.	Mdo
količina	količina	Ncfsn
tvari	tvar	Ncfpg
netopljivih	netopljiv	Agpfpgy
u	u	Sl
vodi	voda	Ncfsl
–	–	Z
općenito	preopćenito	Rgp
najviše	mnogo	Rgs
0,1	0,1	Mdc
g	g	Y
/	/	Z
100	100	Mdc
g	g	Y
–	–	Z
prešani	prešan	Agpmsny
med	med	Ncmsn
najviše	mnogo	Rgs
0,5	0,5	Mdc
g	g	Y
/	/	Z
100	100	Mdc
g	g	Y
4.	4.	Mdo
električna	električan	Agpfsny
vodljivost	vodljivost	Ncfsn
–	–	Z
vrste	vrsta	Ncfsg
meda	medo	Ncmpg
koje	koji	Pi-mpa
nisu	biti	Var3p
dolje	dolje	Rgp
navedene	naveden	Agpfpny
i	i	Cc
mješavine	mješavina	Ncfsg
tih	taj	Pd-fpg
