administrativne	administrativan	Agpfpny
kontrole	kontrola	Ncfpn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
odnosno	odnosno	Rgp
prije	prije	Sg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
prekinuti	prekinuti	Vmn
sve	sav	Agpfpay
aktivnosti	aktivnost	Ncfpa
nad	nad	Si
Zahtjevom	zahtjev	Ncmsi
za	za	Sa
potporu	potpora	Ncfsa
te	te	Cc
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
Potvrdu	potvrda	Ncfsa
o	o	Sl
odustajanju	odustajanje	Ncnsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
nakon	nakon	Sg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
odnosno	odnosno	Rgp
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
Izjavu	izjava	Ncfsa
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izjava	izjava	Ncfsn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
i	i	Cc
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

–	–	Sg
negativnog	negativan	Agpmsgy
nalaza	nalaz	Ncmsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
kada	kada	Rgp
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
koja	koji	Pi-fsn
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
,	,	Z
kada	kada	Cs
korisnik	korisnik	Ncmsn
prekrši	prekršiti	Vmr3s
odredbe	odredba	Ncfpa
Pravilnika	pravilnik	Ncmsg
,	,	Z
Natječaja	natječaj	Ncmsg
,	,	Z
ili	ili	Cc
nije	biti	Var3s
ispunio	ispuniti	Vmp-sm
obveze	obveza	Ncfpa
određene	određen	Agpfsgy
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
i	i	Cc
sumnja	sumnjati	Vmr3s
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z

–	–	Z
ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
