bilančnim	bilančni	Agpmsiy
iznosom	iznos	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
posebnim	poseban	Agpmply
slučajevima	slučaj	Ncmpl
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
može	moći	Vmr3s
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
bilo	bilo	Qo
kojeg	koji	Pi-msg
od	od	Sg
drugih	drugi	Mlofpg
nadležnih	nadležan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
država	država	Ncfpg
članica	članica	Ncfpg
,	,	Z
donijeti	donijeti	Vmn
zajedničku	zajednički	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
odstupanju	odstupanje	Ncnsl
od	od	Sg
kriterija	kriterij	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
bi	biti	Vaa3s
njihova	njihov	Ps3fsn
primjena	primjena	Ncfsn
bila	biti	Vap-sf
neprimjerena	neprimjeren	Agpfsny
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
strukturu	struktura	Ncfsa
grupe	grupa	Ncfsg
i	i	Cc
relativni	relativan	Agpmsayn
značaj	značaj	Ncmsan
djelatnosti	djelatnost	Ncfsg
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društava	društvo	Ncnpg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
u	u	Sl
različitim	različit	Agpfply
državama	država	Ncfpl
te	te	Cc
mogu	moći	Vmr3p
odrediti	odrediti	Vmn
drugo	drugi	Mlonsa
nadzorno	nadzorni	Agpnsay
tijelo	tijelo	Ncnsa
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
.	.	Z

Drugo	drugi	Mlonsn
nadzorno	nadzorni	Agpnsay
tijelo	tijelo	Ncnsa
grupe	grupa	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
imenovati	imenovati	Vmn
češće	često	Rgc
nego	nego	Cc
jedanput	jedanput	Rgp
godišnje	godišnje	Rgp
.	.	Z

Agencija	agencija	Ncfsn
i	i	Cc
nadležna	nadležan	Agpfsny
nadzorna	nadzorni	Agpfsny
tijela	tijelo	Agpfsny
država	država	Ncfsn
članica	članica	Ncfpg
čine	činiti	Vmr3p
sve	sav	Agpnsay
što	što	Pi3n-a
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
