kočenja	kočenje	Ncnsg
najmanje	malo	Rgs
105	105	Mdc
%	%	Z
te	te	Cc
u	u	Sa
vlakove	vlak	Ncmpa
s	sa	Si
teretnim	teretan	Agpmpiy
vagonima	vagon	Ncmpi
čija	čiji	Pi-fsn
djelotvornost	djelotvornost	Ncfsn
kočnice	kočnica	Ncfsg
omogućuje	omogućivati	Vmr3s
brzine	brzina	Ncfpa
do	do	Sg
120	120	Mdc
km	km	Y
/	/	Z
h.	h.	Y

(	(	Z
2	2	Mdc
)	)	Z
Kod	kod	Sg
vlakova	vlak	Ncmpg
s	sa	Si
P		Ncmpi
i	i	Cc
R		Agpfply
kočnicama	kočnica	Ncfpl
broj	broj	Ncmsn
vagona	vagon	Ncmpg
s	sa	Si
R		Agpfpiy
kočnicama	kočnica	Ncfpi
u	u	Sl
jednom	jedan	Mlcmsl
vlaku	vlak	Ncmsl
mora	morati	Vmr3s
iznositi	iznositi	Vmn
najmanje	malo	Rgs
trećinu	trećina	Ncfsa
ukupnog	ukupan	Agpmsgy
broja	broj	Ncmsg
vagona	vagon	Ncmpg
s	sa	Si
kočnicama	kočnica	Ncfpi
.	.	Z

Ako	ako	Cs
taj	taj	Pd-msn
uvjet	uvjet	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
ispunjen	ispuniti	Appmsnn
iz	iz	Sg
tehničkih	tehnički	Agpmpgy
razloga	razlog	Ncmpg
,	,	Z
mjenjači	mjenjač	Ncmpn
za	za	Sa
vrstu	vrsta	Ncfsa
kočnice	kočnica	Ncfsg
kod	kod	Sg
vagona	vagon	Ncmsg
s	sa	Si
kočnicom	kočnica	Ncfsi
velikog	velik	Agpmsgy
učinka	učinak	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
postavljeni	postaviti	Appmpny
u	u	Sa
položaj	položaj	Ncmsan
P.	P.	Y

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
vozne	vozan	Agpfpay
brzine	brzina	Ncfpa
do	do	Sg
120	120	Mdc
km	km	Y
/	/	Z
h	h	Y
na	na	Sl
vagonima	vagon	Ncmpl
s	sa	Si
kočnicama	kočnica	Ncfpi
P		Agpfpiy
i	i	Cc
na	na	Sl
vagonima	vagon	Ncmpl
s	sa	Si
kočnicama	kočnica	Ncfpi
velikog	velik	Agpmsgy
učinka	učinak	Ncmsg
,	,	Z
mjenjači	mjenjač	Ncmpn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
postavljaju	postavljati	Vmr3p
se	sebe	Px--sa
u	u	Sa
položaj	položaj	Ncmsan
najjačeg	jak	Agpnsgy
djelovanja	djelovanje	Ncnsg
,	,	Z
brzači	brzači	Agpnsgy
pražnjenja	pražnjenje	Ncnsg
glavnog	glavni	Agpmsgy
zračnog	zračan	Agpmsgy
voda	vod	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
uključeni	uključiti	Appmpny
ako	ako	Cs
je	biti	Var3s
zadovoljen	zadovoljiti	Appmsnn
uvjet	uvjet	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
na	na	Sl
vagonima	vagon	Ncmpl
s	sa	Si
Mg	mg	Agpfsiy
kočnicom	kočnica	Ncfsi
mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
ne	ne	Qz
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
u	u	Sa
položaj	položaj	Ncmsan
R	R	Y
+	+	Z
Mg	mg	Y
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kod	kod	Sg
vlaka	vlak	Ncmsg
brzine	brzina	Ncfsg
veće	veliko	Rgc
od	od	Sg
120	120	Mdc
km	km	Y
/	/	Z
h	h	Pd-mpn
svi	sav	Agpmpny
mjenjači	mjenjač	Ncmpn
vrste	vrsta	Ncfsg
kočnica	kočnica	Ncfsn
,	,	Z
na	na	Sl
vagonima	vagon	Ncmpl
i	i	Cc
na	na	Sl
