izvršavanje	izvršavanje	Ncnsa
svog	svoj	Px-msg
dijela	dio	Ncmsg
proračuna	proračun	Ncmsg
,	,	Z
prikupljanje	prikupljanje	Ncnsa
prihoda	prihod	Ncmpg
i	i	Cc
primitaka	primitak	Ncmpg
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
i	i	Cc
njihovo	njihov	Ps3nsa
uplaćivanje	uplaćivanje	Ncnsa
u	u	Sa
proračun	proračun	Ncmsan
,	,	Z
preuzimanje	preuzimanje	Ncnsa
obveza	obveza	Ncfpg
,	,	Z
verifikaciju	verifikacija	Ncfsa
obveza	obveza	Ncfpg
,	,	Z
izdavanje	izdavanje	Ncnsn
naloga	nalog	Ncmsg
za	za	Sa
plaćanje	plaćanje	Ncnsa
na	na	Sa
teret	teret	Ncmsan
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
tijela	tijelo	Ncnsg
koje	koji	Pi-nsn
vodi	voditi	Vmr3s
i	i	Cc
utvrđivanje	utvrđivanje	Ncnsa
prava	pravo	Ncnsg
naplate	naplata	Ncfsg
te	te	Cc
za	za	Sa
izdavanje	izdavanje	Ncnsa
naloga	nalog	Ncmpg
za	za	Sa
naplatu	naplata	Ncfsa
u	u	Sa
korist	korist	Ncfsa
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
odnosno	odnosno	Rgp
ako	ako	Cs
ne	ne	Qz
obavi	obaviti	Vmr3s
prijenos	prijenos	Ncmsan
ovlasti	ovlast	Ncfsg
poštujući	poštovati	Rr
načelo	načelo	Ncnsa
razdvajanja	razdvajanje	Ncnsg
dužnosti	dužnost	Ncfsg
(	(	Z
članak	članak	Ncmsn
95.	95.	Mdo
stavci	stavak	Ncmpn
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
)	)	Z

40.	40.	Mdo
ako	ako	Cs
ne	ne	Qz
razgraniči	razgraničiti	Vmr3s
dužnosti	dužnost	Ncfpa
poštujući	poštovati	Rr
načelo	načelo	Ncnsa
razdvajanja	razdvajanje	Ncnsg
dužnosti	dužnost	Ncfsg
(	(	Z
članak	članak	Ncmsn
96.	96.	Mdo
)	)	Z

41.	41.	Mdo
ako	ako	Cs
ne	ne	Qz
ustroji	ustrojiti	Vmr3s
i	i	Cc
ne	ne	Qz
vodi	voditi	Vmr3s
proračunsko	proračunski	Agpnsay
računovodstvo	računovodstvo	Ncnsa
na	na	Sa
zakonit	zakonit	Agpmsann
i	i	Cc
pravilan	pravilan	Agpmsann
način	način	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
povjeri	povjeriti	Vmr3s
vođenje	vođenje	Ncnsa
proračunskog	proračunski	Agpnsgy
računovodstva	računovodstvo	Ncnsg
neovlaštenoj	neovlašten	Agpfsly
