zapovjedništava	zapovjedništvo	Ncnpg
,	,	Z
postrojbi	postrojba	Ncfsl
i	i	Cc
ustanova	ustanova	Ncfpg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
,	,	Z
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
nadležnoj	nadležan	Agpfsly
za	za	Sa
ljudske	ljudski	Agpmpay
resurse	resurs	Ncmpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
nadležna	nadležan	Agpfsny
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
)	)	Z
najkasnije	kasno	Rgs
do	do	Sg
1.	1.	Mdo
srpnja	srpanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sljedeću	sljedeći	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iskaz	iskaz	Ncmsn
potreba	potreba	Ncfpg
i	i	Cc
prioriteta	prioritet	Ncmsg
za	za	Sa
popunu	popuna	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
tiskanici	tiskanica	Ncfsl
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
naziv	naziv	Ncmsan
dužnosti	dužnost	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
popunjava	popunjavati	Vmr3s
,	,	Z
VSSp	VSSp	Npmsn
,	,	Z
vojnu	vojni	Agpfsay
poštu	pošta	Ncfsa
,	,	Z
mjesto	mjesto	Ncnsa
službe	služba	Ncfsg
,	,	Z
struka	struk	Ncmsg
/	/	Z
zvanje	zvanje	Ncnsn
,	,	Z
dodatnu	dodatan	Agpfsay
izobrazbu	izobrazba	Ncfsa
/	/	Z
osposobljenost	osposobljenost	Ncfsa
,	,	Z
godine	godina	Ncfsg
života	život	Ncmsg
,	,	Z
rok	rok	Ncmsn
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
,	,	Z
a	a	Cc
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
posebnoj	poseban	Agpfsly
tiskanici	tiskanica	Ncfsl
(	(	Z
Prilog	prilog	Ncmsn
1	1	Mdc
)	)	Z
i	i	Cc
sastavni	sastavan	Agpmsny
je	biti	Var3s
dio	dio	Ncmsn
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
službe	služba	Ncfsg
u	u	Sl
ugovornoj	ugovoran	Agpfsly
pričuvi	pričuva	Ncfsl
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
prijavljuje	prijavljivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
nadležnu	nadležan	Agpfsay
ustrojstvenu	ustrojstven	Agpfsay
jedinicu	jedinica	Ncfsa
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
i	i	Cc
popunjava	popunjavati	Vmr3s
tiskanicu	tiskanica	Ncfsa
Prijavnica	prijavnica	Ncfsn
(	(	Z
Prilog	prilog	Ncmsn
2	2	Mdc
)	)	Z
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
