šesteročlanom	šesteročlan	Agpmsly
prstenu	prsten	Ncmsl
supstituentom	supstituent	Agpfsiy
ili	ili	Cc
supstituentima	supstituent	Ncmpl
iz	iz	Sg
skupine	skupina	Ncfsg
koju	koji	Pi-fsa
čine	činiti	Vmr3p
alkil	alkil	Ncmsan
,	,	Z
alkiloksi	alkiloksa	Ncfsl
,	,	Z
halogenalkil	halogenalki	Ncmsl
,	,	Z
alkiltio	alkiltia	Npfsv
,	,	Z
alkilendioksi	alkilendioksa	Ncfsl
,	,	Z
halogen	halogen	Agpmsnn
,	,	Z
hidroksilna	hidroksilni	Agpfsny
ili	ili	Cc
supstituirana	supstituirati	Appfsny
hidroksilna	hidroksilni	Agpfsny
skupina	skupina	Ncfsn
;	;	Z
•	•	Z
supsitucijom	supsitucija	Ncfsi
na	na	Sl
položaju	položaj	Ncmsl
2	2	Mdc
triptaminskog	triptaminski	Agpmsgy
prstena	prsten	Ncmsg
alkilnom	alkilni	Agpfsiy
skupinom	skupina	Ncfsi
.	.	Z

Compounds	Compounds	Npmsn
derived	derived	Xf
from	from	Xf
2	2	Mdc
-	-	Z
(	(	Z
1	1	Mdc
H-indol-3-yl	h-indol-3-ya	Ncfsg
)	)	Z
ethanamine	ethanamine	Ncmsan
by	by	Xf
replacing	replacing	Xf
one	onaj	Xf
or	or	Xf
both	both	Xf
hydrogen	hydrogen	Xf
atom	atom	Xf
of	of	Xf
the	the	Xf
amino	amino	Xf
group	group	Xf
by	by	Xf
an	an	Xf
alkyl	alkyl	Xf
or	or	Xf
alkenyl	alkenyl	Xf
group	group	Xf
,	,	Z
or	or	Xf
by	by	Xf
including	including	Xf
the	the	Xf
nitrogen	nitrogen	Xf
atom	atom	Xf
in	in	Xf
a	a	Cc
cyclic	cyclii	Agpfsgy
structure	structura	Ncfsg
,	,	Z
whether	whether	Xf
or	or	Xf
not	not	Xf
further	further	Xf
modified	modified	Xf
in	in	Xf
one	onaj	Pd-fsg
or	or	Agpnsay
more	more	Ncnsa
of	oa	Ncfsg
the	the	Xf
following	following	Xf
ways	ways	Xf
:	:	Z
•	•	Z
by	by	Xf
replacing	replacing	Xf
the	the	Xf
hydrogen	hydrogen	Xf
atom	atom	Xf
in	in	Xf
alpha-position	alpha-position	Xf
by	by	Xf
