19.8.	19.8.	Mdo
pod	pod	Si
4.2.8.	4.2.8.	Mds
r.	r.	Y
br.	br.	Y
8.	8.	Mdo
iznos	iznos	Ncmsan
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
iznos	iznos	Ncmsn
dohotka	dohodak	Ncmsg
od	od	Sg
druge	drugi	Mlofsg
djelatnosti	djelatnost	Ncfsg
(	(	Z
r.	r.	Y
br.	br.	Y
6.	6.	Mdo
)	)	Z
ako	ako	Cs
je	biti	Var3s
jednak	jednak	Agpmsnn
ili	ili	Cc
manji	mali	Agcmsny
od	od	Sg
iznosa	iznos	Ncmsg
najviše	mnogo	Rgs
osnovice	osnovica	Ncfsg
za	za	Sa
mjesece	mjesec	Ncmpa
obavljanja	obavljanje	Ncnsg
druge	drugi	Mlofsg
djelatnosti	djelatnost	Ncfsg
(	(	Z
r.	r.	Y
br.	br.	Y
7.	7.	Mdo
)	)	Z
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
veći	velik	Agcmsny
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
iznos	iznos	Ncmsn
najviše	mnogo	Rgs
osnovice	osnovica	Ncfpn
za	za	Sa
mjesece	mjesec	Ncmpa
obavljanje	obavljanje	Ncnsa
druge	drugi	Mlofsg
djelatnosti	djelatnost	Ncfsg
(	(	Z
r.	r.	Y
br.	br.	Y
7.	7.	Mdo
)	)	Z
,	,	Z

19.9.	19.9.	Mdo
pod	pod	Si
4.2.8.	4.2.8.	Mds
r.	r.	Y
br.	br.	Y
9.	9.	Mdo
iznos	iznos	Ncmsan
doprinosa	doprinos	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
generacijske	generacijski	Agpfsgy
solidarnosti	solidarnost	Ncfsg
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
umnožak	umnožak	Ncmsn
iznosa	iznos	Ncmsg
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
(	(	Z
r.	r.	Y
br.	br.	Y
8.	8.	Mdo
)	)	Z
i	i	Cc
stope	stopa	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
generacijske	generacijski	Agpfsgy
solidarnosti	solidarnost	Ncfsg
propisane	propisati	Vmr3s
člankom	članak	Ncmsi
13.	13.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
doprinosima	doprinos	Ncmpl
,	,	Z

19.10.	19.10.	Mdo
pod	pod	Si
4.2.8.	4.2.8.	Mds
r.	r.	Y
br.	br.	Y
10.	10.	Mdo
iznos	iznos	Ncmsn
doprinosa	doprinos	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
individualne	individualan	Agpfsgy
kapitalizirane	kapitalizirati	Agpfsgy
štednje	štednja	Ncfsg
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
umnožak	umnožak	Ncmsn
iznosa	iznos	Ncmsg
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
(	(	Z
r.	r.	Y
br.	br.	Y
8.	8.	Mdo
)	)	Z
i	i	Cc
stope	stopa	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
individualne	individualan	Agpfsgy
kapitalizirane	kapitalizirati	Appfsgy
štednje	štednja	Ncfsg
propisane	propisati	Appfsgy
člankom	članak	Ncmsi
17.	17.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
doprinosima	doprinos	Ncmpl
,	,	Z

19.11.	19.11.	Mdo
pod	pod	Si
4.2.8.	4.2.8.	Mds
r.	r.	Y
br.	br.	Y
11.	11.	Mdo
iznos	iznos	Ncmsn
doprinosa	doprinos	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
umnožak	umnožak	Ncmsn
iznosa	iznos	Ncmsg
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
(	(	Z
r.	r.	Y
br.	br.	Y
8.	8.	Mdo
)	)	Z
i	i	Cc
stope	stopa	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
doprinosa	doprinos	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
propisane	propisati	Appfsgy
člankom	članak	Ncmsi
14.	14.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
doprinosima	doprinos	Ncmpl
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
dosadašnjoj	dosadašnji	Agpfsly
