kojima	koji	Pi-fpl
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
računovodstvo	računovodstvo	Ncnsa
,	,	Z
planiranje	planiranje	Ncnsa
,	,	Z
izrada	izrada	Ncfsn
,	,	Z
donošenje	donošenje	Ncnsn
i	i	Cc
izvršavanje	izvršavanje	Ncnsa
proračuna	proračun	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Računovodstvene	računovodstveni	Agpfpny
i	i	Cc
financijske	financijski	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
Ustanovi	ustanova	Ncfsl
obavlja	obavljati	Vmr3s
najmanje	malo	Rgs
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
odgovarajuće	odgovarajući	Agpfsgy
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
,	,	Z
ekonomskog	ekonomski	Agpnsgy
usmjerenja	usmjerenje	Ncnsg
,	,	Z
sukladno	sukladno	Rgp
općem	opći	Agpmsly
aktu	akt	Ncmsl
Ustanove	ustanova	Ncfsg
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

Administrativne	administrativan	Agpfpny
i	i	Cc
druge	drugi	Agpmpay
opće	opći	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
Ustanovi	ustanova	Ncfsl
obavlja	obavljati	Vmr3s
najmanje	malo	Rgs
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
srednje	srednji	Agpfsgy
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
.	.	Z

Članak	članak	Ncmsn
28.	28.	Mdo

Ako	ako	Cs
za	za	Sa
obavljanje	obavljanje	Ncnsa
pojedinih	pojedini	Agpmpgy
poslova	posao	Ncmpg
sukladno	sukladno	Rgp
djelatnosti	djelatnost	Ncfpg
Ustanove	ustanova	Ncfsg
nisu	biti	Var3p
ispunjeni	ispuniti	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
puno	pun	Agpnsay
radno	radni	Agpnsay
vrijeme	vrijeme	Ncnsa
,	,	Z
ravnatelj	ravnatelj	Ncmsn
Ustanove	ustanova	Ncfsg
može	moći	Vmr3s
zaposliti	zaposliti	Vmn
radnike	radnik	Ncmpa
na	na	Sa
nepuno	nepun	Agpnsay
radno	radni	Agpnsay
vrijeme	vrijeme	Ncnsa
odnosno	odnosno	Rgp
rasporedit	rasporediti	Vmn
će	htjeti	Var3s
radnike	radnik	Ncmpa
i	i	Cc
na	na	Sa
druge	drugi	Agpmpay
poslove	posao	Ncmpa
odgovarajuće	odgovarajući	Agpfsgy
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
do	do	Sg
punog	pun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
.	.	Z

Članak	članak	Ncmsn
29.	29.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
obavljanje	obavljanje	Ncnsa
terenskog	terenski	Agpmsgy
dijela	dio	Ncmsg
posla	posao	Ncmsg
,	,	Z
Ustanova	ustanova	Ncfsn
može	moći	Vmr3s
koristiti	koristiti	Vmn
motorno	motoran	Agpnsay
vozilo	vozilo	Ncnsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Ustanove	ustanova	Ncfsg
ili	ili	Cc
dano	dan	Agpnsny
na	na	Sa
korištenje	korištenje	Ncnsa
Ustanovi	ustanova	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
prijevoz	prijevoz	Ncmsan
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
smanjenom	smanjiti	Agpfsiy
pokretljivošću	pokretljivost	Ncfsi
Ustanova	ustanova	Ncfsn
može	moći	Vmr3s
koristiti	koristiti	Vmn
motorno	motoran	Agpnsay
vozilo	vozilo	Ncnsa
prilagođeno	prilagoditi	Agpnsny
za	za	Sa
prijevoz	prijevoz	Ncmsan
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
smanjenom	smanjiti	Agpfsiy
pokretljivošću	pokretljivost	Ncfsi
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Ustanove	ustanova	Ncfsg
ili	ili	Cc
dano	dan	Agpnsny
na	na	Sa
korištenje	korištenje	Ncnsa
Ustanovi	ustanova	Ncfsl
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
III	III	Mrc
.	.	Z

Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
prehrane	prehrana	Ncfsg
,	,	Z
održavanja	održavanje	Ncnsg
i	i	Cc
higijene	higijena	Ncfsg
prostora	prostor	Ncmsg
i	i	Cc
opreme	oprema	Ncfsg

ODJELJAK	odjeljak	Ncmsn
A	a	Cc

Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
prehrane	prehrana	Ncfsg

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnicima	korisnik	Ncmpl
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
kroz	kroz	Sa
program	program	Ncmsan
smještaja	smještaj	Ncmsg
ili	ili	Cc
boravka	boravak	Ncmsg
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
uslugu	usluga	Ncfsa
prehrane	prehrana	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
prehrane	prehrana	Ncfsg
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
prostor	prostor	Ncmsan
i	i	Cc
opremu	oprema	Ncfsa
za	za	Sa
kuhinju	kuhinja	Ncfsa
s	sa	Si
priručnim	priručan	Agpmpiy
prostorima	prostor	Ncmpi
za	za	Sa
čuvanje	čuvanje	Ncnsa
hrane	hrana	Ncfsg
i	i	Cc
pića	piće	Ncnsg
prema	prema	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
,	,	Z
te	te	Cc
odgovarajući	odgovarajući	Agpmsayn
prostor	prostor	Ncmsan
za	za	Sa
posluživanje	posluživanje	Ncnsa
obroka	obrok	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnicima	korisnik	Ncmpl
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
kroz	kroz	Sa
program	program	Ncmsan
smještaja	smještaj	Ncmsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
najmanje	malo	Rgs
tri	tri	Mlc
obroka	obrok	Ncmsg
dnevno	dnevno	Rgp
(	(	Z
doručak	doručak	Ncmsn
,	,	Z
ručak	ručak	Ncmsn
,	,	Z
večera	večera	Ncfsn
)	)	Z
,	,	Z
a	a	Cc
za	za	Sa
svaki	svaki	Pi-msan
obrok	obrok	Ncmsan
mogućnost	mogućnost	Ncfsa
izbora	izbor	Ncmpg
između	između	Sg
dva	dva	Mlc
menija	menija	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Korisnicima	korisnik	Ncmpl
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
kroz	kroz	Sa
program	program	Ncmsan
cjelodnevnog	cjelodnevan	Agpmsgy
boravka	boravak	Ncmsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
najmanje	malo	Rgs
dva	dva	Mlc
obroka	obrok	Ncmsg
dnevno	dnevno	Rgp
(	(	Z
doručak	doručak	Ncmsn
i	i	Cc
ručak	ručak	Ncmsan
ili	ili	Cc
ručak	ručak	Ncmsan
i	i	Cc
užina	užina	Ncfsn
)	)	Z
,	,	Z
a	a	Cc
za	za	Sa
svaki	svaki	Pi-msan
obrok	obrok	Ncmsan
mogućnost	mogućnost	Ncfsa
izbora	izbor	Ncmpg
između	između	Sg
dva	dva	Mlc
menija	menija	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Korisnicima	korisnik	Ncmpl
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
kroz	kroz	Sa
program	program	Ncmsan
poludnevnog	poludnevni	Agpmsgy
boravka	boravak	Ncmsg
osigurava	osiguravati	Vmr3s
se	sebe	Px--sa
najmanje	malo	Rgs
jedan	jedan	Mlcmsn
obrok	obrok	Ncmsn
dnevno	dnevno	Rgp
(	(	Z
doručak	doručak	Ncmsn
ili	ili	Cc
ručak	ručak	Ncmsn
ili	ili	Cc
užina	užina	Ncfsn
)	)	Z
,	,	Z
a	a	Cc
za	za	Sa
svaki	svaki	Pi-msan
obrok	obrok	Ncmsan
mogućnost	mogućnost	Ncfsa
izbora	izbor	Ncmpg
između	između	Sg
dva	dva	Mlc
menija	menija	Ncfpg
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Količina	količina	Ncfsn
i	i	Cc
