dostupne	dostupan	Agpfpay
informacije	informacija	Ncfpa
odgovarajuće	odgovarajući	Agpfsgy
informacijama	informacija	Ncfpd
sadržanim	sadržan	Agpfpiy
u	u	Sl
prospektu	prospekt	Ncmsl
,	,	Z
koja	koji	Pi-fsn
će	htjeti	Var3s
biti	biti	Van
potpisana	potpisati	Appfsny
od	od	Sg
strane	strana	Ncfsg
ovlaštenih	ovlašten	Agpfpgy
osoba	osoba	Ncfpg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
koje	koji	Pi-fpn
uređuju	uređivati	Vmr3p
zastupanje	zastupanje	Ncnsa
Društva	društvo	Ncnsg
prema	prema	Sl
Agenciji	agencija	Ncfsl
,	,	Z

8.	8.	Mdo
ako	ako	Cs
Društvo	društvo	Ncnsn
zbog	zbog	Sg
pripajanja	pripajanje	Ncnsg
namjerava	namjeravati	Vmr3s
izdvojiti	izdvojiti	Vmn
poslove	posao	Ncmpa
ili	ili	Cc
funkcije	funkcija	Ncfpa
na	na	Sa
pružatelja	pružatelj	Ncmsay
usluge	usluga	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
73.	73.	Mdo

Zakona	zakon	Ncmsg
,	,	Z
dokumentaciju	dokumentacija	Ncfsa
i	i	Cc
podatke	podatak	Ncmpa
propisane	propisati	Appmpay
pravilnikom	pravilnik	Ncmsi
Agencije	agencija	Ncfsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
zahtjevi	zahtjev	Ncmpn
koje	koji	Pi-mpa
mora	morati	Vmr3s
ispuniti	ispuniti	Vmn
Društvo	društvo	Ncnsa
koje	koji	Pi-nsn
namjerava	namjeravati	Vmr3s
izdvojiti	izdvojiti	Vmn
poslove	posao	Ncmpa
ili	ili	Cc
funkcije	funkcija	Ncfpa
,	,	Z

9.	9.	Mdo
dokaze	dokaz	Ncmpa
o	o	Sl
plaćenoj	platiti	Agpfsly
naknadi	naknada	Ncfsl
i	i	Cc
administrativnoj	administrativan	Agpfsly
pristojbi	pristojba	Ncfsl
propisanoj	propisati	Appfsly
pravilnikom	pravilnik	Ncmsi
o	o	Sl
vrsti	vrsta	Ncfsl
i	i	Cc
visini	visina	Ncfsl
naknada	naknada	Ncfpg
i	i	Cc
administrativnih	administrativan	Agpfpgy
pristojbi	pristojba	Ncfpg
Agencije	agencija	Ncfsg
,	,	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
plaća	plaćati	Vmr3s
uz	uz	Sa
podneseni	podnesen	Agpmsayn
zahtjev	zahtjev	Ncmsan
,	,	Z

10.	10.	Mdo
na	na	Sa
poziv	poziv	Ncmsan
Agencije	agencija	Ncfsg
,	,	Z
po	po	Sl
potrebi	potreba	Ncfsl
i	i	Cc
druge	drugi	Mlompa
podatke	podatak	Ncmpa
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
kojim	koji	Pi-msi
se	sebe	Px--sa
dokazuje	dokazivati	Vmr3s
ispunjavanje	ispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
Zakonom	zakon	Ncmsi
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
pripajanje	pripajanje	Ncnsa
Društva	društvo	Ncnsg
uključujući	uključivati	Rr
i	i	Cc
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
zakonom	zakon	Ncmsi
koji	koji	Pi-msn
uređuje	uređivati	Vmr3s
sprečavanje	sprečavanje	Ncnsa
pranja	pranje	Ncnsg
novca	novac	Ncmsg
i	i	Cc
financiranja	financiranje	Ncnsg
terorizma	terorizam	Ncmsg
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
prikupljaju	prikupljati	Vmr3p
obveznici	obveznik	Ncmpn
tog	taj	Pd-msg
zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
pripajanje	pripajanje	Ncnsa
koji	koji	Pi-msn
Agenciji	agencija	Ncfsl
podnosi	podnositi	Vmr3s
Društvo	društvo	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
pripajanja	pripajanje	Ncnsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
državne	državni	Agpfsgy
članice	članica	Ncfsg
ili	ili	Cc
strane	strana	Ncfsg
države	država	Ncfsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
predmet	predmet	Ncmsan
zahtjeva	zahtjev	Ncmpg
s	sa	Si
naznakom	naznaka	Ncfsi
tvrtke	tvrtka	Ncfsg
,	,	Z
sjedišta	sjedište	Ncnsg
i	i	Cc
OIB-a	OIB	Npmsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
,	,	Z
potpisan	potpisati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
ovlaštenih	ovlašten	Agpfpgy
osoba	osoba	Ncfpg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
koje	koji	Pi-fpn
uređuju	uređivati	Vmr3p
zastupanje	zastupanje	Ncnsa
Društva	društvo	Ncnsg
prema	prema	Sl
Agenciji	agencija	Ncfsl
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
se	sebe	Px--sa
obrazložiti	obrazložiti	Vmn
razlozi	razlog	Ncmpn
za	za	Sa
pripajanje	pripajanje	Ncnsa
te	te	Cc
ciljevi	cilj	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
namjeravaju	namjeravati	Vmr3p
postići	postići	Vmn
pripajanjem	pripajanje	Ncnsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
:	:	Z

1.	1.	Mdo
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
stavkom	stavka	Ncfsi
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
osim	osim	Sg
nacrta	nacrt	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
pripajanju	pripajanje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

2.	2.	Mdo
nacrt	nacrt	Ncmsan
zajedničkog	zajednički	Agpmsgy
plana	plan	Ncmsg
pripajanja	pripajanje	Ncnsg
izrađen	izraditi	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
trgovačkim	trgovački	Agpnply
društvima	društvo	Ncnpl
,	,	Z

3.	3.	Mdo
ovjereni	ovjeriti	Appmpny
izvadak	izvadak	Ncmsan
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
Društva	društvo	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
pripaja	pripajati	Vmr3s
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
isti	isti	Agpmsny
ne	ne	Qz
sadrži	sadržati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
članovima	član	Ncmpl
društva	društvo	Ncnsg
tada	tada	Rgp
i	i	Cc
ispis	ispis	Ncmsan
iz	iz	Sg
registra	registar	Ncmsg
dionica	dionica	Ncfpg
s	sa	Si
navedenim	naveden	Agpmpiy
podacima	podatak	Ncmpi
članova	član	Ncmpg
društva	društvo	Ncnsg
,	,	Z

4.	4.	Mdo
druge	drugi	Mlompa
podatke	podatak	Ncmpa
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
pripajanje	pripajanje	Ncnsa
koji	koji	Pi-msn
Agenciji	agencija	Ncfsl
podnosi	podnositi	Vmr3s
Društvo	društvo	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
pripajanja	pripajanje	Ncnsg
druge	drugi	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
predmet	predmet	Ncmsan
zahtjeva	zahtjev	Ncmpg
s	sa	Si
naznakom	naznaka	Ncfsi
tvrtke	tvrtka	Ncfsg
,	,	Z
sjedišta	sjedište	Ncnsg
i	i	Cc
OIB-a	OIB	Npmsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
,	,	Z
potpisan	potpisati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
ovlaštenih	ovlašten	Agpfpgy
osoba	osoba	Ncfpg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
koje	koji	Pi-fpn
uređuju	uređivati	Vmr3p
zastupanje	zastupanje	Ncnsa
Društva	društvo	Ncnsg
prema	prema	Sl
Agenciji	agencija	Ncfsl
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
se	sebe	Px--sa
obrazložiti	obrazložiti	Vmn
razlozi	razlog	Ncmpn
za	za	Sa
pripajanje	pripajanje	Ncnsa
te	te	Cc
ciljevi	cilj	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
namjeravaju	namjeravati	Vmr3p
postići	postići	Vmn
pripajanjem	pripajanje	Ncnsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
:	:	Z

1.	1.	Mdo
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
stavkom	stavka	Ncfsi
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

2.	2.	Mdo
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
