4743882.74	4743882.74	Mds
4743946.06	4743946.06	Mdc
4319	4319	Mdc
1	1	Mdc
341	341	Mdc
Ostriga	Ostri	Npmsg
d.o.o.	d.o.o	Npmsg

Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
162	162	Mdc
163	163	Mdc
164	164	Mdc
165	165	Mdc
6475511.54	6475511.54	Mdc
6475602.85	6475602.85	Mdc
6475475.82	6475475.82	Mdc
6475400.62	6475400.62	Mdc
4746783.55	4746783.55	Mdc
4746707.99	4746707.99	Mdc
4746542.35	4746542.35	Mdc
4746595.23	4746595.23	Mdc
22375	22375	Mdc
2	2	Mdc
348	348	Mdc
Marinko	Marinko	Npmsn
Miljević	Miljević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Miljević	Miljević	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
190	190	Mdc
191	191	Mdc
192	192	Mdc
193	193	Mdc
6476466.25	6476466.25	Mdc
6476523.52	6476523.52	Mdc
6476454.23	6476454.23	Mdc
6476389.69	6476389.69	Mdc
4748416.83	4748416.83	Mdc
4748371.89	4748371.89	Mdc
4748292.49	4748292.49	Mdc
4748338.29	4748338.29	Mdc
8118	8118	Mdc
2	2	Mdc
350	350	Mdc
Andro	Andro	Npmsn
Miljević	Miljević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Miljević	Miljević	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
198	198	Mdc
199	199	Mdc
200	200	Mdc
201	201	Mdc
6476229.50	6476229.50	Mdc
6476247.31	6476247.31	Mdc
6476205.48	6476205.48	Mdc
6476177.33	6476177.33	Mdc
4748374.62	4748374.62	Mdc
4748358.23	4748358.23	Mdc
4748316.43	4748316.43	Mdc
4748351.45	4748351.45	Mdc
1955	1955	Mdc
2	2	Mdc
375	375	Mdc
Mato	Mato	Npfsg
Franušić	Franušić	Npfsg
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
MF	MF	Npmsn
školjka	školjka	Ncfpg
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
304	304	Mdc
305	305	Mdc
306	306	Mdc
307	307	Mdc
6475167.21	6475167.21	Mdc
6475297.59	6475297.59	Mdc
6475220.73	6475220.73	Mdc
6475101.00	6475101.00	Mdc
4746930.17	4746930.17	Mdc
4746857.25	4746857.25	Mdc
4746741.61	4746741.61	Mdc
4746820.99	4746820.99	Mdc
19505	19505	Mdc
2	2	Mdc
427	427	Mdc
Cvijetko	Cvijetko	Npmsn
Matković	Matković	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Mušula	Mušula	Npfsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
521	521	Mdc
522	522	Mdc
523	523	Mdc
524	524	Mdc
6476606.00	6476606.00	Mdc
6476676.00	6476676.00	Mdc
6476595.00	6476595.00	Mdc
6476525.00	6476525.00	Mdc
4748524.00	4748524.00	Mdc
4748462.00	4748462.00	Mdc
4748365.00	4748365.00	Mdc
4748430.00	4748430.00	Mdc
11828	11828	Mdc
2	2	Mdc
505	505	Mdc
Cvijetko	Cvijetko	Npmsn
Matković	Matković	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Mušula	mušula	Ncfsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
20	20	Mdc
A	a	Cc
21	21	Mdc
A	a	Y
21	21	Mdc
22	22	Mdc
22	22	Mdc
A	a	Cc
23	23	Mdc
23	23	Mdc
A	a	Y
20	20	Mdc
6475714.00	6475714.00	Mdc
6475763.00	6475763.00	Mdc
6475773.00	6475773.00	Mdc
6475792.00	6475792.00	Mdc
6475797.00	6475797.00	Mdc
6475746.00	6475746.00	Mdc
6475751.00	6475751.00	Mdc
6475724.00	6475724.00	Mdc
4746885.00	4746885.00	Mdc
4746958.00	4746958.00	Mdc
4746952.00	4746952.00	Mdc
4746937.00	4746937.00	Mdc
4746933.00	4746933.00	Mdc
4746861.00	4746861.00	Mdc
4746857.00	4746857.00	Mdc
4746879.00	4746879.00	Mdc
3899	3899	Mdc
2	2	Mdc
507	507	Mdc
Josip	Josip	Npmsn
Bazdan	Bazdan	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Petar	Petar	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
25	25	Mdc
115	115	Mdc
114	114	Mdc
26	26	Mdc
6475848.00	6475848.00	Mdc
6475887.00	6475887.00	Mdc
6475825.00	6475825.00	Mdc
6475808.00	6475808.00	Mdc
4747075.00	4747075.00	Mdc
4747059.00	4747059.00	Mdc
4746966.00	4746966.00	Mdc
4746983.00	4746983.00	Mdc
3431	3431	Mdc
2	2	Mdc
508	508	Mdc
Cvijetko	Cvijetko	Npmsn
Matković	Matković	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Mušula	mušula	Ncfsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
28	28	Mdc
29	29	Mdc
30	30	Mdc
31	31	Mdc
6475979.26	6475979.26	Mdc
6476047.00	6476047.00	Mdc
6475965.00	6475965.00	Mdc
6475860.49	6475860.49	Mdc
4746970.34	4746970.34	Mdc
4746843.00	4746843.00	Mdc
4746652.00	4746652.00	Mdc
4746785.47	4746785.47	Mdc
29277	29277	Mdc
2	2	Mdc
509	509	Mdc
Niko	Niko	Npmsn
Beatović	Beatović	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Vrelo	vrelo	Ncnsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
32	32	Mdc
33	33	Mdc
34	34	Mdc
35	35	Mdc
6476622.00	6476622.00	Mdc
6476675.00	6476675.00	Mdc
6476701.00	6476701.00	Mdc
6476645.00	6476645.00	Mdc
4748065.00	4748065.00	Mdc
4748149.00	4748149.00	Mdc
4748134.00	4748134.00	Mdc
4748048.00	4748048.00	Mdc
2954	2954	Mdc
2	2	Mdc
510	510	Mdc
Ivo	Ivo	Npmsn
Milovčić	Milovčić	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Taksi	taksi	Ncmsn
Mili	mio	Agpmsny
Uzgoj	uzgoj	Ncmsn
