svim	sav	Agpfpiy
vrstama	vrsta	Ncfpi
potrebnih	potreban	Agpmpgy
napona	napon	Ncmpg
.	.	Z

Napajanje	napajanje	Ncnsn
se	sebe	Px--sa
redovno	redovno	Rgp
osigurava	osiguravati	Vmr3s
putem	put	Sg
pružnog	pružni	Agpmsgy
energetskog	energetski	Agpmsgy
kabela	kabel	Ncmsg
ili	ili	Cc
iz	iz	Sg
distributivne	distributivan	Agpfsgy
mreže	mreža	Ncfsg
,	,	Z
a	a	Cc
baterijom	baterija	Ncfsi
treba	trebati	Vmr3s
osigurati	osigurati	Vmn
osmosatni	osmosatni	Agpmsayn
rad	rad	Ncmsan
u	u	Sl
slučaju	slučaj	Ncmsl
nestanka	nestanak	Ncmsg
redovnog	redovan	Agpnsgy
napajanja	napajanje	Ncnsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Potrebno	potreban	Agpnsny
je	biti	Var3s
predvidjeti	predvidjeti	Vmn
opremu	oprema	Ncfsa
lokalnog	lokalan	Agpmsgy
(	(	Z
mjesnog	mjesni	Agpmsgy
)	)	Z
rada	rad	Ncmsg
koja	koji	Pi-fsn
omogućuje	omogućivati	Vmr3s
uključivanje	uključivanje	Ncnsa
,	,	Z
kontrolu	kontrola	Ncfsa
rada	rad	Ncmsg
i	i	Cc
isključivanje	isključivanje	Ncnsa
uređaja	uređaj	Ncmpg
od	od	Sg
strane	strana	Ncfsg
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

Zahtjevi	zahtjev	Ncmpn
za	za	Sa
vanjsku	vanjski	Agpfsay
opremu	oprema	Ncfsa
ŽCP-a	ŽCP	Npmsg
i	i	Cc
PP-a	PP	Npmsg

Članak	članak	Ncmsn
56.	56.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Cestovnom	cestovan	Agpfsiy
svjetlosno-zvučnom	svjetlosno-zvučan	Agpfsiy
signalizacijom	signalizacija	Ncfsi
(	(	Z
CSZS	CSZS	Npmsn
)	)	Z
najavljuje	najavljivati	Vmr3s
se	sebe	Px--sa
približavanje	približavanje	Ncnsn
vlaka	vlak	Ncmsg
,	,	Z

–	–	Z
optički	optički	Agpmpny
(	(	Z
svjetlosnim	svjetlosni	Agpmsiy
znakom	znak	Ncmsi
za	za	Sa
označivanje	označivanje	Ncnsa
prijelaza	prijelaz	Ncmsg
ceste	cesta	Ncfsg
preko	preko	Sg
željezničke	željeznički	Agpfsgy
pruge	pruga	Ncfsg
)	)	Z
–	–	Z
naizmjeničnim	naizmjeničan	Agpnsiy
paljenjem	paljenje	Ncnsi
dvaju	dva	Mlcm-g
crvenih	crven	Agpmpgy
treptećih	trepteći	Ncmpg
svjetala	svjetlo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
u	u	Sl
obliku	oblik	Ncmsl
kruga	krug	Ncmsg
,	,	Z
te	te	Cc

–	–	Agpmsny
akustički	akustički	Agpmsny
(	(	Z
zvučnom	zvučan	Agpfsiy
signalizacijom	signalizacija	Ncfsi
)	)	Z
–	–	Z
isprekidanim	isprekidan	Agpmpiy
zvučnim	zvučan	Agpmpiy
signalima	signal	Ncmpi
u	u	Sl
ritmu	ritam	Ncmsl
treptanja	treptanje	Ncnsg
crvenih	crven	Agpnpgy
svjetala	svjetlo	Ncnpg
,	,	Z
a	a	Cc
generiranim	generirati	Appmply
od	od	Sg
strane	strana	Ncfsg
izvora	izvor	Ncmsg
zvuka	zvuk	Ncmsg
ugrađenog	ugraditi	Appmsgy
na	na	Sa
CSZS	CSZS	Npmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
prometnim	prometan	Agpmply
znakovima	znak	Ncmpl
,	,	Z
signalizaciji	signalizacija	Ncfsl
i	i	Cc
opremi	oprema	Ncfsl
na	na	Sl
cestama	cesta	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
33/05	33/05	Mdc
,	,	Z
64/05	64/05	Mdc
,	,	Z
155/05	155/05	Mdc
i	i	Cc
14/11	14/11	Mdc
)	)	Z
i	i	Cc
normom	norma	Ncfsi
HRN	HR	Npmsg
1127:2002	1127:200	Npmsg
određena	odrediti	Appfsny
je	biti	Var3s
izvedba	izvedba	Ncfsn
,	,	Z
dimenzije	dimenzija	Ncfsg
i	i	Cc
način	način	Ncmsan
postavljanja	postavljanje	Ncnsg
:	:	Z

–	–	Z
svjetlosnog	svjetlosni	Agpmsgy
znaka	znak	Ncmsg
za	za	Sa
označivanje	označivanje	Ncnsa
prijelaza	prijelaz	Ncmsg
ceste	cesta	Ncfsg
preko	preko	Sg
željezničke	željeznički	Agpfsgy
pruge	pruga	Ncfsg
(	(	Z
znak	znak	Ncmsn
G23	G23	X
)	)	Z
,	,	Z
te	te	Cc

–	–	Sg
znaka	znak	Ncmsg
»	»	Z
Andrijin	andrijin	Aspmsnn
križ	križ	Ncmsn
«	«	Z
(	(	Z
A47	A47	X
ili	ili	Cc
A48	A48	X
)	)	Z
koji	koji	Pi-msn
se	sebe	Px--sa
postavlja	postavljati	Vmr3s
na	na	Sl
ŽCP-ima	žcp-	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
osigurani	osigurati	Appmpny
samo	samo	Rgp
cestovnom	cestovan	Agpfsiy
svjetlosno-zvučnom	svjetlosno-zvučan	Agpfsiy
signalizacijom	signalizacija	Ncfsi
(	(	Z
bez	bez	Sg
polubranika	polubranik	Ncmsg
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prometni	prometan	Agpmpny
znakovi	znak	Ncmpn
na	na	Sl
cesti	cesta	Ncfsl
postavljaju	postavljati	Vmr3p
se	sebe	Px--sa
prema	prema	Sl
izvedbenom	izvedben	Agpmsly
projektu	projekt	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zvučna	zvučan	Agpfsny
signalizacija	signalizacija	Ncfsn
mora	morati	Vmr3s
:	:	Z

–	–	Z
davati	davati	Vmn
isprekidan	isprekidan	Agpmsann
zvuk	zvuk	Ncmsan
s	sa	Si
ritmom	ritam	Ncmsi
prekida	prekid	Ncmsg
usklađenim	uskladiti	Agpmsiy
s	sa	Si
ritmom	ritam	Ncmsi
treptanja	treptanje	Ncnsg
svjetiljke	svjetiljka	Ncfsg
svjetlosnog	svjetlosni	Agpmsgy
signala	signal	Ncmsg
,	,	Z

–	–	Z
emitirati	emitirati	Vmn
akustične	akustičan	Agpmpay
signale	signal	Ncmpa
čija	čiji	Pi-fsn
je	biti	Var3s
razina	razina	Ncfsn
zvuka	zvuk	Ncmsg
za	za	Sa
30	30	Mdc
dB	d	Ncmpg
veća	velik	Agcfsny
od	od	Sg
razine	razina	Ncfsg
zvuka	zvuk	Ncmsg
okoline	okolina	Ncfsg
,	,	Z
a	a	Cc
mora	morati	Vmr3s
biti	biti	Van
najmanje	malo	Rgs
70	70	Mdc
dB	d	Npmpg
mjereno	mjeriti	Appnsny
s	sa	Sg
udaljenosti	udaljenost	Ncfsg
od	od	Sg
5	5	Mdc
m	m	Y
,	,	Z
ali	ali	Cc
ne	ne	Qz
smije	smjeti	Vmr3s
prijeći	prijeći	Vmn
razinu	razina	Ncfsa
od	od	Sg
105	105	Mdc
dB	dB	Y
mjereno	mjeriti	Appnsny
na	na	Sl
