manje	malo	Rgc
uplaćenim	uplatiti	Agpmsiy
iznosom	iznos	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Prava	pravo	Ncnpa
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
ispunila	ispuniti	Vmp-sf
obvezu	obveza	Ncfsa
iz	iz	Sg
kredita	kredit	Ncmsg

Članak	članak	Ncmsn
19.	19.	Mdo
g	g	X

(	(	Z
1	1	Mdc
)	)	Z
Jamac	jamac	Ncmsn
ili	ili	Cc
druga	drugi	Mlofsn
osoba	osoba	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
e	e	Ncfsg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
od	od	Sg
koje	koji	Pi-fsg
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
zahtijevao	zahtijevati	Vmp-sm
ili	ili	Cc
ima	imati	Vmr3s
pravo	pravo	Ncnsa
zahtijevati	zahtijevati	Vmn
ispunjenje	ispunjenje	Ncnsa
obveze	obveza	Ncfsg
iz	iz	Sg
kredita	kredit	Ncmsg
u	u	Sl
CHF	cha	Ncfsl
i	i	Cc
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	cha	Ncfsl
može	moći	Vmr3s
s	sa	Si
vjerovnikom	vjerovnik	Ncmsi
u	u	Sa
svoje	svoj	Px-nsa
ime	ime	Ncnsa
ugovoriti	ugovoriti	Vmn
tražbinu	tražbina	Ncfsa
u	u	Sa
korist	korist	Ncfsa
potrošača	potrošač	Ncmpg
ako	ako	Cs
je	biti	Var3s
utvrđen	utvrditi	Appmsnn
iznos	iznos	Ncmsn
preplate	preplata	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
ako	ako	Cs
potrošač	potrošač	Ncmsn
ne	ne	Qz
prihvati	prihvatiti	Vmr3s
izračun	izračun	Ncmsan
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
