održavanje	održavanje	Ncnsn
i	i	Cc
nadogradnju	nadogradnja	Ncfsa
ZeOS-a	ZeOS	Npmsg
i	i	Cc
na	na	Sa
način	način	Ncmsan
uređen	uređen	Agpmsann
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
zemljopisno	zemljopisno	Rgp
obavijesnom	obavijestan	Agpmsly
sustavu	sustav	Ncmsl
Državne	državni	Agpfsgy
uprave	uprava	Ncfsg
za	za	Sa
zaštitu	zaštita	Ncfsa
i	i	Cc
spašavanje	spašavanje	Ncnsa
,	,	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
98/12.	98/12.	Mds

Članak	članak	Ncmsn
28.	28.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
012	012	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
03/10	03/10	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
543	543	Mdc
-	-	Z
01	01	Mdc
-	-	Z
08	08	Mdc
-	-	Z
01	01	Mdc
-	-	Z
16	16	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
10.	10.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

Ravnatelj	ravnatelj	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Jadran	Jadran	Npmsn
Perinić	Perinić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

