intervencija	intervencija	Ncfsn
kompleksne	kompleksan	Agpfsgy
traume	trauma	Ncfsg
Uključuje	uključivati	Vmr3s
intervju	intervju	Ncmsan
,	,	Z
savjetovanje	savjetovanje	Ncnsa
djeteta	dijete	Ncnsg
i	i	Cc
roditelja	roditelj	Ncmpg
s	sa	Si
integracijom	integracija	Ncfsi
traume	trauma	Ncfsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
s	sa	Si
posebnom	poseban	Agpfsiy
edukacijom	edukacija	Ncfsi
.	.	Z

Samo	samo	Rgp
u	u	Sl
visokospecijaliziranim	visokospecijaliziran	Agpfply
ustanovama	ustanova	Ncfpl
i	i	Cc
klinikama	klinika	Ncfpl
.	.	Z

Može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
jednom	jednom	Rgp
na	na	Sl
početku	početak	Ncmsl
obrade	obrada	Ncfsg
.	.	Z
2,84	2,84	Mdc
624,80	624,80	Mdc
PL011	pl011	Agpmsann
Psihološki	psihološki	Agpmsayn
tretman	tretman	Ncmsan
suzbijanja	suzbijanje	Ncnsg
boli	boljeti	Vmr3s
kod	kod	Sg
odrasle	odrastao	Agpfsgy
osobe	osoba	Ncfsg
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
.	.	Z
0,88	0,88	Mdc
193,60	193,60	Mdc
PL012	pl012	Agpmsann
Psihološki	psihološki	Agpmsayn
tretman	tretman	Ncmsan
suzbijanja	suzbijanje	Ncnsg
boli	bol	Ncfsg
kod	kod	Sg
djeteta	dijete	Ncnsg
Uključuje	uključivati	Vmr3s
psihološku	psihološki	Agpfsay
pripremu	priprema	Ncfsa
djeteta	dijete	Ncnsg
i	i	Cc
edukaciju	edukacija	Ncfsa
roditelja	roditelj	Ncmpg
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
s	sa	Si
odgovarajućom	odgovarajući	Agpfsiy
edukacijom	edukacija	Ncfsi
.	.	Z
1,60	1,60	Mdc
352,00	352,00	Mdc
PL013	PL013	Mdc
Tretman	tretman	Ncmsn
rehabilitacije	rehabilitacija	Ncfsg
kognitivnih	kognitivan	Agpfpgy
i	i	Cc
izvršnih	izvršan	Agpfpgy
funkcija	funkcija	Ncfpg
,	,	Z
uvježbavanje	uvježbavanje	Ncnsn
životnih	životan	Agpfpgy
vještina	vještina	Ncfpg
(	(	Z
9	9	Mdc
)	)	Z
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
s	sa	Si
odgovarajućom	odgovarajući	Agpfsiy
edukacijom	edukacija	Ncfsi
.	.	Z
1,60	1,60	Mdc
352,00	352,00	Mdc
PL014	PL014	Mdc
Psihosocijalna	psihosocijalan	Agpfsny
edukacija	edukacija	Ncfsn
za	za	Sa
prilagodbu	prilagodba	Ncfsa
na	na	Sa
zdravstveno	zdravstven	Agpnsay
stanje	stanje	Ncnsa
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
.	.	Z
1,20	1,20	Mdc
264,00	264,00	Mdc
PL015	PL015	Mdc
Individualna	individualan	Agpfsny
psihoterapija	psihoterapija	Ncfsn
kod	kod	Sg
psihologa	psiholog	Ncmsg
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
sa	sa	Si
završenom	završen	Agpfsiy
psihoterapijskom	psihoterapijski	Agpfsiy
edukacijom	edukacija	Ncfsi
.	.	Z
1,60	1,60	Mdc
352,00	352,00	Mdc
PL016	PL016	Mdc
Grupna	grupni	Agpfsny
psihoterapija	psihoterapija	Ncfsn
kod	kod	Sg
psihologa	psiholog	Ncmsg
Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
sa	sa	Si
završenom	završen	Agpfsiy
psihoterapijskom	psihoterapijski	Agpfsiy
edukacijom	edukacija	Ncfsi
.	.	Z

Za	za	Sa
grupnu	grupni	Agpfsay
terapiju	terapija	Ncfsa
do	do	Sg
5	5	Mdc
osoba	osoba	Ncfpg
.	.	Z

Obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
po	po	Sl
pacijentu	pacijent	Ncmsl
.	.	Z
0,48	0,48	Mdc
105,60	105,60	Mdc
PP001	PP001	Mdc
Prva	prvi	Mlofsn
ambulantna	ambulantan	Agpfsny
psihijatrijska	psihijatrijski	Agpfsny
obrada	obrada	Ncfsn
(	(	Z
11	11	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
suportivnu	suportivan	Agpfsay
psihoterapiju	psihoterapija	Ncfsa
.	.	Z

Obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
jednom	jednom	Rgp
na	na	Sl
početku	početak	Ncmsl
liječenja	liječenje	Ncnsg
i	i	Cc
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
DTP	dtp	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
pregled	pregled	Ncmsan
i	i	Cc
individualnu	individualan	Agpfsay
psihoterpiju	psihoterpija	Ncfsa
.	.	Z
2,33	2,33	Mdc
512,60	512,60	Mdc
PP002	PP002	Mdc
Ponovna	ponovan	Agpfsny
ambulantna	ambulantan	Agpfsny
psihijatrijska	psihijatrijski	Agpfsny
obrada	obrada	Ncfsn
(	(	Z
11	11	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
suportivnu	suportivan	Agpfsay
psihoterapiju	psihoterapija	Ncfsa
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
DTP	dtp	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
pregled	pregled	Ncmsan
psihijatra	psihijatar	Ncmsg
i	i	Cc
individualnu	individualan	Agpfsay
psihoterpiju	psihoterpija	Ncfsa
.	.	Z
1,80	1,80	Mdc
396,00	396,00	Mdc
PP003	PP003	Mdc
Prva	prvi	Mlofsn
ambulantna	ambulantan	Agpfsny
psihijatrijska	psihijatrijski	Agpfsny
obrada	obrada	Ncfsn
djeteta	dijete	Ncnsg
/	/	Z
adolescenta	adolescent	Ncmsg
Provodi	provod	Agpmsny
doktor	doktor	Ncmsn
specijalist	specijalist	Ncmsn
ili	ili	Cc
subspec	subspec	Ncmsan
.	.	Z
dječje	dječji	Agpfpay
i	i	Cc
adolescentne	adolescentni	Agpfsgy
psihijatrije	psihijatrija	Ncfsg
,	,	Z
iznimno	iznimno	Rgp
psihijatar	psihijatar	Ncmsn
.	.	Z

Uključuje	uključivati	Vmr3s
intervju	intervju	Ncmsan
s	sa	Si
roditeljima	roditelj	Ncmpi
i	i	Cc
suportivnu	suportivan	Agpfsay
