materijalnih	materijalan	Agpmpgy
uvjeta	uvjet	Ncmpg
prihvata	prihvat	Ncmpg

4.	4.	Mdo
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa

5.	5.	Mdo
osnovno	osnovno	Rgp
i	i	Cc
srednje	srednji	Agpnsay
obrazovanje	obrazovanje	Ncnsa

6.	6.	Mdo
informacije	informacija	Ncfsg
,	,	Z
pravno	pravni	Agpnsny
savjetovanje	savjetovanje	Ncnsn
i	i	Cc
besplatnu	besplatan	Agpfsay
pravnu	pravni	Agpfsay
pomoć	pomoć	Ncfsa

7.	7.	Mdo
slobodu	sloboda	Ncfsa
vjeroispovijesti	vjeroispovijest	Ncfsg

8.	8.	Mdo
rad	rad	Ncmsan
i	i	Cc

9.	9.	Mdo
isprave	isprava	Ncfsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
62.	62.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
ostvarivanju	ostvarivanje	Ncnsl
prava	pravo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
uzet	uzeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
potrebe	potreba	Ncfsg
tražitelja	tražitelj	Ncmpg
kojima	koji	Pi-mpi
su	biti	Var3p
potrebna	potreban	Agpfsny
posebna	poseban	Agpfsny
postupovna	postupovni	Agpfsny
i	i	Cc
/	/	Z
ili	ili	Cc
prihvatna	prihvatni	Agpnpay
jamstva	jamstvo	Ncnpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
:	:	Z

1.	1.	Mdo
poštivati	poštivati	Vmn
Ustav	ustav	Ncmsan
,	,	Z
zakone	zakon	Ncmpa
i	i	Cc
druge	drugi	Mlompa
propise	propis	Ncmpa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

2.	2.	Mdo
surađivati	surađivati	Vmn
s	sa	Si
državnim	državni	Agpnpiy
tijelima	tijelo	Ncnpi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
postupati	postupati	Vmn
po	po	Sl
njihovim	njihov	Ps3fpl
mjerama	mjera	Ncfpl
i	i	Cc
uputama	uputa	Ncfpl

3.	3.	Mdo
podvrgnuti	podvrgnuti	Vmn
se	sebe	Px--sa
provjeri	provjera	Ncfsl
i	i	Cc
utvrđivanju	utvrđivanje	Ncnsl
identiteta	identitet	Ncmsg

4.	4.	Mdo
podvrgnuti	podvrgnuti	Vmn
se	sebe	Px--sa
zdravstvenom	zdravstven	Agpmsdy
pregledu	pregled	Ncmsd

5.	5.	Mdo
poštivati	poštivati	Vmn
Kućni	kućni	Agpmsayn
red	red	Ncmsan
Prihvatilišta	prihvatilište	Ncnsg

6.	6.	Mdo
pojaviti	pojaviti	Vmn
se	sebe	Px--sa
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
u	u	Sl
roku	rok	Ncmsl
koji	koji	Pi-msn
mu	on	Pp3msd
je	biti	Var3s
određen	odrediti	Appmsnn

7.	7.	Mdo
odazvati	odazvati	Vmn
se	sebe	Px--sa
pozivu	poziv	Ncmsd
Ministarstva	ministarstvo	Ncnsg
za	za	Sa
saslušanje	saslušanje	Ncnsa
te	te	Cc
surađivati	surađivati	Vmn
tijekom	tijekom	Sg
cijelog	cijel	Agpmsgy
postupka	postupak	Ncmsg
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg

8.	8.	Mdo
ostati	ostati	Vmn
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
postupka	postupak	Ncmsg
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg

9.	9.	Mdo
javiti	javiti	Vmn
promjenu	promjena	Ncfsa
boravišta	boravište	Ncnsg
