sredstva	sredstvo	Ncnpa
prikupljena	prikupiti	Appfsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
118.	118.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
naknadni	naknadan	Agpmpny
doprinosi	doprinos	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
119.	119.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
dovoljni	dovoljan	Agpmpny
ili	ili	Cc
dostupni	dostupan	Agpmpny
za	za	Sa
pokriće	pokriće	Ncnsa
gubitaka	gubitak	Ncmpg
,	,	Z
troškova	trošak	Ncmpg
ili	ili	Cc
drugih	drugi	Mlompg
rashoda	rashod	Ncmpg
.	.	Z

Pozajmljivanje	pozajmljivanje	Ncnsn
između	između	Sg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
sustava	sustav	Ncmsg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg

Članak	članak	Ncmsn
121.	121.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
zajam	zajam	Ncmsan
od	od	Sg
svih	sav	Agpmpgy
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

a	a	Cc
)	)	Z
da	da	Cs
iznosi	iznositi	Vmr3s
prikupljeni	prikupiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
118.	118.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
dovoljni	dovoljan	Agpmpny
za	za	Sa
pokriće	pokriće	Ncnsa
gubitaka	gubitak	Ncmpg
,	,	Z
troškova	trošak	Ncmpg
ili	ili	Cc
drugih	drugi	Mlompg
rashoda	rashod	Ncmpg

b	b	Npmsn
)	)	Z
da	da	Cs
naknadni	naknadan	Agpmpny
doprinosi	doprinos	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
119.	119.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
odmah	odmah	Rgp
dostupni	dostupan	Agpmpny
te	te	Cc

c	C	Npmsn
)	)	Z
da	da	Cs
zajam	zajam	Ncmsn
i	i	Cc
drugi	drugi	Mlompn
dodatni	dodatan	Agpmpny
izvori	izvor	Ncmpn
financiranja	financiranje	Ncnsg
predviđeni	predvidjeti	Appmpny
člankom	članak	Ncmsi
120.	120.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
dostupni	dostupan	Agpmpny
pod	pod	Si
razumnim	razuman	Agpmpiy
uvjetima	uvjet	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
može	moći	Vmr3s
dati	dati	Vmn
zajam	zajam	Ncmsan
drugim	drugi	Mlompi
sustavima	sustav	Ncmpi
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
kada	kada	Ncfpg
za	za	Sa
taj	taj	Pd-msan
sustav	sustav	Ncmsan
financiranja	financiranje	Ncnsg
nastupe	nastup	Agpfsgy
okolnosti	okolnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
davanju	davanje	Ncnsl
zajma	zajam	Ncmsg
drugom	drugi	Mlomsl
sustavu	sustav	Ncmsl
financiranja	financiranje	Ncnsg
iz	iz	Sg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
.	.	Z

Odluka	odluka	Ncfsn
se	sebe	Px--sa
donosi	donositi	Vmr3s
temeljem	temelj	Sg
zahtjeva	zahtjev	Ncmpg
sustava	sustav	Ncmsg
financiranja	financiranje	Ncnsg
druge	drugi	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
žurnom	žuran	Agpmsly
postupku	postupak	Ncmsl
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
će	htjeti	Var3s
dati	dati	Vmn
zajam	zajam	Ncmsan
pod	pod	Si
jednakim	jednak	Agpmpiy
uvjetima	uvjet	Ncmpi
kao	kao	Cs
i	i	Qo
ostali	ostali	Agpmpny
sustavi	sustav	Ncmpn
financiranja	financiranje	Ncnsg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
financiranju	financiranje	Ncnsl
sustava	sustav	Ncmsg
financiranja	financiranje	Ncnsg
jedne	jedan	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
sustavi	sustav	Ncmpn
financiranja	financiranje	Ncnsg
drugačije	drugačije	Rgp
ne	ne	Qz
dogovore	dogovoriti	Vmr3p
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznos	iznos	Ncmsn
zajma	zajam	Ncmsg
koji	koji	Pi-msan
sanacijski	sanacijski	Agpmsayn
fond	fond	Ncmsan
daje	davati	Vmr3s
sustavu	sustav	Ncfsa
financiranja	financiranje	Ncnsg
druge	drugi	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
bit	biti	Van
će	htjeti	Var3s
razmjeran	razmjeran	Agpmsnn
iznosu	iznos	Ncmsd
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
osiguranih	osigurati	Appmpgy
depozita	depozit	Ncmpg
država	država	Ncfpg
članica	članica	Ncfpg
čiji	čiji	Pi-mpn
sustavi	sustav	Ncmpn
financiranja	financiranje	Ncnsg
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
tom	taj	Pd-msl
postupku	postupak	Ncmsl
.	.	Z

Tako	tako	Rgp
utvrđena	utvrditi	Appfsny
stopa	stopa	Ncfsn
može	moći	Vmr3s
se	sebe	Px--sa
mijenjati	mijenjati	Vmn
sporazumima	sporazum	Ncmpi
svih	sav	Agpmpgy
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
tom	taj	Pd-msl
postupku	postupak	Ncmsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Nepodmireni	nepodmiren	Agpmsny
zajam	zajam	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
dao	dati	Vmp-sm
sustavu	sustav	Ncfsa
financiranja	financiranje	Ncnsg
druge	drugi	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
predstavlja	predstavljati	Vmr3s
imovinu	imovina	Ncfsa
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
uključuje	uključivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
obračun	obračun	Ncmsan
njegove	njegov	Ps3fsg
ciljne	ciljan	Agpfsgy
razine	razina	Ncfsg
.	.	Z

Uzajamna	uzajaman	Agpfsny
potpora	potpora	Ncfsn
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
slučaju	slučaj	Ncmsl
sanacije	sanacija	Ncfsg
grupe	grupa	Ncfsg

Članak	članak	Ncmsn
122.	122.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
sanacije	sanacija	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
30.	30.	Mdo
i	i	Cc
31.	31.	Mdo
ovoga	ovaj	Ncmsg
Zakona	zakon	Ncmsg
sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
će	htjeti	Var3s
sudjelovati	sudjelovati	Vmn
u	u	Sl
financiranju	financiranje	Ncnsl
sanacije	sanacija	Ncfsg
grupe	grupa	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
sanacijsko	sanacijski	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
grupu	grupa	Ncfsa
,	,	Z
a	a	Cc
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
sa	sa	Si
sanacijskim	sanacijski	Agpnpiy
tijelima	tijelo	Ncnpi
institucija	institucija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
članice	članica	Ncfpn
grupe	grupa	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
,	,	Z
predlaže	predlagati	Vmr3s
plan	plan	Ncmsan
financiranja	financiranje	Ncnsg
kao	kao	Cs
dio	dio	Ncmsn
programa	program	Ncmsg
sanacije	sanacija	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
30.	30.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Plan	plan	Ncmsn
financiranja	financiranje	Ncnsg
uključuje	uključivati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
vrednovanje	vrednovanje	Ncnsn
imovine	imovina	Ncfsg
i	i	Cc
obveza	obveza	Ncfsn
članice	članica	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
35.	35.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

b		Npmpn
)	)	Z
iznose	iznositi	Vmr3p
gubitaka	gubitak	Ncmpg
svake	svaki	Pi-fsg
članice	članica	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
u	u	Sl
trenutku	trenutak	Ncmsl
primjene	primjena	Ncfsg
sanacijskih	sanacijski	Agpmpgy
instrumenata	instrument	Ncmpg

c		Npmpn
)	)	Z
iznose	iznositi	Vmr3p
gubitaka	gubitak	Ncmpg
koje	koji	Pi-mpa
bi	biti	Vaa3s
imala	imati	Vmp-sf
svaka	svaki	Pi-fsn
kategorija	kategorija	Ncfsn
dioničara	dioničar	Ncmpg
i	i	Cc
vjerovnika	vjerovnik	Ncmpg
pojedine	pojedini	Agpfsgy
članice	članica	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl

d	d	Qr
)	)	Z
iznos	iznos	Ncmsan
