oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
dostaviti	dostaviti	Vmn
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Ako	ako	Cs
dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpfsny
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
čime	što	Pi3n-i
se	sebe	Px--sa
prethodno	prethodno	Rgp
donesena	donijeti	Appfsny
odluka	odluka	Ncfsn
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
stavlja	stavljati	Vmr3s
izvan	izvan	Sg
snage	snaga	Ncfsg
,	,	Z
a	a	Cc
ugovor	ugovor	Ncmsan
o	o	Sl
financiranju	financiranje	Ncnsl
se	sebe	Px--sa
raskida	raskidati	Vmr3s
.	.	Z

(	(	Z
16	16	Mdc
)	)	Z
Ako	ako	Cs
dokumentacija	dokumentacija	Ncfsn
vezana	vezati	Appfsny
uz	uz	Sa
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
i	i	Cc
izvršenje	izvršenje	Ncnsa
ugovora	ugovor	Ncmsg
koja	koji	Pi-fsn
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
sa	sa	Si
zahtjevom	zahtjev	Ncmsi
za	za	Sa
isplatu	isplata	Ncfsa
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpfsny
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
ujedno	ujedno	Rgp
se	sebe	Px--sa
raskida	raskidati	Vmr3s
ugovor	ugovor	Ncmsn
o	o	Sl
financiranju	financiranje	Ncnsl
koji	koji	Pi-msn
je	biti	Var3s
sklopljen	sklopiti	Appmsnn
s	sa	Si
korisnikom	korisnik	Ncmsi
.	.	Z

(	(	Z
17	17	Mdc
)	)	Z
Administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
koju	koji	Pi-fsa
temeljem	temelj	Ncmsi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
provodi	provoditi	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
kontrolnim	kontrolan	Agpmpiy
mehanizmima	mehanizam	Ncmpi
u	u	Sl
smislu	smisao	Ncmsl
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
.	.	Z

(	(	Z
18	18	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nepoštovanja	nepoštovanje	Ncnsg
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
primijeniti	primijeniti	Vmn
financijske	financijski	Agpfpay
ispravke	ispravka	Ncfpa
.	.	Z

(	(	Z
19	19	Mdc
)	)	Z
Popis	popis	Ncmsn
grešaka	greška	Ncfpg
u	u	Sl
postupcima	postupak	Ncmpl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
s	sa	Si
primjenjivim	primjenjiv	Agpfpiy
stopama	stopa	Ncfpi
financijskih	financijski	Agpmpgy
ispravaka	ispravak	Ncmpg
čini	činiti	Vmr3s
Prilog	prilog	Ncmsan
VI	VI	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

U	u	Sl
prilogu	prilog	Ncmsl
je	biti	Var3s
popis	popis	Ncmsn
mogućih	moguć	Agpmpgy
slučajeva	slučaj	Ncmpg
koji	koji	Pi-msn
nije	biti	Var3s
konačan	konačan	Agpmsnn
.	.	Z

(	(	Z
20	20	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
u	u	Sl
jednom	jedan	Mlcmsl
postupku	postupak	Ncmsl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
utvrdi	utvrditi	Vmr3s
više	mnogo	Rgc
pogrešaka	pogreška	Ncfpg
,	,	Z
stope	stopa	Ncfpn
ispravka	ispravka	Ncfsn
se	sebe	Px--sa
ne	ne	Qz
zbrajaju	zbrajati	Vmr3p
i	i	Cc
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
greška	greška	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
određena	odrediti	Appfsny
najveća	velik	Agsfsny
stopa	stopa	Ncfsn
ispravka	ispravak	Ncmsg
.	.	Z

(	(	Z
21	21	Mdc
)	)	Z
Neovisno	neovisan	Agpnsny
o	o	Sl
greškama	greška	Ncfpl
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
financijski	financijski	Agpmsny
ispravak	ispravak	Ncmsn
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
zadržava	zadržavati	Vmr3s
pravo	pravo	Ncnsa
odbijanja	odbijanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
ukoliko	ukoliko	Cs
se	sebe	Px--sa
utvrde	utvrditi	Vmr3p
ostale	ostali	Agpfpny
greške	greška	Ncfpn
u	u	Sl
provedbi	provedba	Ncfsl
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
koje	koji	Pi-fpn
nisu	biti	Var3p
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
VI	VI	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Plan	plan	Ncmsn
konverzije	konverzija	Ncfsg

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plan	plan	Ncmsn
konverzije	konverzija	Ncfsg
treba	trebati	Vmr3s
biti	biti	Van
izrađen	izraditi	Appmsnn
u	u	Sl
predlošku	predložak	Ncmsl
pod	pod	Si
nazivom	naziv	Ncmsi
:	:	Z
Obrazac	obrazac	Ncmsn
za	za	Sa
izradu	izrada	Ncfsa
plana	plan	Ncmsg
konverzije	konverzija	Ncfsg
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Plan	plan	Ncmsn
konverzije	konverzija	Ncfsg
potrebno	potreban	Agpnsny
je	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
popuniti	popuniti	Vmn
i	i	Cc
učitati	učitati	Vmn
u	u	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

Prijave	prijava	Ncfpn
kod	kod	Sg
kojih	koji	Pi-mpg
plan	plan	Ncmsan
konverzije	konverzija	Ncfsg
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
nije	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
popunjen	popuniti	Appmsnn
,	,	Z
bit	biti	Van
će	htjeti	Var3p
odbijene	odbiti	Appfpny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Plan	plan	Ncmsn
konverzije	konverzija	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
izrađen	izraditi	Appmsnn
i	i	Cc
ovjeren	ovjeriti	Appmsnn
od	od	Sg
ovlaštenog	ovlašten	Agpmsgy
inženjera	inženjer	Ncmsg
šumarstva	šumarstvo	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Podaci	podatak	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
planu	plan	Ncmsl
konverzije	konverzija	Ncfsg
podložni	podložan	Agpmpny
su	biti	Var3p
provjerama	provjera	Ncfpi
nadležnih	nadležan	Agpfpgy
institucija	institucija	Ncfpg
i	i	Cc
nakon	nakon	Sg
isplate	isplata	Ncfsg
EPFRR	epfr	Agpnpgy
sredstava	sredstvo	Ncnpg
i	i	Cc
to	to	Qo
u	u	Sl
periodu	period	Ncmsl
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
EPFRR	epfri	Agpfsgy
potpore	potpora	Ncfsg
.	.	Z

Idejni	idejni	Agpmsny
plan	plan	Ncmsn
ulaganja	ulaganje	Ncnsg

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Idejni	idejni	Agpmsny
plan	plan	Ncmsn
ulaganja	ulaganje	Ncnsg
treba	trebati	Vmr3s
biti	biti	Van
izrađen	izraditi	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
uputama	uputa	Ncfpi
i	i	Cc
pojašnjenjima	pojašnjenje	Ncnpl
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
–	–	Z
dio	dio	Ncmsan
»	»	Z
IDEJNI	idejni	Agpmsny
PLAN	plan	Ncmsn
ULAGANJA	ulaganje	Ncnsg
«	«	Z
koji	koji	Pi-msn
je	biti	Var3s
potrebno	potreban	Agpnsny
u	u	Sl
cijelosti	cijelost	Ncfsl
popuniti	popuniti	Vmn
sukladno	sukladno	Rgp
pripadajućim	pripadajući	Agpfpiy
uputama	uputa	Ncfpi
i	i	Cc
učitati	učitati	Vmn
u	u	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjevi	zahtjev	Ncmpn
kod	kod	Sg
kojih	koji	Pi-mpg
idejni	idejni	Agpmsny
plan	plan	Ncmsn
ulaganja	ulaganje	Ncnsg
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
nije	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
popunjen	popuniti	Appmsnn
,	,	Z
bit	biti	Van
će	htjeti	Var3p
odbijene	odbiti	Appfpny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
idejnom	idejni	Agpmsly
planu	plan	Ncmsl
ulaganja	ulaganje	Ncnpg
,	,	Z
projektu	projekt	Ncmsl
izrađenom	izraditi	Appmsly
od	od	Sg
strane	strana	Ncfsg
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
prikazati	prikazati	Vmn
krajnji	krajnji	Agpmsayn
cilj	cilj	Ncmsan
ulaganja	ulaganje	Ncnsg
i	i	Cc
kome	koma	Ncfsg
je	biti	Var3s
namijenjen	namijeniti	Appmsnn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Podaci	podatak	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
idejnom	idejni	Agpmsly
planu	plan	Ncmsl
ulaganja	ulaganje	Ncnpg
podložni	podložan	Agpmpny
su	biti	Var3p
provjerama	provjera	Ncfpi
nadležnih	nadležan	Agpfpgy
institucija	institucija	Ncfpg
i	i	Cc
nakon	nakon	Sg
isplate	isplata	Ncfsg
EPFRR	epfr	Agpnpgy
sredstava	sredstvo	Ncnpg
i	i	Cc
to	to	Qo
u	u	Sl
periodu	period	Ncmsl
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
EPFRR	epfri	Agpfsgy
potpore	potpora	Ncfsg
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
i	i	Cc
odluka	odluka	Ncfpg
o	o	Sl
odbijanju	odbijanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
dovoljno	dovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg

Članak	članak	Ncmsn
26.	26.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnog	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
ima	imati	Vmr3s
dovoljno	dovoljno	Rgp
