IZVJEŠĆIVANJE	izvješćivanje	Ncnsn
O	o	Sl
DOSPJELIM	dospjeli	Agpfply
,	,	Z
A	a	Cc
NENAPLAĆENIM	nenaplaćen	Agpnply
POTRAŽIVANJIMA	potraživanje	Ncnpl

1.	1.	Mdo
Obveznici	obveznik	Ncmpn
sastavljanja	sastavljanje	Ncnsg
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg

Članak	članak	Ncmsn
19.	19.	Mdo

Obveznici	obveznik	Ncmpn
sastavljanja	sastavljanje	Ncnsg
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg
o	o	Sl
dospjelim	dospjeli	Agpfply
,	,	Z
a	a	Cc
nenaplaćenim	nenaplaćen	Agpnply
potraživanjima	potraživanje	Ncnpl
,	,	Z
jesu	biti	Var3p
porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
upisani	upisati	Appmpny
u	u	Sa
registar	registar	Ncmsan
obveznika	obveznik	Ncmpg
poreza	porez	Ncmsg
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsa
koji	koji	Pi-msn
na	na	Sa
dan	dan	Ncmsan
sastavljanja	sastavljanje	Ncnsg
izvješća	izvješće	Ncnsg
imaju	imati	Vmr3p
u	u	Sl
svojim	svoj	Px-fpl
poslovnim	poslovan	Agpfply
knjigama	knjiga	Ncfpl
evidentirana	evidentirati	Appnpny
dospjela	dospjeti	Vmp-sf
,	,	Z
a	a	Cc
nenaplaćena	nenaplaćen	Agpnpay
potraživanja	potraživanje	Ncnpa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
su	biti	Var3p
dospjela	dospjeti	Vmp-pn
sukladno	sukladno	Rgp
rokovima	rok	Ncmpd
ispunjenja	ispunjenje	Ncnsg
novčanih	novčan	Agpfpgy
obveza	obveza	Ncfpg
propisanim	propisati	Agpmsiy
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
.	.	Z

2.	2.	Mdo
Definicije	definicija	Ncfsg

Članak	članak	Ncmsn
20.	20.	Mdo

Dospjelim	dospjeli	Agpfpiy
,	,	Z
a	a	Cc
nenaplaćenim	nenaplaćen	Agpnply
potraživanjima	potraživanje	Ncnpl
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
:	:	Z

1.	1.	Mdo
potraživanja	potraživanje	Ncnsg
temeljem	temelj	Ncmsi
dospjelih	dospjeli	Agpmpgy
,	,	Z
a	a	Cc
nenaplaćenih	nenaplaćen	Agpmpgy
računa	račun	Ncmpg
izdanih	izdan	Agpmpgy
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
porezu	porez	Ncmsl
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsn
(	(	Z
u	u	Sl
nastavku	nastavak	Ncmsl
:	:	Z
Zakon	zakon	Ncmsn
o	o	Sl
PDV-u	PDV	Npmsl
)	)	Z
,	,	Z

2.	2.	Mdo
potraživanja	potraživanje	Ncnsg
temeljem	temelj	Ncmsi
dospjelih	dospjeli	Agpmpgy
,	,	Z
a	a	Cc
nenaplaćenih	nenaplaćen	Agpmpgy
računa	račun	Ncmpg
izdanih	izdan	Agpmpgy
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
OPZ-a	OPZ	Npmsg
.	.	Z

3.	3.	Mdo
Rokovi	rok	Ncmpn
za	za	Sa
dostavu	dostava	Ncfsa
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
O	o	Sl
dospjelim	dospjeli	Agpfply
,	,	Z
a	a	Cc
nenaplaćenim	nenaplaćen	Agpnply
potraživanjima	potraživanje	Ncnpl
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obveznici	obveznik	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dužni	dužan	Agpmpny
su	biti	Var3p
,	,	Z
do	do	Sg
naplate	naplata	Ncfsg
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
cjelokupnog	cjelokupan	Agpmsgy
otpisa	otpis	Ncmsg
,	,	Z
sastavljati	sastavljati	Vmn
statistička	statistički	Agpnpay
izvješća	izvješće	Ncnpa
sa	sa	Sg
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
ožujka	ožujak	Ncmsg
,	,	Z
30.	30.	Mdo
lipnja	lipanj	Ncmsg
,	,	Z
30.	30.	Mdo
rujna	rujan	Ncmsg
i	i	Cc
31.	31.	Mdo
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
na	na	Sa
dan	dan	Ncmsan
sastavljanja	sastavljanje	Ncnsg
nisu	biti	Var3p
starija	star	Agcfsny
od	od	Sg
6	6	Mdc
godina	godina	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Statistička	statistički	Agpnpny
izvješća	izvješće	Ncnpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
»	»	Z
