jedna	jedan	Mlcfsn
od	od	Sg
tih	taj	Pd-fpg
iznimki	iznimka	Ncfpg
.	.	Z

2.2.9.	2.2.9.	Mdo

Praćenje	praćenje	Ncnsn
promjena	promjena	Ncfpg
okolnosti	okolnost	Ncfsg

Članak	članak	Ncmsn
28.	28.	Mdo

Izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
provesti	provesti	Vmn
postupke	postupak	Ncmpa
na	na	Sl
osnovi	osnova	Ncfsl
kojih	koji	Pi-fpg
osoba	osoba	Ncfpg
u	u	Sl
banci	banka	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
zadužena	zadužiti	Appfsny
za	za	Sa
poslovanje	poslovanje	Ncnsa
sa	sa	Si
strankama	stranka	Ncfpi
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
svaku	svaki	Pi-fsa
promjenu	promjena	Ncfsa
okolnosti	okolnost	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
račun	račun	Ncmsan
.	.	Z

Osobito	osobito	Rgp
ako	ako	Cs
osoba	osoba	Ncfsn
u	u	Sl
banci	banka	Ncfsl
zadužena	zadužiti	Appfsny
za	za	Sa
poslovanje	poslovanje	Ncnsa
sa	sa	Si
strankama	stranka	Ncfpi
dobije	dobiti	Vmr3s
obavijest	obavijest	Ncfsa
da	da	Cs
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
ima	imati	Vmr3s
novu	nov	Agpfsay
adresu	adresa	Ncfsa
za	za	Sa
zaprimanje	zaprimanje	Ncnsa
pismena	pismena	Ncnpg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
novu	nov	Agpfsay
adresu	adresa	Ncfsa
smatrati	smatrati	Vmn
promjenom	promjena	Ncfsi
okolnosti	okolnost	Ncfsg
i	i	Cc
ako	ako	Cs
odluče	odlučiti	Vmr3p
primijeniti	primijeniti	Vmn
članak	članak	Ncmsan
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
dužne	dužan	Agpfsgy
su	biti	Var3p
od	od	Sg
imatelja	imatelj	Ncmsg
računa	račun	Ncmsg
prikupiti	prikupiti	Vmn
odgovarajuću	odgovarajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

2.2.10.	2.2.10.	Mdo

Rokovi	rok	Ncmpn
za	za	Sa
postupke	postupak	Ncmpa
provjere	provjera	Ncfsg
računa	račun	Ncmsg
i	i	Cc
izvješćivanja	izvješćivanje	Ncnsg

Članak	članak	Ncmsn
29.	29.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Provjera	provjera	Ncfsn
postojećih	postojeći	Agpmpgy
računa	račun	Ncmpg
velike	velik	Agpfsgy
vrijednosti	vrijednost	Ncfsg
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
mora	morati	Vmr3s
biti	biti	Van
dovršena	dovršiti	Appfsny
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo

Provjera	provjera	Ncfsn
postojećih	postojeći	Agpmpgy
računa	račun	Ncmpg
male	mali	Agpfsgy
vrijednosti	vrijednost	Ncfsg
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
mora	morati	Vmr3s
biti	biti	Van
dovršena	dovršiti	Appfsny
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2017.	2017.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Svaki	svaki	Pi-msn
postojeći	postojeći	Agpmsny
račun	račun	Ncmsn
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
račun	račun	Ncmsan
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
smatra	smatrati	Vmr3s
se	sebe	Px--sa
računom	račun	Ncmsi
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
u	u	Sl
svim	sav	Agpfply
godinama	godina	Ncfpl
koje	koji	Pi-fpn
slijede	slijediti	Vmr3p
osim	osim	Cs
ako	ako	Cs
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
prestane	prestati	Vmr3s
biti	biti	Van
osoba	osoba	Ncfsn
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
.	.	Z

3.	3.	Mdo
Dubinska	dubinski	Agpfsny
analiza	analiza	Ncfsn
novih	nov	Agpmpgy
računa	račun	Ncmpg
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg

3.1.	3.1.	Mdo

Utvrđivanje	utvrđivanje	Ncnsn
novih	nov	Agpmpgy
računa	račun	Ncmpg
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg

3.1.1.	3.1.1.	Mdo

Izjava	izjava	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
otvara	otvarati	Vmr3s
novi	nov	Agpmsayn
račun	račun	Ncmsan
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
su	biti	Var3p
prilikom	prilikom	Sg
otvaranja	otvaranje	Ncnsg
računa	račun	Ncmsg
obvezne	obvezan	Agpfsgy
pribaviti	pribaviti	Vmn
izjavu	izjava	Ncfsa
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izjava	izjava	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
biti	biti	Van
dio	dio	Ncmsn
dokumentacije	dokumentacija	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
otvaranja	otvaranje	Ncnsg
računa	račun	Ncmpg
na	na	Sl
osnovi	osnova	Ncfsl
koje	koji	Pi-fpn
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
mogu	moći	Vmr3p
utvrditi	utvrditi	Vmn
rezidentost	rezidentost	Ncfsa
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
,	,	Z
te	te	Cc
potvrditi	potvrditi	Vmn
opravdanost	opravdanost	Ncfsa
te	te	Cc
izjave	izjava	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
informacija	informacija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
