relevantan	relevantan	Agpmsnn
za	za	Sa
njihove	njihov	Ps3fpa
određene	određen	Agpfpay
okolnosti	okolnost	Ncfpa
.	.	Z

100.13	100.1i	Agpfpny
Zaštite	zaštita	Ncfpn
su	biti	Var3p
aktivnosti	aktivnost	Ncfpn
ili	ili	Cc
druge	drugi	Mlofpn
mjere	mjera	Ncfpn
koje	koji	Pi-fpn
otklanjaju	otklanjati	Vmr3p
prijetnje	prijetnja	Ncfpa
ili	ili	Cc
ih	oni	Pp3-pa
umanjuju	umanjivati	Vmr3p
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
.	.	Z

Mogu	moći	Vmr3p
se	sebe	Px--sa
svrstati	svrstati	Vmn
u	u	Sa
dvije	dva	Mlcf-a
osnovne	osnovan	Agpfsgy
kategorije	kategorija	Ncfsg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
zaštite	zaštita	Ncfsg
ustanovljene	ustanoviti	Appfsgy
profesijom	profesija	Ncfsi
,	,	Z
zakonom	zakon	Ncmsi
ili	ili	Cc
regulativom	regulativa	Ncfsi
;	;	Z
i	i	Cc

(	(	Z
b	b	Ncfpn
)	)	Z
zaštite	zaštita	Ncfsg
u	u	Sl
radnoj	radni	Agpfsly
okolini	okolina	Ncfsl
.	.	Z

100.14	100.14	Mds
Zaštite	zaštita	Ncfsg
ustanovljene	ustanoviti	Appfsgy
profesijom	profesija	Ncfsi
,	,	Z
zakonom	zakon	Ncmsi
ili	ili	Cc
regulativom	regulativa	Ncfsi
uključuju	uključivati	Vmr3p
:	:	Z

•		Agcmpay
zahtjeve	zahtjev	Ncmpa
obrazovanosti	obrazovanost	Ncfsg
,	,	Z
uvježbanosti	uvježbanost	Ncfsg
i	i	Cc
iskustva	iskustvo	Ncnsg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ulaskom	ulazak	Ncmsi
u	u	Sa
profesiju	profesija	Ncfsa
;	;	Z

•		Agcmpay
zahtjeve	zahtjev	Ncmpa
trajnog	trajan	Agpnsgy
stručnog	stručan	Agpnsgy
usavršavanja	usavršavanje	Ncnsg
;	;	Z

•	i	Agpnsgy
pravila	pravilo	Ncnsg
korporativnog	korporativan	Agpnsgy
upravljanja	upravljanje	Ncnsg
;	;	Z

•	i	Agpmpay
profesionalne	profesionalan	Agpmpay
standarde	standard	Ncmpa
;	;	Z

•	•	Agpmsny
monitoring	monitoring	Ncmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
profesija	profesija	Ncfsn
ili	ili	Cc
regulator	regulator	Ncmsn
i	i	Cc
disciplinske	disciplinski	Agpmpay
postupke	postupak	Ncmpa
;	;	Z
i	i	Cc

•	•	Agpmsny
vanjski	vanjski	Agpmsny
pregled	pregled	Ncmsn
izvješća	izvješće	Ncnsg
,	,	Z
proizvoda	proizvod	Ncmpg
,	,	Z
komunikacija	komunikacija	Ncfsn
ili	ili	Cc
informacija	informacija	Ncfpg
koje	koji	Pi-fpa
stvara	stvarati	Vmr3s
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
zakonski	zakonski	Rgp
opunomoćena	opunomoćiti	Appfsny
treća	treći	Mlofsn
stranka	stranka	Ncfsn
.	.	Z

100.15	100.15	Mdm
U	u	Sl
Dijelovima	dio	Ncmpl
B	b	Agpmply
i	i	Cc
C	C	Npmsn
ovog	ovaj	Pd-msg
Kodeksa	kodeks	Ncmsg
razmatraju	razmatrati	Vmr3p
se	sebe	Px--sa
zaštite	zaštititi	Vmr3p
u	u	Sl
radnoj	radni	Agpfsly
okolini	okolina	Ncfsl
za	za	Sa
profesionalne	profesionalan	Agpmpay
računovođe	računovođa	Ncmpa
u	u	Sl
javnoj	javan	Agpfsly
praksi	praksa	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
profesionalne	profesionalan	Agpmpay
računovođe	računovođa	Ncmpa
u	u	Sl
gospodarstvu	gospodarstvo	Ncnsl
.	.	Z

100.16	100.1i	Agpfpny
Određene	određen	Agpfpny
zaštite	zaštita	Ncfpn
mogu	moći	Vmr3p
povećati	povećati	Vmn
vjerojatnost	vjerojatnost	Ncfsa
prepoznavanja	prepoznavanje	Ncnsg
neetičkog	neetički	Agpnsgy
ponašanja	ponašanje	Ncnsg
ili	ili	Cc
odvraćanja	odvraćanje	Ncnsg
od	od	Sg
njega	on	Pp3msg
.	.	Z

Takve	takav	Pd-fpn
zaštite	zaštita	Ncfpn
,	,	Z
koje	koji	Pi-fpn
mogu	moći	Vmr3p
biti	biti	Van
ustanovljene	ustanoviti	Appfpny
profesijom	profesija	Ncfsi
,	,	Z
zakonom	zakon	Ncmsi
ili	ili	Cc
regulativom	regulativa	Ncfsi
ili	ili	Cc
ih	oni	Pp3-pa
ustanovljuje	ustanovljivati	Vmr3s
poslodavčeva	poslodavčev	Aspfsny
organizacija	organizacija	Ncfsn
,	,	Z
uključuju	uključivati	Vmr3p
:	:	Z

•	i	Agpfpay
učinkovite	učinkovit	Agpfpay
i	i	Cc
dobro	dobro	Rgp
razglašene	razglasiti	Appmpay
sustave	sustav	Ncmpa
za	za	Sa
pritužbe	pritužba	Ncfpa
koje	koji	Pi-fpa
vodi	voditi	Vmr3s
poslodavčeva	poslodavčev	Aspfsny
organizacija	organizacija	Ncfsn
,	,	Z
profesija	profesija	Ncfsn
ili	ili	Cc
regulator	regulator	Ncmsn
,	,	Z
i	i	Cc
omogućavaju	omogućavati	Vmr3p
suradnicima	suradnik	Ncmpi
,	,	Z
zaposlenicima	zaposlenik	Ncmpi
ili	ili	Cc
pripadnicima	pripadnik	Ncmpi
javnosti	javnost	Ncfsg
da	da	Cs
ukažu	ukazati	Vmr3p
na	na	Sa
neprofesionalno	neprofesionalan	Agpnsay
ili	ili	Cc
neetičko	neetički	Agpnsay
ponašanje	ponašanje	Ncnsa
;	;	Z
i	i	Cc

•	•	Z
izričito	izričito	Rgp
navedenu	naveden	Agpfsay
obvezu	obveza	Ncfsa
prijave	prijava	Ncfsg
povreda	povreda	Ncfpg
zahtjeva	zahtjev	Ncmpg
etike	etika	Ncfsg
.	.	Z

Sukob	sukob	Ncmsn
interesa	interes	Ncmsg

100.17	100.17	Agpmsny
Profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
može	moći	Vmr3s
se	sebe	Px--sa
suočiti	suočiti	Vmn
s	sa	Si
pojavom	pojava	Ncfsi
sukoba	sukob	Ncmpg
interesa	interes	Ncmpg
kada	kada	Cs
poduzima	poduzimati	Vmr3s
profesionalne	profesionalan	Agpfpay
aktivnosti	aktivnost	Ncfpa
.	.	Z

Sukob	sukob	Ncmsn
interesa	interes	Ncmsg
stvara	stvarati	Vmr3s
prijetnju	prijetnja	Ncfsa
objektivnosti	objektivnost	Ncfsg
i	i	Cc
može	moći	Vmr3s
stvoriti	stvoriti	Vmn
prijetnje	prijetnja	Ncfpa
spram	spram	Sg
drugih	drugi	Mlofpg
temeljnih	temeljan	Agpnpgy
načela	načelo	Ncnpg
.	.	Z

Takve	takav	Pd-fpn
prijetnje	prijetnja	Ncfpn
mogu	moći	Vmr3p
nastati	nastati	Vmn
kada	kada	Rgp
:	:	Z

•	•	Agpmsny
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
poduzima	poduzimati	Vmr3s
profesionalne	profesionalan	Agpfpay
aktivnosti	aktivnost	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
određenim	određen	Agpnsiy
pitanjem	pitanje	Ncnsi
za	za	Sa
dvije	dva	Mlcf-a
ili	ili	Cc
više	mnogo	Rgc
stranaka	stranka	Ncfpg
kojima	koji	Pi-fpd
su	biti	Var3p
sukobljeni	sukobiti	Appmpny
interesi	interes	Ncmpn
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
tim	taj	Pd-nsi
pitanjem	pitanje	Ncnsi
;	;	Z
ili	ili	Cc

•	•	Pd-mpn
sukobljeni	sukobiti	Appmpny
su	biti	Var3p
interesi	interes	Ncmpn
profesionalnog	profesionalan	Agpmsgy
računovođe	računovođa	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
određenim	određen	Agpnsiy
pitanjem	pitanje	Ncnsi
s	sa	Si
interesima	interes	Ncmpi
stranke	stranka	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
poduzima	poduzimati	Vmr3s
profesionalnu	profesionalan	Agpfsay
aktivnost	aktivnost	Ncfsa
povezanu	povezati	Appfsay
s	sa	Si
tim	taj	Pd-nsi
pitanjem	pitanje	Ncnsi
.	.	Z

100.18	100.18	Mdm
U	u	Sl
Dijelovima	dio	Ncmpl
B	b	Agpmply
i	i	Cc
C	C	Npmsn
