definiranim	definirati	Agpfpiy
ovlastima	ovlast	Ncfpi
i	i	Cc
odgovornostima	odgovornost	Ncfpl
za	za	Sa
upravljanje	upravljanje	Ncnsa
rizicima	rizik	Ncmpi
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
središnju	središnji	Agpfsay
ulogu	uloga	Ncfsa
ima	imati	Vmr3s
funkcija	funkcija	Ncfsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd

2.	2.	Mdo
postupke	postupak	Ncmpa
i	i	Cc
principe	princip	Ncmpa
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
te	te	Cc
tehnike	tehnika	Ncfpa
i	i	Cc
alate	alat	Ncmpa
za	za	Sa
mjerenje	mjerenje	Ncnsa
rizika	rizik	Ncmsg

3.	3.	Mdo
strategije	strategija	Ncfsg
,	,	Z
politike	politika	Ncfsg
,	,	Z
postupke	postupak	Ncmpa
i	i	Cc
mjere	mjera	Ncfpa
vezane	vezan	Agpfpay
za	za	Sa
upravljanje	upravljanje	Ncnsa
rizicima	rizik	Ncmpi
i	i	Cc

4.	4.	Mdo
praćenje	praćenje	Ncnsa
i	i	Cc
izvještavanje	izvještavanje	Ncnsa
o	o	Sl
rizicima	rizik	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
propisati	propisati	Vmn
,	,	Z
primjenjivati	primjenjivati	Vmn
,	,	Z
dokumentirati	dokumentirati	Vmn
i	i	Cc
redovito	redovito	Rgp
ažurirati	ažurirati	Vmn
odgovarajuće	odgovarajući	Agpnsny
,	,	Z
učinkovite	učinkovit	Agpfpay
i	i	Cc
sveobuhvatne	sveobuhvatan	Agpfsgy
strategije	strategija	Ncfsg
i	i	Cc
politike	politika	Ncfsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
u	u	Sa
svrhu	svrha	Ncfsa
utvrđivanja	utvrđivanje	Ncnsg
rizika	rizik	Ncmpg
povezanih	povezan	Agpmpgy
s	sa	Si
poslovanjem	poslovanje	Ncnsi
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
UCITS	uci	Agpmpiy
fondovima	fond	Ncmpi
kojima	koji	Pi-mpi
upravlja	upravljati	Vmr3s
,	,	Z
poslovnim	poslovan	Agpmply
procesima	proces	Ncmpl
i	i	Cc
sustavima	sustav	Ncmpi
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
UCITS	UCITS	Npmsn
fondova	fond	Ncmpg
kojima	koji	Pi-mpi
upravlja	upravljati	Vmr3s
,	,	Z
doprinose	doprinositi	Vmr3p
tih	taj	Pd-mpg
pojedinih	pojedini	Agpmpgy
rizika	rizik	Ncmpg
cjelokupnom	cjelokupan	Agpmsly
profilu	profil	Ncmsl
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
pojedinog	pojedini	Agpmsgy
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
i	i	Cc
utvrđivanja	utvrđivanje	Ncnsg
prihvatljivog	prihvatljiv	Agpmsgy
stupnja	stupanj	Ncmsg
rizika	rizik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Strategija	strategija	Ncfsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
mora	morati	Vmr3s
odražavati	odražavati	Vmn
temeljni	temeljan	Agpmsayn
odnos	odnos	Ncmsan
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
prema	prema	Sl
rizicima	rizik	Ncmpd
kojima	koji	Pi-mpi
su	biti	Var3p
ili	ili	Cc
bi	biti	Vaa3p
mogli	moći	Vmp-pm
biti	biti	Van
izloženi	izložiti	Appmpny
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
UCITS	ucits	Agpmpny
fondovi	fond	Ncmpn
u	u	Sl
svom	svoj	Px-msl
poslovanju	poslovanje	Ncnsl
,	,	Z
a	a	Cc
najmanje	malo	Rgs
mora	morati	Vmr3s
uključivati	uključivati	Vmn
opća	opći	Agpnpay
načela	načelo	Ncnpa
i	i	Cc
ciljeve	cilj	Ncmpa
strategije	strategija	Ncfsg
kao	kao	Cs
polaznu	polazan	Agpfsay
osnovu	osnova	Ncfsa
za	za	Sa
proces	proces	Ncmsan
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
.	.	Z

Strategija	strategija	Ncfsn
postavlja	postavljati	Vmr3s
sustavni	sustavan	Agpmsny
okvir	okvir	Ncmsn
i	i	Cc
strukturirani	strukturiran	Agpmsayn
pristup	pristup	Ncmsan
utvrđivanju	utvrđivanje	Ncnsl
i	i	Cc
upravljanju	upravljanje	Ncnsl
rizicima	rizik	Ncmpd
u	u	Sl
društvu	društvo	Ncnsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Politika	politika	Ncfsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
realizaciju	realizacija	Ncfsa
strategije	strategija	Ncfsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Politikom	politika	Ncfsi
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
opisuje	opisivati	Vmr3s
se	sebe	Px--sa
način	način	Ncmsn
na	na	Sa
koji	koji	Pi-msan
društvo	društvo	Ncnsa
za	za	Sa
upravljanje	upravljanje	Ncnsa
namjerava	namjeravati	Vmr3s
implementirati	implementirati	Vmn
upravljanje	upravljanje	Ncnsa
rizicima	rizik	Ncmpd
na	na	Sa
jedan	jedan	Mlcmsan
sustavan	sustavan	Agpmsann
način	način	Ncmsan
,	,	Z
definirajući	definirati	Rr
uloge	uloga	Ncfpa
i	i	Cc
odgovornosti	odgovornost	Ncfsg
te	te	Cc
proces	proces	Ncmsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
koji	koji	Pi-msn
uključuje	uključivati	Vmr3s
redovito	redovit	Agpnsay
i	i	Cc
pravovremeno	pravovremen	Agpnsay
utvrđivanje	utvrđivanje	Ncnsa
,	,	Z
mjerenje	mjerenje	Ncnsa
odnosno	odnosni	Agpnsay
procjenjivanje	procjenjivanje	Ncnsa
,	,	Z
upravljanje	upravljanje	Ncnsn
odnosno	odnosni	Agpnsay
postupanje	postupanje	Ncnsa
po	po	Sl
rizicima	rizik	Ncmpl
i	i	Cc
praćenje	praćenje	Ncnsa
rizika	rizik	Ncmsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
izvještavanje	izvještavanje	Ncnsa
o	o	Sl
rizicima	rizik	Ncmpd
kojima	koji	Pi-mpd
su	biti	Var3p
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
