izdvojila	izdvojiti	Vmp-sf
se	sebe	Px--sa
programskom	programski	Agpfsiy
kvalitetom	kvaliteta	Ncfsi
koja	koji	Pi-fsn
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
na	na	Sl
promicanju	promicanje	Ncnsl
društvenih	društven	Agpfpgy
vrijednosti	vrijednost	Ncfpg
,	,	Z
te	te	Cc
javno-društvenog	javno-društven	Agpmsgy
interesa	interes	Ncmsg
multietnične	multietničan	Agpfsgy
zajednice	zajednica	Ncfsg
.	.	Z

Dio	dio	Ncmsn
programa	program	Ncmsg
bit	biti	Van
će	htjeti	Var3s
posvećen	posvetiti	Appmsnn
i	i	Cc
nacionalnim	nacionalan	Agpfply
manjinama	manjina	Ncfpl
,	,	Z
a	a	Cc
iskustvo	iskustvo	Ncnsn
radijskih	radijski	Agpmpgy
djelatnika	djelatnik	Ncmpg
te	te	Cc
angažman	angažman	Ncmsan
stručnih	stručan	Agpmpgy
suradnika	suradnik	Ncmpg
,	,	Z
trebao	trebati	Vmp-sm
bi	biti	Vaa3s
doprinijeti	doprinijeti	Vmn
kvalitetnom	kvalitetan	Agpnsly
informiranju	informiranje	Ncnsl
cijele	cijel	Agpfsgy
zajednice	zajednica	Ncfsg
o	o	Sl
svim	sav	Agpmply
bitnim	bitan	Agpmply
aspketima	aspket	Ncmpl
života	život	Ncmsg
lokalne	lokalan	Agpfsgy
zajednice	zajednica	Ncfsg
i	i	Cc
različitim	različit	Agpfply
sferama	sfera	Ncfpl
društva	društvo	Ncnsg
.	.	Z

Slijedom	slijed	Ncmsi
svega	sav	Agpnsgy
iznesenoga	iznijeti	Appnsgy
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
dispozitivu	dispozitiv	Ncmsl
.	.	Z

UPUTA	uputa	Ncfsn
O	o	Sl
PRAVNOM	pravni	Agpmsly
LIJEKU	lijek	Ncmsl

Protiv	protiv	Sg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
pred	pred	Si
nadležnim	nadležan	Agpmsiy
upravnim	upravan	Agpmsiy
sudom	sud	Ncmsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
odluke	odluka	Ncfsg
.	.	Z

Tužba	tužba	Ncfsn
se	sebe	Px--sa
predaje	predavati	Vmr3s
ili	ili	Cc
šalje	slati	Vmr3s
neposredno	neposredno	Rgp
nadležnom	nadležan	Agpmsly
upravnom	upravan	Agpmsly
sudu	sud	Ncmsl
,	,	Z
a	a	Cc
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
i	i	Qo
na	na	Sa
zapisnik	zapisnik	Ncmsan
kod	kod	Sg
redovnog	redovan	Agpmsgy
suda	sud	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
obavljanje	obavljanje	Ncnsa
pravne	pravni	Agpfsgy
pomoći	pomoć	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
612	612	Mdc
-	-	Z
12/15	12/15	Mdc
-	-	Z
02/0012	02/0012	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
567	567	Mdc
-	-	Z
02/01	02/01	Mdc
-	-	Z
15	15	Mdc
-	-	Z
03	03	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
9.	9.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo

VIJEĆE	vijeće	Ncnsn
ZA	za	Sa
ELEKTRONIČKE	elektronički	Agpmpay
MEDIJE	medij	Ncmpa

Predsjednica	predsjednica	Ncfsn
Vijeća	vijeće	Ncnsg
za	za	Sa
elektroničke	elektronički	Agpmpay
medije	medij	Ncmpa
Mirjana	Mirjana	Npfsn
Rakić	Rakić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

