kulturni	kulturan	Agpmsayn
razvitak	razvitak	Ncmsan
kao	kao	Cs
i	i	Cc
posebni	poseban	Agpmpny
interesi	interes	Ncmpn
prema	prema	Sl
područjima	područje	Ncnpl
obrazovanja	obrazovanje	Ncnsg
,	,	Z
znanosti	znanost	Ncfsg
,	,	Z
gospodarstva	gospodarstvo	Ncnsg
,	,	Z
turizma	turizam	Ncmsg
itd.	itd.	Y

7.	7.	Mdo
promicanje	promicanje	Ncnsa
programa	program	Ncmsg
za	za	Sa
djecu	dijete	Ncnpa
i	i	Cc
mlade	mlad	Agpmpay

8.	8.	Mdo
sudjelovanje	sudjelovanje	Ncnsa
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
u	u	Sl
programu	program	Ncmsl
te	te	Cc
prilagođenost	prilagođenost	Ncfsn
programa	program	Ncmsg
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi

9.	9.	Mdo
podrška	podrška	Ncfsn
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfpa
u	u	Sl
ostvarivanju	ostvarivanje	Ncnsl
programa	program	Ncmsg

10.	10.	Mdo
podrška	podrška	Ncfsn
međunarodnih	međunarodni	Agpfpgy
vladinih	vladin	Ncfpg
i	i	Cc
nevladinih	nevladin	Agpfpgy
organizacija	organizacija	Ncfpg
u	u	Sl
ostvarivanju	ostvarivanje	Ncnsl
programa	program	Ncmpg
te	te	Cc

11.	11.	Mdo
financijska	financijski	Agpfsny
potpora	potpora	Ncfsn
iz	iz	Sg
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
.	.	Z

Ministar	ministar	Ncmsn
kulture	kultura	Ncfsg
može	moći	Vmr3s
za	za	Sa
pojedina	pojedini	Agpnpay
područja	područje	Ncnpa
utvrditi	utvrditi	Vmn
posebne	poseban	Agpmpay
kriterije	kriterij	Ncmpa
za	za	Sa
vrednovanje	vrednovanje	Ncnsa
programa	program	Ncmsg
,	,	Z
poštujući	poštovati	Rr
specifičnosti	specifičnost	Ncfsg
tih	taj	Pd-npg
područja	područje	Ncnpg
,	,	Z
a	a	Cc
nakon	nakon	Sg
provedenog	provesti	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
sa	sa	Si
zainteresiranom	zainteresiran	Agpfsiy
javnošću	javnost	Ncfsi
,	,	Z
te	te	Cc
ih	oni	Pp3-pa
objaviti	objaviti	Vmn
na	na	Sl
mrežnim	mrežni	Agpfply
