koji	koji	Pi-msn
se	sebe	Px--sa
izračunava	izračunavati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članaka	članak	Ncmpg
130.	130.	Mdo
i	i	Cc
157.	157.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
sustavno	sustavno	Rgp
obavještava	obavještavati	Vmr3s
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
o	o	Sl
propisima	propis	Ncmpl
kojih	koji	Pi-mpg
se	sebe	Px--sa
moraju	morati	Vmr3p
pridržavati	pridržavati	Vmn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
tim	taj	Pd-fpl
državama	država	Ncfpl
koja	koji	Pi-fsn
posluju	poslovati	Vmr3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
čije	čiji	Agpnsny
pridržavanje	pridržavanje	Ncnsn
je	biti	Var3s
predmet	predmet	Ncmsn
nadzora	nadzor	Ncmsg
Agencije	agencija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
mjeseca	mjesec	Ncmsg
nakon	nakon	Sg
primitka	primitak	Ncmsg
podataka	podatak	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kad	kad	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
namjerava	namjeravati	Vmr3s
preko	preko	Sg
svoje	svoj	Px-fsg
podružnice	podružnica	Ncfsg
pružati	pružati	Vmn
usluge	usluga	Ncfpa
osiguranja	osiguranje	Ncnsg
propisane	propisati	Vmr3s
Zakonom	zakon	Ncmsi
o	o	Sl
obveznim	obvezan	Agpnply
osiguranjima	osiguranje	Ncnpl
u	u	Sl
prometu	promet	Ncmsl
,	,	Z
dužno	dužan	Agpnsny
je	biti	Var3s
,	,	Z
prije	prije	Sg
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
tih	taj	Pd-fpg
usluga	usluga	Ncfpg
osiguranja	osiguranje	Ncnsg
,	,	Z
Agenciji	agencija	Ncfsl
dostaviti	dostaviti	Vmn
izjavu	izjava	Ncfsa
da	da	Cs
je	biti	Var3s
postalo	postati	Vmp-sn
član	član	Ncmsn
nacionalnog	nacionalan	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
nacionalnog	nacionalan	Agpmsgy
garancijskog	garancijski	Agpmsgy
fonda	fond	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
O	o	Sl
izmjenama	izmjena	Ncfpl
sadržaja	sadržaj	Ncmpg
podataka	podatak	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
pisano	pisan	Agpnsny
obavijestiti	obavijestiti	Vmn
Agenciju	agencija	Ncfsa
i	i	Cc
nadležno	nadležan	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
najkasnije	kasno	Rgs
jedan	jedan	Mlcmsan
mjesec	mjesec	Ncmsan
prije	prije	Sg
namjeravane	namjeravati	Agpfsgy
provedbe	provedba	Ncfsg
izmjena	izmjena	Ncfpg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
proširenje	proširenje	Ncnsn
poslovanja	poslovanje	Ncnsg
s	sa	Si
tim	taj	Pd-nsi
povezano	povezan	Agpnsny
,	,	Z
ono	onaj	Pd-nsn
je	biti	Var3s
dopušteno	dopustiti	Appnsny
tek	tek	Rgp
nakon	nakon	Sg
proteka	protek	Ncmsg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
od	od	Sg
kad	kad	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
o	o	Sl
