invalidskim	invalidski	Agpnply
kolicima	kolica	Ncnpl
,	,	Z
stolni	stolni	Agpmsayn
tenis	tenis	Ncmsan
za	za	Sa
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
,	,	Z
goalball	goalb	Ncmpi
,	,	Z
sjedeća	sjedeći	Agpfsny
odbojka	odbojka	Ncfsn
i	i	Cc
slično	sličan	Agpnsny
.	.	Z

•	•	Sg
druge	drugi	Mlofsg
sportsko-rekreacijske	sportsko-rekreacijski	Agpfpay
aktivnosti	aktivnost	Ncfpa
u	u	Sa
svrhu	svrha	Ncfsa
pružanja	pružanje	Ncnsg
podrške	podrška	Ncfsg
i	i	Cc
usluga	usluga	Ncfpg
braniteljsko-stradalničkoj	braniteljsko-stradalničkoj	Sl
populaciji	populacija	Ncfsl
i	i	Cc
drugim	drugi	Mlofpl
osobama	osoba	Ncfpl
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Popratne	popratni	Agpfpny
usluge	usluga	Ncfpn
obuhvaćaju	obuhvaćati	Vmr3p
brigu	briga	Ncfsa
o	o	Sl
higijeni	higijena	Ncfsl
i	i	Cc
prehrani	prehrana	Ncfsl
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Briga	briga	Ncfsn
o	o	Sl
higijeni	higijena	Ncfsl
obuhvaća	obuhvaćati	Vmr3s
obvezu	obveza	Ncfsa
Ustanove	ustanova	Ncfsg
da	da	Cs
korisnicima	korisnik	Ncmpd
osigura	osigurati	Vmr3s
čišćenje	čišćenje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
prostora	prostor	Ncmsg
i	i	Cc
opreme	oprema	Ncfsg
,	,	Z
pranje	pranje	Ncnsa
,	,	Z
sušenje	sušenje	Ncnsa
i	i	Cc
glačanje	glačanje	Ncnsa
posteljnog	posteljni	Agpnsgy
rublja	rublje	Ncnsg
,	,	Z
osiguranje	osiguranje	Ncnsn
higijenskog	higijenski	Agpmsgy
pribora	pribor	Ncmsg
te	te	Cc
drugo	drugi	Mlonsn
,	,	Z
sukladno	sukladno	Rgp
minimalnim	minimalan	Agpmply
