organizacijskim	organizacijski	Agpmsiy
priručnikom	priručnik	Ncmsi
,	,	Z
i	i	Cc

c	C	Npmsn
)	)	Z
primjenjivim	primjenjiv	Agpmply
popisima	popis	Ncmpl
.	.	Z

Organizacijski	organizacijski	Agpmsny
priručnik	priručnik	Ncmsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Organizacijski	organizacijski	Agpmsny
priručnik	priručnik	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

a	a	Cc
)	)	Z
izjavu	izjava	Ncfsa
odgovornog	odgovoran	Agpmsgy
rukovoditelja	rukovoditelj	Ncmsg
,	,	Z

b	b	I
)	)	Z
procedure	procedura	Ncfpa
izmjena	izmjena	Ncfpg
i	i	Cc
dopuna	dopuna	Ncfsn
organizacijskog	organizacijski	Agpmsgy
priručnika	priručnik	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
imena	ime	Ncnsg
,	,	Z
prezimena	prezime	Ncnsg
i	i	Cc
titule	titula	Ncfsg
rukovodećih	rukovodeći	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z

d	d	Npmsn
)	)	Z
organizacijsku	organizacijski	Agpfsay
strukturu	struktura	Ncfsa
s	sa	Si
prikazom	prikaz	Ncmsi
linija	linija	Ncfpg
odgovornosti	odgovornost	Ncfsg
,	,	Z

e	e	I
)	)	Z
opis	opis	Ncmsan
infrastrukture	infrastruktura	Ncfsg
,	,	Z

f	f	Qr
)	)	Z
popis	popis	Ncmsan
opreme	oprema	Ncfsg
i	i	Cc
učila	učilo	Ncnsg
,	,	Z
i	i	Cc

g	g	I
)	)	Z
procedure	procedura	Ncfpa
organizacije	organizacija	Ncfsg
koje	koji	Pi-fpn
definiraju	definirati	Vmr3p
način	način	Ncmsan
i	i	Cc
uvjete	uvjet	Ncmpa
provođenja	provođenje	Ncnsg
osposobljavanja	osposobljavanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odgovorni	odgovoran	Agpmsny
rukovoditelj	rukovoditelj	Ncmsn
mora	morati	Vmr3s
potpisom	potpis	Ncmsi
ovjeriti	ovjeriti	Vmn
izjavu	izjava	Ncfsa
kojom	koji	Pi-fsi
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
:	:	Z

a	a	Cc
)	)	Z
organizacijski	organizacijski	Agpmsny
priručnik	priručnik	Ncmsn
usklađen	uskladiti	Appmsnn
s	sa	Si
primjenjivim	primjenjiv	Agpmpiy
propisima	propis	Ncmpi
,	,	Z
i	i	Cc

b	b	Npmsn
