Dodatku	dodatak	Ncmsl
4.	4.	Mdo
koji	koji	Pi-msn
je	biti	Var3s
prilog	prilog	Ncmsn
i	i	Cc
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Mjere	mjera	Ncfpn
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfpn
mogu	moći	Vmr3p
provoditi	provoditi	Vmn
mjere	mjera	Ncfpa
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
iste	isti	Agpfpny
odobrene	odobriti	Appfpny
od	od	Sg
strane	strana	Ncfsg
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilima	pravilo	Ncmpi
za	za	Sa
državnu	državni	Agpfsay
potporu	potpora	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
66.	66.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpn
za	za	Sa
mjere	mjera	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
osiguravaju	osiguravati	Vmr3p
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
u	u	Sl
svom	svoj	Px-msl
proračunu	proračun	Ncmsl
.	.	Z

Korisnici	korisnik	Ncmpn

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
mjera	mjera	Ncfpg
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
određuju	određivati	Vmr3p
se	sebe	Px--sa
Programom	program	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnike	korisnik	Ncmpa
mjera	mjera	Ncfpg
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
određuju	određivati	Vmr3p
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
odobrenje	odobrenje	Ncnsa
mjera	mjera	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilima	pravilo	Ncmpi
za	za	Sa
državnu	državni	Agpfsay
potporu	potpora	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
66.	66.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
mjera	mjera	Ncfpg
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
čuvati	čuvati	Vmn
isprave	isprava	Ncfpa
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
je	biti	Var3s
ostvario	ostvariti	Vmp-sm
potporu	potpora	Ncfsa
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
završnog	završan	Agpmsgy
dana	dan	Ncmsg
plaćanja	plaćanje	Ncnsg
korisniku	korisnik	Ncmsd
.	.	Z

Odluke	odluka	Ncfpn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
kao	kao	Cs
provedbeno	provedbeni	Agpnsay
tijelo	tijelo	Ncnsa
u	u	Sl
provedbi	provedba	Ncfsl
mjera	mjera	Ncfpg
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
donosi	donositi	Vmr3s
odluke	odluka	Ncfsg
i	i	Cc
sklapa	sklapati	Vmr3s
ugovore	ugovor	Ncmpa
