Priloga	prilog	Ncmsg
2	2	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Bilješke	bilješka	Ncfpn
uz	uz	Sa
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
koje	koji	Pi-mpa
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
polugodišnjih	polugodišnji	Agpmpgy
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
trebaju	trebati	Vmr3p
obuhvaćati	obuhvaćati	Vmn
samo	samo	Rgp
značajne	značajan	Agpmpay
poslovne	poslovan	Agpmpay
događaje	događaj	Ncmpa
i	i	Cc
promjene	promjena	Ncfpa
računovodstvenih	računovodstveni	Agpfpgy
politika	politika	Ncfpg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
zadnje	zadnji	Agpmpay
objavljene	objavljen	Agpmpay
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
UAIF	UAIF	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
Bilješkama	bilješka	Ncfpl
uz	uz	Sa
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
alineje	alineja	Ncfsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
objaviti	objaviti	Vmn
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
57.	57.	Mdo
stavka	stavak	Ncmsg
9.	9.	Mdo
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
UAIF	UAIF	Npmsn
prilikom	prilikom	Sg
sastavljanja	sastavljanje	Ncnsg
izvještaja	izvještaj	Ncmsg
o	o	Sl
novčanim	novčan	Agpmply
tokovima	tok	Ncmpl
može	moći	Vmr3s
koristiti	koristiti	Vmn
direktnu	direktan	Agpfsay
ili	ili	Cc
indirektnu	indirektan	Agpfsay
metodu	metoda	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Pored	pored	Sg
podataka	podatak	Ncmpg
iz	iz	Sg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
izvještaja	izvještaj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
Agencija	agencija	Ncfsn
može	moći	Vmr3s
od	od	Sg
UAIF-a	UAIF	Npmsg
zatražiti	zatražiti	Vmn
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
,	,	Z
informacije	informacija	Ncfpa
i	i	Cc
objašnjenja	objašnjenje	Ncnsg
pojedinih	pojedini	Agpfpgy
stavki	stavka	Ncfpg
u	u	Sl
izvještajima	izvještaj	Ncmpl
.	.	Z

ROKOVI	rok	Ncmpn
I	i	Cc
NAČIN	način	Ncmsn
DOSTAVE	dostava	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
UAIF	UAIF	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
polugodišnje	polugodišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dostaviti	dostaviti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
mjeseca	mjesec	Ncmsg
po	po	Sl
proteku	protek	Ncmsl
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
UAIF	UAIF	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
revidirane	revidirati	Appfpny
godišnje	godišnje	Rgp
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dostaviti	dostaviti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
po	po	Sl
proteku	protek	Ncmsl
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
UAIF	UAIF	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
revidirane	revidirati	Appfpny
konsolidirane	konsolidirati	Appfpny
godišnje	godišnje	Rgp
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
