mlađih	mlad	Agcmpgy
od	od	Sg
6	6	Mdc
tjedana	tjedan	Ncmpg
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
potrebna	potreban	Agpfsny
provedba	provedba	Ncfsn
tuberkulinizacije	tuberkulinizacija	Ncfsg
prije	prije	Sg
uvođenja	uvođenje	Ncnsg
u	u	Sa
stado	stado	Ncnsa
prema	prema	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
posjednik	posjednik	Ncmsn
stada	stado	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
takve	takav	Pd-fpa
životinje	životinja	Ncfpa
držati	držati	Vmn
odvojeno	odvojiti	Appnsny
od	od	Sg
ostalih	ostali	Agpfpgy
životinja	životinja	Ncfpg
u	u	Sl
stadu	stado	Ncnsl
sve	sve	Qo
do	do	Sg
provedbe	provedba	Ncfsg
tuberkulinskog	tuberkulinski	Agpmsgy
testa	test	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ove	ovaj	Pd-fsg
podtočke	podtočka	Ncfsg
,	,	Z
te	te	Cc
osigurati	osigurati	Vmn
da	da	Cs
životinje	životinja	Ncfpn
budu	biti	Var3p
podvrgnute	podvrgnuti	Appfpny
propisanom	propisati	Ncfsi
testu	test	Ncmsl
nakon	nakon	Cs
što	što	Cs
napune	napuniti	Vmr3p
6	6	Mdc
tjedana	tjedan	Ncmpg
,	,	Z
ili	ili	Cc
najkasnije	kasno	Rgs
do	do	Sg
60	60	Mdc
dana	dan	Ncmpg
po	po	Sl
uvođenju	uvođenje	Ncnsl
takvih	takav	Pd-fpg
životinja	životinja	Ncfpg
u	u	Sa
stado	stado	Ncnsa
.	.	Z

Ova	ovaj	Pd-fsn
odredba	odredba	Ncfsn
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
i	i	Qo
na	na	Sa
sva	sav	Agpnpay
goveda	govedo	Ncnpa
namijenjena	namijenjen	Agpnpay
daljnjem	daljnji	Agpmsly
tovu	tov	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Prilikom	prilikom	Sg
formiranja	formiranje	Ncnsg
novog	nov	Agpnsgy
stada	stado	Ncnsg
goveda	govedo	Ncnsg
,	,	Z
stado	stado	Ncnsn
može	moći	Vmr3s
biti	biti	Van
sastavljeno	sastaviti	Appnsny
isključivo	isključivo	Rgp
od	od	Sg
životinja	životinja	Ncfpg
koje	koji	Pi-fpn
potječu	potjecati	Vmr3p
iz	iz	Sg
stada	stado	Ncnsg
službeno	službeno	Rgp
slobodnih	slobodan	Agpmpgy
od	od	Sg
tuberkuloze	tuberkuloza	Ncfsg
goveda	govedo	Ncnsg
.	.	Z

Nakon	nakon	Sg
provjere	provjera	Ncfsg
podataka	podatak	Ncmpg
o	o	Sl
zdravstvenom	zdravstven	Agpmsly
statusu	status	Ncmsl
uvedenih	uveden	Agpnpgy
goveda	govedo	Ncnpg
i	i	Cc
upisanih	upisati	Agpfpgy
migracija	migracija	Ncfpg
,	,	Z
takvom	takav	Pd-nsl
stadu	stado	Ncnsd
potrebno	potreban	Agpnsny
je	biti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
dodijeliti	dodijeliti	Vmn
status	status	Ncmsan
službeno	službeno	Rgp
slobodnog	slobodan	Agpmsgy
od	od	Sg
tuberkuloze	tuberkuloza	Ncfsg
goveda	govedo	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sa
stado	stado	Ncnsa
službeno	službeno	Rgp
slobodno	slobodan	Agpnsny
od	od	Sg
tuberkuloze	tuberkuloza	Ncfsg
goveda	govedo	Ncnsg
mogu	moći	Vmr3p
se	sebe	Px--sa
uvoditi	uvoditi	Vmn
isključivo	isključivo	Rgp
goveda	govedo	Ncnsg
iz	iz	Sg
stada	stado	Ncnsg
jednakog	jednak	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
statusa	status	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Goveda	govedo	Ncnsg
iz	iz	Sg
stada	stado	Ncnsg
nepoznatog	nepoznat	Agpmsgy
statusa	status	Ncmsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
tuberkulozu	tuberkuloza	Ncfsa
goveda	govedo	Ncnsg
mogu	moći	Vmr3p
se	sebe	Px--sa
premještati	premještati	Vmn
isključivo	isključivo	Rgp
izravno	izravno	Rgp
na	na	Sa
klanje	klanje	Ncnsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Mjere	mjera	Ncfpn
reguliranja	reguliranje	Ncnsg
premještanja	premještanje	Ncnsg
goveda	govedo	Ncmpg
namijenjenih	namijenjen	Agpmpgy
tovu	tov	Ncmpg
ili	ili	Cc
upućivanju	upućivanje	Ncnsl
na	na	Sa
klanje	klanje	Ncnsa
kao	kao	Cs
i	i	Cc
mjere	mjera	Ncfpa
u	u	Sa
svrhu	svrha	Ncfsa
ostvarivanja	ostvarivanje	Ncnsg
uvjeta	uvjet	Ncmpg
za	za	Sa
dodjelu	dodjela	Ncfsa
i	i	Cc
održavanje	održavanje	Ncnsa
statusa	status	Ncmsg
stada	stado	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
države	država	Ncfsg
službeno	službeno	Rgp
slobodne	slobodan	Agpfsgy
od	od	Sg
tuberkuloze	tuberkuloza	Ncfsg
goveda	govedo	Ncnsg
propisane	propisati	Appfpny
su	biti	Var3p
Programom	program	Ncmsi
iskorjenjivanja	iskorjenjivanje	Ncnsg
i	i	Cc
nadziranja	nadziranje	Ncnsg
tuberkuloze	tuberkuloza	Ncfsg
goveda	govedo	Ncnsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
(	(	Z
klasa	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/1078	01/1078	Mdc
)	)	Z
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
