JESENJE	jesenji	Agpnsny
HR4510010051725004747	HR4510010051725004747	Mdc
MALA	MALA	Npfsn
SUBOTICA	SUBOTICA	Npfsn
HR8510010051745004748	HR8510010051745004748	Npfsn
ŠTEFANJE	ŠTEFANJE	Npfsn
HR2210010051746704740	HR2210010051746704740	Npfsn
UDBINA	UDBINA	Npfsn
HR1710010051746904747	HR1710010051746904747	Npfsn
UNEŠIĆ	UNEŠIĆ	Npfsn

IV	IV	Mrc
.	.	Z

U	u	Sl
glavi	glava	Ncfsl
VIII	viii	Mrc
.	.	Z

ZAJEDNIČKE	zajednički	Agpfpay
ODREDBE	odredba	Ncfpa
u	u	Sl
točki	točka	Ncfsl
9.	9.	Mdo
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
povrat	povrat	Ncmsan
i	i	Cc
preknjiženje	preknjiženje	Ncnsa
javnih	javan	Agpmpgy
prihoda	prihod	Ncmpg
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
9.3.	9.3.	Mdo
pod	pod	Si
točkom	točka	Ncfsi
1.	1.	Mdo
Prihodi	prihod	Ncmpn
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
iza	iza	Sg
brojčane	brojčani	Agpfsgy
oznake	oznaka	Ncfsg
1236	1236	Mdc
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
brojčana	brojčani	Agpfsny
oznaka	oznaka	Ncfsn
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
1244.	1244.	Mdo

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
9.4.	9.4.	Mds
iza	iza	Sg
brojčane	brojčani	Agpfsgy
oznake	oznaka	Ncfsg
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
4731	4731	Mdc
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
brojčana	brojčani	Agpfsny
oznaka	oznaka	Ncfsn
5258.	5258.	Mdo

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
podtočka	podtočki	Agpfsny
9.6.	9.6.	Ncfsn
koja	koji	Pi-fsn
sada	sada	Rgp
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
povrat	povrat	Ncmsan
pogrešno	pogrešno	Rgp
ili	ili	Cc
više	mnogo	Rgc
uplaćenih	uplatiti	Agpmpgy
prihoda	prihod	Ncmpg
te	te	Cc
preknjiženje	preknjiženja	Ncfsg
prihoda	prihod	Ncmpg
za	za	Sa
brojčane	brojčani	Agpfpay
oznake	oznaka	Ncfpa
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
6017	6017	Mdc
i	i	Cc
7013	7013	Mdc
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
Financijskom	financijski	Agpmsly
inspektoratu	inspektorat	Ncmsl
,	,	Z
Ulica	ulica	Ncfsn
grada	grad	Ncmsg
Vukovara	Vukovar	Npmsg
72	72	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
zahtjevi	zahtjev	Ncmpn
za	za	Sa
brojčanu	brojčani	Agpfsay
oznaku	oznaka	Ncfsa
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
7013	7013	Mdc
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
Državnom	državni	Agpmsly
uredu	ured	Ncmsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
,	,	Z
Dežmanova	dežmanov	Aspfsny
ulica	ulica	Ncfsn
10	10	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
za	za	Sa
uplate	uplata	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
nadležnosti	nadležnost	Ncfsl
ureda	ured	Ncmsg
.	.	Z
«	«	Z

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
iza	iza	Sg
podtočke	podtočke	Pi-fsg
9.8.	9.8.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
nove	nov	Agpfpny
podtočke	podtočka	Ncfpn
9.9.	9.9.	Mdo
i	i	Cc
9.10.	9.10a	Ncfpa
koje	koji	Pi-fpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
9.9.	9.9.	Mds

Zahtjevi	zahtjev	Ncmpn
za	za	Sa
povrat	povrat	Ncmsan
pogrešno	pogrešno	Rgp
ili	ili	Cc
više	mnogo	Rgc
uplaćenih	uplatiti	Agpmpgy
prihoda	prihod	Ncmpg
te	te	Cc
preknjiženje	preknjiženja	Ncfsg
prihoda	prihod	Ncmpg
za	za	Sa
brojčanu	brojčani	Agpfsay
oznaku	oznaka	Ncfsa
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
5118	5118	Mdc
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
Zavodu	Zavod	Npmsd
za	za	Sa
vještačenje	vještačenje	Ncnsa
,	,	Z
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
i	i	Cc
zapošljavanje	zapošljavanje	Ncnsa
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
,	,	Z
Ulica	ulica	Ncfsn
Andrije	Andrija	Npmsg
Hebranga	Hebrai	Npmsg
4	4	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
.	.	Z
«	«	Z

9.10.	9.10.	Mdo

Zahtjevi	zahtjev	Ncmpn
za	za	Sa
povrat	povrat	Ncmsan
pogrešno	pogrešno	Rgp
ili	ili	Cc
više	mnogo	Rgc
uplaćenih	uplatiti	Agpmpgy
prihoda	prihod	Ncmpg
te	te	Cc
preknjiženje	preknjiženja	Ncfsg
prihoda	prihod	Ncmpg
za	za	Sa
brojčanu	brojčani	Agpfsay
oznaku	oznaka	Ncfsa
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
5126	5126	Mdc
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
Ministarstvu	ministarstvo	Ncnsd
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
Sektoru	sektor	Ncmsl
za	za	Sa
financijsko-planske	financijsko-planski	Agpmpay
i	i	Cc
računovodstvene	računovodstveni	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Upravi	uprava	Ncfsl
za	za	Sa
pravne	pravni	Agpfpay
i	i	Cc
financijske	financijski	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Ulica	ulica	Ncfsn
grada	grad	Ncmsg
Vukovara	Vukovar	Npmsg
78	78	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
.	.	Z
«	«	Z

Dosadašnje	dosadašnji	Agpfpny
podtočke	podtočka	Ncfpn
9.9.	9.9.	Mdo
do	do	Sg
9.16.	9.16.	Mdo
postaju	postati	Vmr3p
podtočke	podtočke	Agpmsann
9.11.	9.11.	Ncmsan
do	do	Sg
9.18.	9.18.	Mdo

V.	V.	Y

Mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
Prilog	prilog	Ncmsn
1	1	Mdc
–	–	Z
POPIS	popis	Ncmsn
RAČUNA	račun	Ncmsg
PRORAČUNA	proračun	Ncmsg
i	i	Cc
Prilog	prilog	Ncmsn
3	3	Mdc
–	–	Z
POPIS	popis	Ncmsn
VRSTA	vrsta	Ncfpg
PRIHODA	prihod	Ncmpg
I	i	Cc
DOPUŠTENIH	dopustiti	Appmpgy
MODELA	model	Ncmpg
ZA	za	Sa
VLASTITE	vlastit	Agpmpay
PRIHODE	prihod	Ncmpa
(	(	Z
državnog	državni	Agpmsgy
,	,	Z
županijskih	županijski	Agpfpgy
i	i	Cc
gradskih	gradski	Agpmpgy
/	/	Z
općinskih	općinski	Agpmpgy
proračuna	proračun	Ncmpg
i	i	Cc
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
)	)	Z
.	.	Z

Ova	ovaj	Pd-fsn
Naredba	naredba	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
danom	dan	Agpmsly
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
400	400	Mdc
-	-	Z
06/14	06/14	Mdc
-	-	Z
01/341	01/341	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
513	513	Mdc
-	-	Z
05	05	Mdc
-	-	Z
02	02	Mdc
-	-	Z
15	15	Mdc
-	-	Z
5	5	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
22.	22.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
financija	financije	Ncfpg
mr.	mr.	Y
sc.	sc.	Y
Boris	Boris	Npmsn
Lalovac	Lalovac	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1.	1.	Mdo

POPIS	popis	Ncmsn
RAČUNA	račun	Ncmsg
PRORAČUNA	proračun	Ncmsg

Naziv	naziv	Ncmsn
županije	županija	Ncfsg
/	/	Z
grada	grad	Ncmsg
/	/	Z
općine	općina	Ncfsg
IBAN	IBAN	Npmsn
Oznaka	oznaka	Ncfsn
grada	grad	Ncmsg
/	/	Z
općine	općina	Ncfsg
Mjerodavna	mjerodavan	Agpfsny
ispostava	ispostava	Ncfsn
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
II	ii	Mrc
.	.	Z

KRAPINSKO-ZAGORSKA	krapinsko-zagorski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Krapini	Krapina	Npfsl
)	)	Z
TUHELJ	TUHEL	Npmsl
HR8623400091846600000	HR8623400091846600000	X
466	466	Mdc
KLANJEC	KLANJEC	Y
III	III	Mrc
.	.	Z

SISAČKO-MOSLAVAČKA	sisačko-moslavački	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Sisku	Sisk	Npmsl
)	)	Z
PETRINJA	PETRINJA	Npfsn
HR8223900011832800009	HR8223900011832800009	X
328	328	Mdc
PETRINJA	PETRINJ	Npmsg
IV	IV	Mrc
.	.	Z

KARLOVAČKA	karlovački	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Karlovcu	Karlovc	Npmsl
)	)	Z
KARLOVAC	KARLOVAC	Npmsn
HR7824000081817900000	HR7824000081817900000	Mdc
179	179	Mdc
KARLOVAC	KARLOVAC	Npmsan
KRNJAK	KRNJAK	Npmsan
HR2624020061821600002	HR2624020061821600002	X
216	216	Mdc
KARLOVAC	KARLOVAC	Npmsn
V.	V.	Mro
VARAŽDINSKA	varaždinski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Varaždinu	Varaždin	Npmsl
)	)	Z
