magistra	magistra	Ncfsn
prava	prav	Agpfsny
UP	up	Ncmsn
/	/	Z
I-133-04	I-133-04	X
/	/	Z
11	11	Mdc
-	-	Z
01/30	01/30	Mdc
od	od	Sg
21.	21.	Mdo
12.	12.	Mdo
2011.	2011.	Mdo

Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
Varaždin	Varaždin	Npmsn
,	,	Z
Zagrebačka	zagrebački	Agpfsny
91	91	Mdc
mob	mob	Ncmsn
.	.	Z
099/3124	099/3124	Mdc
-	-	Z
155	155	Mdc
185.	185.	Mdo

LIDIJA	LIDIJA	Npfsn
BALOG	BALOG	Npmsn
dipl.	dipl.	Y
ekonomist	ekonomist	Ncmsn
UP	up	Ncmsn
/	/	Z
I-133-04	I-133-04	X
/	/	Z
11	11	Mdc
-	-	Z
01/27	01/27	Mdc
od	od	Sg
9.	9.	Mdo
2.	2.	Mdo
2012.	2012.	Mdo

Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
Bilje	bilje	Ncnsg
,	,	Z
Vinogradska	vinogradski	Agpfsny
17	17	Mdc
tel.	tel.	Y
031/751	031/751	Mdc
-	-	Z
450	450	Mdc
mob	mob	Ncmsn
.	.	Z
099/3114	099/3114	Mdc
-	-	Z
754	754	Mdc
186.	186.	Mdo

SRĐANA	SRĐANA	Npfsn
MORPURGO	MORPURGO	Npmsn
dipl.	dipl.	Y
pravnik	pravnik	Ncmsn
UP	up	Ncmsn
/	/	Z
I-133-04	I-133-04	X
/	/	Z
00	00	Mdc
-	-	Z
01/375	01/375	Mdc
od	od	Sg
30.	30.	Mdo
12.	12.	Mdo
2002.	2002.	Mdo

Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
Split	Split	Npmsn
,	,	Z
Trg	trg	Ncmsn
Mihovila	Mihovil	Npmsg
Pavlinovića	Pavlinović	Npmsg
2	2	Mdc
tel.	tel.	Y
021/488	021/488	Mdc
-	-	Z
515	515	Mdc
mob	mob	Ncmsn
.	.	Z
098/1959	098/1959	Mdc
-	-	Z
740	740	Mdc
187.	187.	Mdo

ALMA	ALMA	Npfsn
KLEPAC	KLEPAC	Npmsn
dipl.	dipl.	Y
pravnik	pravnik	Ncmsn
UP	up	Ncmsn
/	/	Z
I-133-04	I-133-04	X
/	/	Z
11	11	Mdc
-	-	Z
01/36	01/36	Mdc
od	od	Sg
9.	9.	Mdo
2.	2.	Mdo
2012.	2012.	Mdo

Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
Zagreb	Zagreb	Npmsn
,	,	Z
D.	D.	Y
Gervaisa	Gervais	Npmsg
4	4	Mdc
mob	mob	Ncmsn
.	.	Z
091/4222	091/4222	Mdc
-	-	Z
547	547	Mdc
188.	188.	Mdo

KREŠIMIR	KREŠIMIR	Npmsn
PEROŠ	PEROŠ	Npmsn
dipl.	dipl.	Y
inženjer	inženjer	Ncmsn
prehrambene	prehramben	Agpfsgy
tehnologije	tehnologija	Ncfsg
UP	up	Ncmsn
/	/	Z
I-133-04	I-133-04	X
/	/	Z
12	12	Mdc
-	-	Z
01/7	01/7	Mdc
od	od	Sg
26.	26.	Mdo
3.	3.	Mdo
2012.	2012.	Mdo

Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
Zadar	Zadar	Npmsn
,	,	Z
Ivana	Ivana	Npfsn
Gundulića	Gundulića	Npfsn
4	4	Mdc
d	d	Y
tel.	tel.	Y
098/339	098/339	Mdc
-	-	Z
022	022	Mdc
189.	189.	Mdo

MLADEN	MLADEN	Npmsn
