pojedinosti	pojedinost	Ncfpa
,	,	Z
posebno	posebno	Rgp
o	o	Sl
nesukladnostima	nesukladnost	Ncfpl
i	i	Cc
o	o	Sl
svim	sav	Agpnply
poduzetim	poduzet	Agpfply
popravnim	popravni	Agpfply
radnjama	radnja	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Distributer	distributer	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
na	na	Sa
opravdan	opravdati	Agpmsayn
zahtjev	zahtjev	Ncmsan
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
,	,	Z
osigurati	osigurati	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumente	dokument	Ncmpa
,	,	Z
u	u	Sl
papirnatom	papirnat	Agpmsly
ili	ili	Cc
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
nužne	nužan	Agpfpny
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
mjerila	mjerilo	Ncnsg
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

Distributer	distributer	Ncmsn
mora	morati	Vmr3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
i	i	Cc
drugih	drugi	Mlofpg
nadležnih	nadležan	Agpnpgy
nacionalnih	nacionalan	Agpnpgy
tijela	tijelo	Ncnpg
surađivati	surađivati	Vmn
na	na	Sl
svakoj	svaki	Pi-fsl
poduzetoj	poduzet	Agpfsly
radnji	radnja	Ncfsl
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
uklonili	ukloniti	Vmp-pm
rizici	rizik	Ncmpn
koje	koji	Pi-nsn
predstavlja	predstavljati	Vmr3s
mjerilo	mjerilo	Ncnsa
koje	koji	Pi-nsa
je	biti	Var3s
stavio	staviti	Vmp-sm
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
.	.	Z

Slučajevi	slučaj	Ncmpn
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmsg
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
uvoznike	uvoznik	Ncmpa
i	i	Cc
distributere	distributer	Ncmpa

Članak	članak	Ncmsn
13.	13.	Mdo

Ako	ako	Cs
uvoznik	uvoznik	Ncmsn
ili	ili	Cc
distributer	distributer	Ncmsn
stavlja	stavljati	Vmr3s
mjerilo	mjerilo	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
pod	pod	Si
svojim	svoj	Agpnsiy
imenom	ime	Ncnsi
ili	ili	Cc
trgovačkom	trgovački	Agpfsiy
oznakom	oznaka	Ncfsi
ili	ili	Cc
ako	ako	Cs
preinačuje	preinačivati	Vmr3s
mjerilo	mjerilo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
već	već	Rgp
stavljeno	staviti	Appnsny
na	na	Sa
tržište	tržište	Ncnsa
na	na	Sa
način	način	Ncmsan
da	da	Cs
to	taj	Pd-nsn
može	moći	Vmr3s
utjecati	utjecati	Vmn
na	na	Sa
njegovu	njegov	Ps3fsa
sukladnost	sukladnost	Ncfsa
s	sa	Si
propisanim	propisati	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
proizvođačem	proizvođač	Ncmsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Identifikacija	identifikacija	Ncfsn
