odgovoriti	odgovoriti	Vmn
da	da	Cs
li	li	Qq
je	biti	Var3s
zdravstveno	zdravstven	Agpnsny
stanje	stanje	Ncnsn
vozača	vozač	Ncmpg
ili	ili	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozača	vozač	Ncmsay
ili	ili	Cc
terapija	terapija	Ncfpg
koju	koji	Pi-fsa
uzima	uzimati	Vmr3s
zbog	zbog	Sg
liječenja	liječenje	Ncnsg
bolesti	bolest	Ncfsg
iz	iz	Sg
kruga	krug	Ncmsg
bolesti	bolest	Ncfsg
ili	ili	Cc
stanja	stanje	Ncnsg
iz	iz	Sg
područja	područje	Ncnsg
otorinolaringologije	otorinolaringologija	Ncfsg
zapreka	zapreka	Ncfpg
za	za	Sa
sigurno	siguran	Agpnsay
upravljanje	upravljanje	Ncnsa
vozilom	vozilo	Ncnsi
.	.	Z

h	h	Npmsn
)	)	Z
bolesti	bolest	Ncfpn
i	i	Cc
stanja	stanje	Ncnsg
srca	srce	Ncnsg
i	i	Cc
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg

1	1	Mdc
)	)	Z
prirođene	prirođen	Agpfpny
i	i	Cc
stečene	steći	Agpfpay
bolesti	bolest	Ncfpa
,	,	Z
stanja	stanje	Ncnsg
i	i	Cc
anomalije	anomalija	Ncfsg
srca	srce	Ncnsg
i	i	Cc
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
koje	koji	Pi-fpn
utječu	utjecati	Vmr3p
na	na	Sa
sigurno	siguran	Agpnsay
upravljanje	upravljanje	Ncnsa
vozilom	vozilo	Ncnsi
,	,	Z
osim	osim	Cs
medicinski	medicinski	Rgp
uspješno	uspješno	Rgp
korigiranih	korigirati	Agpmpgy
slučajeva	slučaj	Ncmpg
uz	uz	Sa
koje	koji	Pi-nsa
je	biti	Var3s
upravljanje	upravljanje	Ncnsn
vozilom	vozilo	Ncnsi
sigurno	siguran	Agpnsny
,	,	Z

2	2	Mdc
)	)	Z
koronarna	koronarni	Agpfsny
bolest	bolest	Ncfsn
s	sa	Si
učestalim	učestao	Agpmpiy
napadima	napad	Ncmpi
angine	angina	Ncfsg
pectoris	pectoris	Pp2-pa
,	,	Z
dok	dok	Cs
se	sebe	Px--sa
terapijom	terapija	Ncfsi
ili	ili	Cc
drugim	drugi	Mlompi
oblicima	oblik	Ncmpi
liječenja	liječenje	Ncnsg
ne	ne	Qz
postigne	postići	Vmr3s
stabilno	stabilan	Agpnsay
stanje	stanje	Ncnsa
pri	pri	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
upravljanje	upravljanje	Ncnsn
vozilom	vozilo	Ncnsi
sigurno	siguran	Agpnsny
,	,	Z

3	3	Mdc
)	)	Z
infarkt	infarkt	Ncmsan
miokarda	miokard	Ncmsg
,	,	Z
osim	osim	Cs
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
prošlo	proći	Vmp-sn
najmanje	malo	Rgs
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
infarkta	infarkt	Ncmsg
i	i	Cc
uspješno	uspješno	Rgp
