potrebnim	potreban	Agpmsiy
kapitalom	kapital	Ncmsi

Članak	članak	Ncmsn
459.	459.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
članaka	članak	Ncmpg
34.	34.	Mdo
,	,	Z
166.	166.	Mdo
i	i	Cc
246.	246.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
kada	kada	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo
usklađeno	uskladiti	Appnsny
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
vezanim	vezan	Agpmpiy
uz	uz	Sa
granicu	granica	Ncfsa
solventnosti	solventnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
98.	98.	Mdo
,	,	Z
odnosno	odnosno	Rgp
članka	članak	Ncmsg
99.	99.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
151/05.	151/05.	Mds
,	,	Z
87/08.	87/08.	Mds
,	,	Z
82/09.	82/09.	Mdo
,	,	Z
54/13.	54/13.	Mds
i	i	Cc
94/14.	94/14.	Mds
)	)	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
dan	dan	Ncmsan
prije	prije	Sg
stavljanja	stavljanje	Ncnsg
izvan	izvan	Sg
snage	snaga	Ncfsg
Zakona	zakon	Ncmsg
,	,	Z
ali	ali	Cc
nema	nemati	Vmr3s
dovoljna	dovoljan	Agpfsny
prihvatljiva	prihvatljiv	Agpfsny
osnovna	osnovan	Agpnpay
vlastita	vlastit	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
pokriće	pokriće	Ncnsa
minimalnog	minimalan	Agpmsgy
potrebnog	potreban	Agpmsgy
kapitala	kapital	Ncmsg
,	,	Z
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
uskladiti	uskladiti	Vmn
se	sebe	Px--sa
