trećem	trećem	Npmsn
i	i	Cc
četvrtom	četvrti	Mlomsl
godišnjem	godišnji	Agpnsly
razdoblju	razdoblje	Ncnsl
provedbe	provedba	Ncfsg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
dokaze	dokaz	Ncmpa
troškova	trošak	Ncmpg
iz	iz	Sg
prethodnog	prethodan	Agpnsgy
razdoblja	razdoblje	Ncnsg
(	(	Z
račune	račun	Ncmpa
,	,	Z
obračune	obračun	Ncmpa
i	i	Cc
dr.	dr.	Y
)	)	Z
s	sa	Si
dokazima	dokaz	Ncmpi
o	o	Sl
plaćanju	plaćanje	Ncnsl
priloženih	priložen	Agpmpgy
troškova	trošak	Ncmpg
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
za	za	Sa
peto	peti	Mlonsa
razdoblje	razdoblje	Ncnsa
provedbe	provedba	Ncfsg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
dokaze	dokaz	Ncmpa
troškova	trošak	Ncmpg
iz	iz	Sg
četvrtog	četvrti	Mlomsg
i	i	Cc
petog	peti	Agpnsgy
godišnjeg	godišnji	Agpnsgy
razdoblja	razdoblje	Ncnsg
provedbe	provedba	Ncfsg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
i	i	Cc
potvrdu	potvrda	Ncfsa
Ministarstva	ministarstvo	Ncnsg
o	o	Sl
ostvarenju	ostvarenje	Ncnsl
ciljeva	cilj	Ncmpg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
14.	14.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Isplata	isplata	Ncfsn
potpore	potpora	Ncfsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
petogodišnje	petogodišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
odobrilo	odobriti	Vmp-sn
poslovni	poslovan	Agpmsayn
plan	plan	Ncmsan
proizvođačkoj	proizvođački	Agpfsly
organizaciji	organizacija	Ncfsl
potpora	potpora	Ncfsn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
kao	kao	Cs
paušalna	paušalan	Agpfsny
potpora	potpora	Ncfsn
u	u	Sl
godišnjim	godišnji	Agpmply
obrocima	obrok	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
prvo	prvi	Mlonsn
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
provedbe	provedba	Ncfsg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
proizvođačkoj	proizvođački	Agpfsdy
organizaciji	organizacija	Ncfsd
će	htjeti	Var3s
se	sebe	Px--sa
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
na	na	Sl
temelju	temelj	Ncmsl
planiranih	planiran	Agpmpgy
troškova	trošak	Ncmpg
iz	iz	Sg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
iz	iz	Sg
drugog	drugi	Mlomsg
,	,	Z
trećeg	treći	Mlomsg
i	i	Cc
četvrtog	četvrti	Agpnsgy
godišnjeg	godišnji	Agpnsgy
razdoblja	razdoblje	Ncnsg
isplata	isplata	Ncfpg
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
na	na	Sl
planiranim	planiran	Agpmply
troškovima	trošak	Ncmpl
tog	taj	Pd-nsg
razdoblja	razdoblje	Ncnsg
te	te	Cc
ostvarenim	ostvariti	Appmply
i	i	Cc
dokazanim	dokazati	Appfply
troškovima	trošak	Ncmpl
u	u	Sl
prethodnom	prethodan	Agpnsly
godišnjem	godišnji	Agpnsly
razdoblju	razdoblje	Ncnsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
proizvođačka	proizvođački	Agpfsny
organizacija	organizacija	Ncfsn
ne	ne	Qz
dokaže	dokazati	Vmr3s
troškove	trošak	Ncmpa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
isplaćena	isplatiti	Appfsny
sredstava	sredstvo	Ncnpg
u	u	Sl
iznosu	iznos	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
planiran	planirati	Appmsnn
i	i	Cc
dodijeljen	dodijeliti	Appmsnn
za	za	Sa
prethodno	prethodan	Agpnsay
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
,	,	Z
iznos	iznos	Ncmsn
paušalne	paušalan	Agpfsgy
potpore	potpora	Ncfsg
za	za	Sa
slijedeće	slijedeći	Agpnsay
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
obračunski	obračunski	Agpmpny
će	htjeti	Var3s
se	sebe	Px--sa
prije	prije	Sg
isplate	isplata	Ncfsg
umanjiti	umanjiti	Vmn
za	za	Sa
vrijednost	vrijednost	Ncfsa
te	taj	Pd-fsg
razlike	razlika	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Prije	prije	Sg
podnošenje	podnošenje	Ncnsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
za	za	Sa
peto	peta	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
posljednje	posljednji	Agpnsny
,	,	Z
godišnje	godišnji	Agpnsny
razdoblje	razdoblje	Ncnsn
proizvođačka	proizvođački	Agpfsny
organizacija	organizacija	Ncfsn
treba	trebati	Vmr3s
Ministarstvu	ministarstvo	Ncnsd
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsn
o	o	Sl
postizanju	postizanje	Ncnsl
ciljeva	cilj	Ncmpg
iz	iz	Sg
poslovnog	poslovan	Agpmsgy
plana	plan	Ncmsg
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
Ministarstvo	ministarstvo	Ncnsa
izdaje	izdavati	Vmr3s
potvrdu	potvrda	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Zadnji	zadnji	Agpmsny
obrok	obrok	Ncmsn
isplatit	isplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
nakon	nakon	Sg
utvrđivanja	utvrđivanje	Ncnsg
troškova	trošak	Ncmpg
za	za	Sa
četvrto	četvrti	Ncnsa
i	i	Cc
peto	peti	Mlonsn
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
proizvođačka	proizvođački	Agpfsny
organizacija	organizacija	Ncfsn
ne	ne	Qz
opravda	opravdati	Vmr3s
troškove	trošak	Ncmpa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
isplaćena	isplatiti	Appfsny
sredstava	sredstvo	Ncnpg
za	za	Sa
četvrto	četvrti	Ncnsa
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
za	za	Sa
peto	peta	Ncnsa
godišnje	godišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
obračunski	obračunski	Agpmpny
će	htjeti	Var3s
se	sebe	Px--sa
prije	prije	Sg
isplate	isplata	Ncfsg
umanjiti	umanjiti	Vmn
za	za	Sa
vrijednost	vrijednost	Ncfsa
te	taj	Pd-fsg
razlike	razlika	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
obaviti	obaviti	Vmn
isplatu	isplata	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
pravilno	pravilno	Rgp
ispunjenog	ispunjen	Agpnsgy
i	i	Cc
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Potpora	potpora	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplatit	isplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
raspoloživim	raspoloživ	Agpnpiy
sredstvima	sredstvo	Ncnpi
u	u	Sl
Državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
premaše	premašiti	Vmr3p
iznos	iznos	Ncmsan
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
iznos	iznos	Ncmsan
potpore	potpora	Ncfsg
proporcionalno	proporcionalno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
smanjiti	smanjiti	Vmn
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Na	na	Sl
kraju	kraj	Ncmsl
svake	svaki	Pi-fsg
godine	godina	Ncfsg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
dostavlja	dostavljati	Vmr3s
Ministarstvu	ministarstvo	Ncnsd
godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
isplaćenoj	isplatiti	Agpfsly
potpori	potpora	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
