fizičku	fizički	Agpfsay
osobu	osoba	Ncfsa
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z

1.	1.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
;	;	Z

2.	2.	Mdo
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
;	;	Z

3.	3.	Mdo
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
;	;	Z

4.	4.	Mdo
datum	datum	Ncmsan
pohađanja	pohađanje	Ncnsg
stručnog	stručan	Agpnsgy
usavršavanja	usavršavanje	Ncnsg
;	;	Z

5.	5.	Mdo
naziv	naziv	Ncmsn
i	i	Cc
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
Nositelja	nositelj	Ncmpg
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
koji	koji	Pi-mpn
ga	on	Pp3msa
je	biti	Var3s
proveo	provesti	Vmp-sm
;	;	Z

6.	6.	Mdo
broj	broj	Ncmsn
potvrde	potvrda	Ncfsg
,	,	Z
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
izdavanja	izdavanje	Ncnsg
potvrde	potvrda	Ncfsg
;	;	Z

7.	7.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
Nositelja	nositelj	Ncmsg
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc
njegov	njegov	Ps3msan
pečat	pečat	Ncmsan
.	.	Z

VII	vii	Mrc
.	.	Z

NADZOR	nadzor	Ncmsn
NAD	nad	Si
RADOM	rad	Ncmsi
NOSITELJA	nositelj	Ncmsg
PROGRAMA	program	Ncmsg
OSPOSOBLJAVANJA	osposobljavanje	Ncnsg

Nadzor	nadzor	Ncmsn

Članak	članak	Ncmsn
34.	34.	Mdo

Nadzor	nadzor	Ncmsn
nad	nad	Si
ispunjavanjem	ispunjavanje	Ncnsi
uvjeta	uvjet	Ncmpg
za	za	Sa
provođenje	provođenje	Ncnsa
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
nad	nad	Si
Nositeljima	nositelj	Ncmpi
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
provodi	provoditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsa
i	i	Cc
po	po	Sl
potrebi	potreba	Ncfsl
poduzima	poduzimati	Vmr3s
propisane	propisati	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

Oduzimanje	oduzimanje	Ncnsn
suglasnosti	suglasnost	Ncfsg

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
Nositelj	nositelj	Ncmsn
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
prestane	prestati	Vmr3s
ispunjavati	ispunjavati	Vmn
neki	neki	Pi-mpn
od	od	Sg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
mu	on	Pp3msd
rješenjem	rješenje	Ncnsi
oduzeti	oduzeti	Vmn
suglasnost	suglasnost	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
nepravilnost	nepravilnost	Ncfsn
u	u	Sl
provođenju	provođenje	Ncnsl
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
odnosno	odnosno	Rgp
nepravilnosti	nepravilnost	Ncfpg
u	u	Sl
provođenju	provođenje	Ncnsl
drugih	drugi	Mlofpg
obaveza	obaveza	Ncfpg
Nositelja	Nositelj	Npmsg
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
propisanih	propisati	Appnpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
Nositelju	Nositelju	Npmsn
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
rješenjem	rješenje	Ncnsi
odrediti	odrediti	Vmn
primjereni	primjeren	Agpmsayn
rok	rok	Ncmsan
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
nepravilnosti	nepravilnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
Nositelj	nositelj	Ncmsn
Programa	program	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
ne	ne	Qz
otkloni	otkloniti	Vmr3s
nepravilnosti	nepravilnost	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
