zaštićenog	zaštititi	Appmsgy
za	za	Sa
postupak	postupak	Ncmsan
čekanja	čekanje	Ncnsg
.	.	Z

Minimalna	minimalan	Agpfsny
razina	razina	Ncfsn
čekanja	čekanje	Ncnsg
povećava	povećavati	Vmr3s
se	sebe	Px--sa
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
zbog	zbog	Sg
osiguranja	osiguranje	Ncnsg
nadvisivanja	nadvisivanje	Ncnsg
prepreka	prepreka	Ncfpg
u	u	Sa
tampon	tampon	Ncmsan
zoni	zona	Ncfsl
.	.	Z

DIO	dio	Ncmsn
TREĆI	treći	Mlompn
POSEBNI	poseban	Agpmpny
ZAHTJEVI	zahtjev	Ncmpn
ZA	za	Sa
OBLIKOVANJE	oblikovanje	Ncnsa
I	i	Cc
UTVRĐIVANJE	utvrđivanje	Ncnsa
INSTRUMENTALNIH	instrumentalan	Agpfpgy
LETNIH	letni	Agpfpgy
PROCEDURA	procedura	Ncfpg
PROSTORNE	prostoran	Agpfsgy
NAVIGACIJE	navigacija	Ncfsg
I	i	Cc
PROCEDURA	procedura	Ncfpg
BAZIRANIH	bazirati	Appfpgy
NA	na	Sa
SPOSOBNOSIMA	sposobnos	Ncmpl
ZRAKOPLOVA	zrakoplov	Ncmpg

Implementacija	implementacija	Ncfsn
PBN	PBN	Npmsn

Članak	članak	Ncmsn
22.	22.	Mdo

Za	za	Sa
svaki	svaki	Pi-msan
aerodrom	aerodrom	Ncmsan
koji	koji	Pi-msn
ima	imati	Vmr3s
instrumentalnu	instrumentalan	Agpfsay
uzletno-sletnu	uzletno-sletan	Agpfsay
stazu	staza	Ncfsa
(	(	Z
instrument	instrument	Ncmsan
runway	runwaa	Ncfsg
)	)	Z
mora	morati	Vmr3s
se	sebe	Px--sa
implementirati	implementirati	Vmn
APV	apv	Agpmsann
postupak	postupak	Ncmsan
prilaženja	prilaženje	Ncnsg
sukladno	sukladno	Rgp
rezoluciji	rezolucija	Ncfsd
ICAO	icati	Vmp-sm
broj	broj	Ncmsan
A37-11	A37-11	Xf
Performance-based	Performance-based	Xf
navigation	navigation	Xf
global	global	Xf
goals	goals	Xf
)	)	Z
.	.	Z

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
uvođenja	uvođenje	Ncnsg
PBN-a	PBN	Npmsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
uvođenja	uvođenje	Ncnsg
PBN	PBN	Npmsn
donosi	donositi	Vmr3s
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
poslove	posao	Ncmpa
prometa	promet	Ncmsg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
prijedloga	prijedlog	Ncmsg
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
osnovana	osnovati	Appfsny
sa	sa	Si
tom	taj	Pd-fsi
svrhom	svrha	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
uvođenja	uvođenje	Ncnsg
PBN-a	PBN	Npmsg
se	sebe	Px--sa
mora	morati	Vmr3s
temeljiti	temeljiti	Vmn
na	na	Sl
Priručniku	Priručnik	Npmsl
ICAO	ICA	Npmsl
o	o	Sl
navigaciji	navigacija	Ncfsl
temeljenoj	temeljiti	Appfsly
na	na	Sl
letnim	letan	Agpfply
sposobnostima	sposobnost	Ncfpl
zrakoplova	zrakoplov	Ncmsg
(	(	Z
Doc.	Doc.	Y
9613	9613	Mdc
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
uvođenja	uvođenje	Ncnsg
PBN-a	PBN	Npmsg
mora	morati	Vmr3s
predstavljati	predstavljati	Vmn
strateški	strateški	Agpmsayn
pristup	pristup	Ncmsan
kratkoročnom	kratkoročan	Agpfsiy
,	,	Z
srednjoročnom	srednjoročni	Agpmsly
i	i	Cc
dugoročnom	dugoročan	Agpnsly
uvođenju	uvođenje	Ncnsl
odgovarajuće	odgovarajući	Agpfsgy
navigacijske	navigacijski	Agpfsgy
specifikacije	specifikacija	Ncfsg
u	u	Sl
cilju	cilj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
budućih	budući	Agpmpgy
operativnih	operativan	Agpmpgy
zahtjeva	zahtjev	Ncmpg
korisnika	korisnik	Ncmpg
zračnog	zračan	Agpmsgy
prostora	prostor	Ncmsg
i	i	Cc
ekoloških	ekološki	Agpmpgy
zahtjeva	zahtjev	Ncmpg
uz	uz	Sa
istovremeno	istovremen	Agpnsay
povećanje	povećanje	Ncnsa
sigurnosti	sigurnost	Ncfsg
i	i	Cc
kapaciteta	kapacitet	Ncmsg
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
.	.	Z

Navigacijska	navigacijski	Agpfsny
