MALE	mali	Agpfpay
INFRASTRUKTURE	infrastruktura	Ncfpa
,	,	Z
UKLJUČUJUĆI	uključivati	Rr
ULAGANJA	ulaganje	Ncnpa
U	u	Sa
OBNOVLJIVE	obnovljiv	Agpmpay
IZVORE	izvor	Ncmpa
ENERGIJE	energija	Ncfsg
I	i	Cc
UŠTEDU	ušteda	Ncfsa
ENERGIJE	energija	Ncfsg
–	–	Z
PODMJERA	podmjer	Ncmpg
7.2	7.2	Mdc

Članak	članak	Ncmsn
11.	11.	Mdo

Podmjera	Podmjera	Npfsn
7.2.	7.2.	Mdo
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
dva	dva	Mlc
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
7.2.1.	7.2.1.	Mds

Ulaganja	ulaganje	Ncnpn
u	u	Sa
građenje	građenje	Ncnsa
javnih	javan	Agpmpgy
sustava	sustav	Ncmpg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
,	,	Z
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
,	,	Z

b	b	Npmsn
)	)	Z
7.2.2.	7.2.2.	Mds

Ulaganja	ulaganje	Ncnpn
u	u	Sa
građenje	građenje	Ncnsa
nerazvrstanih	nerazvrstan	Agpfpgy
cesta	cesta	Ncfpg
.	.	Z

Tip	tip	Ncmsn
operacije	operacija	Ncfsg
7.2.1.	7.2.1.	Mds

Ulaganja	ulaganje	Ncnpn
u	u	Sa
građenje	građenje	Ncnsa
javnih	javan	Agpmpgy
sustava	sustav	Ncmpg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
,	,	Z
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg

Članak	članak	Ncmsn
12.	12.	Mdo

Korisnici	korisnik	Ncmpn
su	biti	Var3p
javni	javan	Agpmpny
isporučitelji	isporučitelj	Ncmpn
vodnih	vodni	Agpfpgy
usluga	usluga	Ncfpg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
ili	ili	Cc
javne	javan	Agpfsgy
odvodnje	odvodnja	Ncfsg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Prihvatljiva	prihvatljiv	Agpnpny
ulaganja	ulaganje	Ncnpn
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
građenje	građenje	Ncnsn
javnog	javan	Agpmsgy
sustava	sustav	Ncmsg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
,	,	Z
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
,	,	Z

b	b	Npmsn
)	)	Z
kupnja	kupnja	Ncfsn
i	i	Cc
ugradnja	ugradnja	Ncfsn
opreme	oprema	Ncfsg
za	za	Sa
sustav	sustav	Ncmsan
vodoopskrbe	vodoopskrba	Ncfsg
,	,	Z
odvodnje	odvodnja	Ncfsg
i	i	Cc
sustav	sustav	Ncmsn
pročišćavanja	pročišćavanje	Ncnsg
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
uključujući	uključivati	Rr
računalni	računalni	Agpmsayn
softver	softver	Ncmsan
do	do	Sg
tržišne	tržišni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

Uvjeti	uvjet	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
ulaganja	ulaganje	Ncnpn
u	u	Sa
razvoj	razvoj	Ncmsan
sustava	sustav	Ncmsg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
,	,	Z
odvodnje	odvodnja	Ncfsg
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
(	(	Z
isključujući	isključivati	Rr
3.	3.	Mdo
stupanj	stupanj	Ncmsan
pročišćavanja	pročišćavanje	Ncnsg
ukoliko	ukoliko	Cs
isto	isti	Agpnsny
nije	biti	Var3s
zakonska	zakonski	Agpfsny
obveza	obveza	Ncfsn
)	)	Z
su	biti	Var3p
prihvatljiva	prihvatljiv	Agpmsgn
u	u	Sl
naselju	naselje	Ncnsl
s	sa	Si
najviše	mnogo	Rgs
2	2	Mdc
000	000	Mdc
stanovnika	stanovnik	Ncmpg
,	,	Z

b	b	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
se	sebe	Px--sa
više	mnogo	Rgc
naselja	naselje	Ncnsg
povezuje	povezivati	Vmr3s
sustavom	sustav	Ncmsi
vodoopskrbe	vodoopskrba	Ncfsg
,	,	Z
odvodnje	odvodnja	Ncfsg
i	i	Cc
pročišćavanja	pročišćavanje	Ncnsg
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
,	,	Z
svako	svaki	Pi-nsn
naselje	naselje	Ncnsn
mora	morati	Vmr3s
ispuniti	ispuniti	Vmn
uvjet	uvjet	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
a	a	Cc
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
je	biti	Var3s
ulaganje	ulaganje	Ncnsn
u	u	Sl
funkciji	funkcija	Ncfsl
/	/	Z
uporabi	uporaba	Ncfsl
uključujući	uključivati	Rr
njegovo	njegov	Ps3nsa
održavanje	održavanje	Ncnsa
i	i	Cc
upravljanje	upravljanje	Ncnsa
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
sredstava	sredstvo	Ncnpg
,	,	Z

d	i	Agpnsny
)	)	Z
ulaganje	ulaganje	Ncnsn
je	biti	Var3s
prihvatljivo	prihvatljiv	Agpnsny
ako	ako	Cs
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
razvojnom	razvojan	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
i	i	Cc
prostornim	prostoran	Agpmsiy
planom	plan	Ncmsi
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
,	,	Z

e	e	I
)	)	Z
javni	javan	Agpmpny
isporučitelji	isporučitelj	Ncmpn
vodnih	vodni	Agpfpgy
usluga	usluga	Ncfpg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
ili	ili	Cc
javne	javan	Agpfsgy
odvodnje	odvodnja	Ncfsg
dužni	dužan	Agpmpny
su	biti	Var3p
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
priložiti	priložiti	Vmn
izjavu	izjava	Ncfsa
gradskog	gradski	Agpmsgy
/	/	Z
općinskog	općinski	Agpnsgy
vijeća	vijeće	Ncnsg
/	/	Z
gradske	gradski	Agpfsgy
skupštine	skupština	Ncfsg
grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
o	o	Sl
suglasnosti	suglasnost	Ncfsl
za	za	Sa
provedbu	provedba	Ncfsa
ulaganja	ulaganje	Ncnsg
na	na	Sl
području	područje	Ncnsl
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
,	,	Z

f	f	Npmsn
)	)	Z
provedba	provedba	Ncfsn
ulaganja	ulaganje	Ncnsg
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncmsg
do	do	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
posljednjeg	posljednji	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
može	moći	Vmr3s
trajati	trajati	Vmn
najduže	dugo	Rgs
do	do	Sg
36	36	Mdc
mjeseci	mjesec	Ncmpg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
Europska	europski	Agpfsny
unija	unija	Ncfsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
85	85	Mdc
posto	posto	Rgp
udjela	udjel	Ncmsg
,	,	Z
a	a	Cc
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
s	sa	Si
15	15	Mdc
posto	posto	Rgp
udjela	udjel	Ncmsg
,	,	Z
a	a	Cc
intenzitet	intenzitet	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
unutar	unutar	Sg
ovog	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
iznosi	iznositi	Vmr3s
do	do	Sg
100	100	Mdc
posto	posto	Rgp
od	od	Sg
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Broj	broj	Ncmsn
podnesenih	podnijeti	Appmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
odobrenih	odobren	Agpmpgy
projekata	projekat	Ncmpg
/	/	Z
operacija	operacija	Ncfpg
za	za	Sa
ovaj	ovaj	Pd-msan
tip	tip	Ncmsan
operacije	operacija	Ncfsg
po	po	Sl
korisniku	korisnik	Ncmsl
u	u	Sl
programskom	programski	Agpnsly
razdoblju	razdoblje	Ncnsl
nije	biti	Var3s
ograničen	ograničiti	Appmsnn
.	.	Z

Unutar	unutar	Sg
ovog	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
isti	isti	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
natječaja	natječaj	Ncmsg
.	.	Z

Najveći	velik	Agsmsny
dopušteni	dopustiti	Agpmsny
broj	broj	Ncmsn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
po	po	Sl
korisniku	korisnik	Ncmsl
unutar	unutar	Sg
ovog	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
ograničen	ograničiti	Appmsnn
je	biti	Var3s
s	sa	Si
ukupnim	ukupan	Agpmsiy
brojem	broj	Ncmsi
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
osnivači	osnivač	Ncmpn
korisnika	korisnik	Ncmpg
.	.	Z

Po	po	Sl
jednoj	jedan	Agpfsly
jedinici	jedinica	Ncfsl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
osnivač	osnivač	Ncmsn
korisnika	korisnik	Ncmpg
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
jedan	jedan	Mlcmsan
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
jednom	jedan	Mlcmsl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
jedan	jedan	Mlcmsan
projekt	projekt	Ncmsan
/	/	Z
operaciju	operacija	Ncfsa
.	.	Z

Zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
sljedeće	sljedeći	Agpnsay
ulaganje	ulaganje	Ncnsa
unutar	unutar	Sg
ovoga	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
tek	tek	Rgp
nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
po	po	Sl
prethodnom	prethodan	Agpmsly
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
po	po	Sl
jednoj	jedan	Agpfsly
jedinici	jedinica	Ncfsl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
osnivač	osnivač	Ncmsn
korisnika	korisnik	Ncmpg
podnese	podnijeti	Vmr3s
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
ovoga	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
Natječaja	natječaj	Ncmsg
,	,	Z
u	u	Sa
obzir	obzir	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
uzeti	uzeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
s	sa	Si
ranijim	raniji	Agpnsiy
