zasebna	zaseban	Agpnpny
polja	polje	Ncnpn
,	,	Z
a	a	Cc
adresa	adresa	Ncfsn
se	sebe	Px--sa
navodi	navoditi	Vmr3s
u	u	Sl
obliku	oblik	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
pogodan	pogodan	Agpmsnn
za	za	Sa
ispis	ispis	Ncmsan
.	.	Z

Spol	spol	Ncmsn
N	n	Agpmsny
Muški	muški	Agpmsny
,	,	Z
ženski	ženski	Agpmsny
Datum	datum	Ncmsn
rođenja	rođenje	Ncnsg
O	o	Sa
Pravni	pravni	Agpmsayn
status	status	Ncmsan
O	o	Sl
Pojedinac	Pojedina	Npmsl
,	,	Z
udruženje	udruženje	Ncnsn
,	,	Z
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
poduzeće	poduzeće	Ncnsn
,	,	Z
itd.	itd.	Y

Mjesto	mjesto	Ncnsn
rođenja	rođenje	Ncnsg
N	N	Var3s
Identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
N	n	Agpmsny
Identifikator	identifikator	Ncmsn
koji	koji	Pi-msn
na	na	Sa
jedinstveni	jedinstven	Agpmsayn
način	način	Ncmsan
identificira	identificirati	Vmr3s
osobu	osoba	Ncfsa
ili	ili	Cc
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
vlasnicima	vlasnik	Ncmpl
vozila	vozilo	Ncnsg
(	(	Z
C.	C.	Y
2	2	Mdc
)	)	Z
Podaci	podatak	Ncmpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
vlasnika	vlasnik	Ncmsay
vozila	vozilo	Ncnsg
.	.	Z

Ime	ime	Ncnsn
vlasnika	vlasnik	Ncmpg
(	(	Z
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
)	)	Z
O	o	Sl
(	(	Z
C.	C.	Y
2.1	2.1	Mdc
)	)	Z
Ime	ime	Ncnsn
O	o	Sl
(	(	Z
C.	c	Ncmsl
2.2	2.2	Mdc
)	)	Z
Adresa	adresa	Ncfsn
O	o	Sl
(	(	Z
C.	c	Ncmsl
2.3	2.3	Mdc
)	)	Z
Spol	spol	Ncmsn
N	n	Agpmsny
Muški	muški	Agpmsny
,	,	Z
ženski	ženski	Agpmsny
Datum	datum	Ncmsn
rođenja	rođenje	Ncnsg
O	o	Sa
Pravni	pravni	Agpmsayn
status	status	Ncmsan
O	o	Sl
Pojedinac	Pojedina	Npmsl
,	,	Z
udruženje	udruženje	Ncnsn
,	,	Z
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
poduzeće	poduzeće	Ncnsn
,	,	Z
itd.	itd.	Y

Mjesto	mjesto	Ncnsn
rođenja	rođenje	Ncnsg
N	N	Var3s
Identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
N	n	Agpmsny
Identifikator	identifikator	Ncmsn
koji	koji	Pi-msn
na	na	Sa
jedinstveni	jedinstven	Agpmsayn
način	način	Ncmsan
identificira	identificirati	Vmr3s
osobu	osoba	Ncfsa
ili	ili	Cc
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
otpadnom	otpadni	Agpnsly
vozilu	vozilo	Ncnsl
,	,	Z
ukradenom	ukrasti	Agpnsly
vozilu	vozilo	Ncnsl
ili	ili	Cc
registarskoj	registarski	Agpfsly
tablici	tablica	Ncfsl
,	,	Z
ili	ili	Cc
o	o	Sl
istekloj	istekao	Agpfsly
registraciji	registracija	Ncfsl
vozila	vozilo	Ncnpg
ne	ne	Qz
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
o	o	Sl
vlasniku	vlasnik	Ncmsl
/	/	Z
nositelju	nositelj	Ncmsl
vozila	vozilo	Ncnpg
.	.	Z

Umjesto	umjesto	Sg
toga	taj	Pd-nsg
,	,	Z
šalje	slati	Vmr3s
se	sebe	Px--sa
poruka	poruka	Ncfsn
»	»	Z
podatak	podatak	Ncmsn
nije	biti	Var3s
otkriven	otkriti	Appmsnn
«	«	Z
.	.	Z

(	(	Z
1	1	Mdc
)	)	Z
O	o	Sl
=	a	Ncfsl
obavezno	obavezno	Rgp
,	,	Z
ukoliko	ukoliko	Cs
postoji	postojati	Vmr3s
u	u	Sl
nacionalnom	nacionalan	Agpmsly
registru	registar	Ncmsl
,	,	Z
N		Ncmsv
=	=	Z
neobavezno	neobavezan	Agpnsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Usklađena	uskladiti	Appfsny
kratica	kratica	Ncfsn
dokumenta	dokument	Ncmsg
,	,	Z

PRILOG	prilog	Ncmsn
II	ii	Mro
.	.	Z

OBRAZAC	obrazac	Ncmsn
ZA	za	Sa
OBAVIJEST	obavijest	Ncfsa

[	i	Agpfsny
Naslovna	naslovni	Agpfsny
strana	strana	Ncfsn
]	]	Z

...................................................................................................................	...................................................................................................................	Z

[	i	Agpnsny
Ime	ime	Ncnsn
,	,	Z
adresa	adresa	Ncfsn
i	i	Cc
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
pošiljatelja	pošiljatelj	Ncmpg
]	]	Z

...................................................................................................................	...................................................................................................................	Z

[	i	Agpnsay
Ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
primatelja	primatelj	Ncmsg
(	(	Z
naziv	naziv	Ncmsn
za	za	Sa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
)	)	Z
