isplaćuje	isplaćivati	Vmr3s
na	na	Sa
teret	teret	Ncmsan
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
180.	180.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Tražbine	tražbina	Ncfpn
viših	visok	Agsmpgy
isplatnih	isplatan	Agpmpgy
redova	red	Ncmpg

Članak	članak	Ncmsn
289.	289.	Mdo

U	u	Sa
tražbine	tražbina	Ncfpa
prvog	prvi	Mlomsg
višeg	visok	Ncmsg
isplatnog	isplatan	Agpmsgy
reda	red	Ncmsg
,	,	Z
osim	osim	Sg
onih	onaj	Pd-mpg
utvrđenih	utvrditi	Ncmpg
Stečajnim	stečajni	Agpmsiy
zakonom	zakon	Ncmsi
,	,	Z
spadaju	spadati	Vmr3p
i	i	Cc
:	:	Z

1.	1.	Mdo
tražbine	tražbina	Ncfsg
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
životnom	životan	Agpnsly
osiguranju	osiguranje	Ncnsl
i	i	Cc
ostalih	ostali	Agpmpgy
ugovora	ugovor	Ncmpg
o	o	Sl
osiguranju	osiguranje	Ncnsl
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
slične	sličan	Agpfpny
tablice	tablica	Ncfpn
vjerojatnosti	vjerojatnost	Ncfsg
i	i	Cc
izračuni	izračun	Ncmpn
kao	kao	Cs
i	i	Qo
za	za	Sa
životna	životan	Agpnpay
osiguranja	osiguranje	Ncnpa
za	za	Sa
obveze	obveza	Ncfpa
za	za	Sa
pokriće	pokriće	Ncnsa
kojih	koji	Pi-mpg
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
oblikovati	oblikovati	Vmn
matematičke	matematički	Agpfpay
pričuve	pričuva	Ncfpa
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
se	sebe	Px--sa
nisu	biti	Var3p
mogle	moći	Vmp-pf
namiriti	namiriti	Vmn
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

2.	2.	Mdo
tražbine	tražbina	Ncfsg
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
neživotnim	neživotan	Agpfply
i	i	Cc
drugim	drugi	Mlonpl
osiguranjima	osiguranje	Ncnpl
za	za	Sa
obveze	obveza	Ncfpa
za	za	Sa
pokriće	pokriće	Ncnsa
kojih	koji	Pi-mpg
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
oblikovati	oblikovati	Vmn
tehničke	tehnički	Agpfpay
pričuve	pričuva	Ncfpa
